"","Comparison","Taxa","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","P.adj","Significance","Method"
"1","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566",4.49751619973973,3.03552254173214,1.33914172366381,0.0546878042482362,0.000929213328052346,0.022087001355935,3.28429646811006e-05,0.00192222761872379,0.00192222761872379,"**","ALDEx2_t"
"2","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441",2.67682059649288,2.59291302818992,1.06912804490839,0.125000121100964,0.000464032436246721,0.017026512615859,0.00090912723785164,0.0198835130109722,0.0198835130109722,"*","ALDEx2_t"
"3","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845",0.379894339619688,1.28592749658821,0.284642219088097,0.36671003322375,0.255645992153025,0.964221963104012,0.267949835826779,0.942963519239938,0.942963519239938,"","ALDEx2_t"
"4","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325",0.892369303153913,9.95845441009018,0.0831756441460994,0.442708341535475,0.743094421392085,1,0.617311475835714,0.997396583609858,0.997396583609858,"","ALDEx2_t"
"5","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_6535",1.83191816582769,1.78593442615767,1.00062250934053,0.175552744772794,0.00257284180471786,0.0529146125159974,0.00389340518816227,0.0582506484443979,0.0582506484443979,"","ALDEx2_t"
"6","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7535",-3.51622607580889,8.36933785304099,-0.448745973451192,0.304687532563516,0.092961549614886,0.523457870818032,0.19256195371125,0.688247450664415,0.688247450664415,"","ALDEx2_t"
"7","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_1823",6.09503638064323,5.88484851264108,1.07698934618456,0.0833335259929391,0.0026602199391189,0.0440744979122296,0.000158974047725004,0.00544284308868632,0.00544284308868632,"**","ALDEx2_t"
"8","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82",3.61042101616682,2.50430725613882,1.35046136777876,0.00780457817658935,0.00115315006661359,0.0233082426669211,8.4360887470103e-07,0.000139325762221124,0.000139325762221124,"***","ALDEx2_t"
"9","February - September","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_4417",4.05688447353642,3.38478999625246,1.05867775841729,0.101562654231259,0.00224298080197657,0.0428634914113026,0.000278835845638996,0.00837402227236169,0.00837402227236169,"**","ALDEx2_t"
"10","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_2541",1.54913818970033,3.27160326982667,0.372390041727376,0.241872611360443,0.233355094773719,0.829153840893347,0.0319344210356208,0.255839828405865,0.255839828405865,"","ALDEx2_t"
