"","Comparison","Taxa","baseMean","log2FoldChange","lfcSE","stat","P.unadj","P.adj","Significance","Method"
"1","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566",847.62346797369,2.49595606146109,0.846027470841761,2.95020687564402,0.00317561216957941,0.0181736841030147,"*","DESeq2"
"2","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441",395.980010602273,1.90854298438185,0.66653496941762,2.86338012550103,0.00419147381455216,0.0208637697744601,"*","DESeq2"
"3","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845",553.902921198056,-1.00334958235594,0.662323389937572,-1.51489377787263,0.129799306342849,0.235773118595998,"","DESeq2"
"4","September - February","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325",321.009795839194,-0.359134488270636,1.93566929750617,-0.185535043993997,0.852809396251848,0.906229224204984,"","DESeq2"
"5","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_6535",334.9592356777,-0.148664195084207,0.653045369158053,-0.227647575659061,0.819920230839077,0.88413645777199,"","DESeq2"
"6","September - February","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7535",119.53894523047,-8.70528045321265,2.36536098174413,-3.6803179389531,0.000232943327300978,0.0030314542593963,"**","DESeq2"
"7","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_1823",246.213611165972,4.4242650961768,1.19650988252926,3.69764191736093,0.000217611563971306,0.00287126369128806,"**","DESeq2"
"8","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82",183.622342519246,2.27545667252663,0.72071928064343,3.15720244155975,0.00159290716907974,0.0120100143700457,"*","DESeq2"
"9","September - February","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_4417",184.703146695184,3.01229774414033,0.879748099869339,3.42404575194618,0.000616962329972173,0.00583119754869862,"**","DESeq2"
"10","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_2541",134.291128620645,0.578220546928798,0.893478167621584,0.6471568840546,0.517530412856694,0.63768338808542,"","DESeq2"
"11","September - February","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7012",198.712082315569,-1.49357690115528,1.83275808933926,-0.814934011118584,0.415110083639552,0.540211752681609,"","DESeq2"
"12","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_13670",81.7685278553144,-25.4266487025381,2.60790351660455,-9.74984256152361,1.84754572717802e-22,2.27467560724524e-20,"***","DESeq2"
"13","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_7541",142.11409273669,1.14565717864162,1.3146249665259,0.871470729533759,0.383497181173671,0.508830058819815,"","DESeq2"
"14","September - February","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_14091",181.239552567031,-0.881687735729998,0.971618923702872,-0.907441913924295,0.364173153172428,0.48727393734339,"","DESeq2"
"15","September - February","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_13236",169.454545321436,-0.737891710838328,0.83400075372054,-0.884761443615654,0.376285308619609,0.50136191190551,"","DESeq2"
