"","Taxa","Factors","lfc","se","W","p","P.adj","diff","passed_ss","Significance","Method"
"1","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","(Intercept)",-1.41593408500979,0.426300812026874,-3.32144355596614,0.00324321463674252,1,FALSE,TRUE,"","ancombc2_formula"
"2","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","seasonSeptember",2.7694745344802,0.518335132049858,5.34301914579429,2.67874034025778e-05,0.033243167622599,TRUE,FALSE,"*","ancombc2_formula"
"3","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","(Intercept)",-1.41593408500979,0.426300812026874,-3.32144355596614,0.00324321463674252,1,FALSE,TRUE,"","ancombc2_formula"
"4","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","seasonSeptember",2.7694745344802,0.518335132049858,5.34301914579429,2.67874034025778e-05,0.033243167622599,FALSE,FALSE,"*","ancombc2_formula"
"5","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","(Intercept)",-0.941072142989399,0.333074472682481,-2.82541059184238,0.00984966327790729,1,FALSE,TRUE,"","ancombc2_formula"
"6","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","seasonSeptember",1.93687633377743,0.456682263561202,4.24119018477681,0.00033475894495008,0.405393082334546,FALSE,TRUE,"","ancombc2_formula"
"7","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","(Intercept)",-0.941072142989399,0.333074472682481,-2.82541059184238,0.00984966327790729,1,FALSE,TRUE,"","ancombc2_formula"
"8","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","seasonSeptember",1.93687633377743,0.456682263561202,4.24119018477681,0.00033475894495008,0.405393082334546,FALSE,TRUE,"","ancombc2_formula"
"9","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","(Intercept)",-0.0806144268631251,0.207159112781665,-0.389142557045457,0.70091178552812,1,FALSE,TRUE,"","ancombc2_formula"
"10","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","seasonSeptember",0.215960901524878,0.3183455090301,0.678385261921374,0.504601263193666,1,FALSE,TRUE,"","ancombc2_formula"
"11","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","(Intercept)",-0.0806144268631251,0.207159112781665,-0.389142557045457,0.70091178552812,1,FALSE,TRUE,"","ancombc2_formula"
"12","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","seasonSeptember",0.215960901524878,0.3183455090301,0.678385261921374,0.504601263193666,1,FALSE,TRUE,"","ancombc2_formula"
"13","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325","(Intercept)",-0.493847744893298,0.335495628967628,-1.47199457236729,0.171781412574043,1,FALSE,TRUE,"","ancombc2_formula"
"14","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325","seasonSeptember",1.040810668941,0.508836994416712,2.04546972873719,0.0680220846196567,1,FALSE,TRUE,"","ancombc2_formula"
"15","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325","(Intercept)",-0.493847744893298,0.335495628967628,-1.47199457236729,0.171781412574043,1,FALSE,TRUE,"","ancombc2_formula"
"16","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325","seasonSeptember",1.040810668941,0.508836994416712,2.04546972873719,0.0680220846196567,1,FALSE,TRUE,"","ancombc2_formula"
"17","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_6535","(Intercept)",-0.512392826849249,0.27744804588652,-1.84680640013887,0.0782708644341177,1,FALSE,TRUE,"","ancombc2_formula"
