"","Comparison","Taxa","logFC","logCPM","P.unadj","P.adj","Significance","Method"
"1","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_10594",10.1071144207401,11.4855898305058,1.3671846952158e-10,1.84023059976047e-07,"***","edgeR"
"2","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__Euzebya|s__|ASV_5746",8.25242029292887,9.73163428810484,4.19074510070122e-09,2.82037145277192e-06,"***","edgeR"
"3","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya|s__|ASV_3678",9.27021563982793,10.6797065774941,1.70565875692779e-08,5.34777332046619e-06,"***","edgeR"
"4","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__|s__|ASV_6161",-7.71015365455854,9.24620457968854,1.74882158942695e-08,5.34777332046619e-06,"***","edgeR"
"5","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_661",9.01856355618233,10.4416468930899,1.98654283821181e-08,5.34777332046619e-06,"***","edgeR"
"6","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_15810",8.481254922235,9.94042366621206,5.05178470720886e-08,1.10488118397981e-05,"***","edgeR"
"7","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_1011",10.4080922957871,11.7791008030071,6.42476674739862e-08,1.10488118397981e-05,"***","edgeR"
"8","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_7122",7.88776051837061,11.3696904016764,6.56690153925594e-08,1.10488118397981e-05,"***","edgeR"
"9","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium|s__|ASV_13477",9.9592909580464,11.3420470296567,8.43055414802651e-08,1.2608362092493e-05,"***","edgeR"
"10","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae|g__Salinisphaera|s__|ASV_136",6.4201104035987,10.2192624906153,7.20423290903331e-07,9.69689749555883e-05,"***","edgeR"
"11","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_229",7.00962829874345,8.66025929531416,1.2129372042265e-06,0.000148419406989897,"***","edgeR"
"12","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Cryomorphaceae|g__|s__|ASV_996",-7.26656765123314,8.86752287021151,1.53814267143625e-06,0.000172528336312767,"***","edgeR"
"13","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_5056",8.45886857726675,9.91994457135042,1.78632836929777e-06,0.000184953691159599,"***","edgeR"
"14","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_13518",6.06915097844572,10.8209161024383,3.54535169732038e-06,0.00034086024175666,"***","edgeR"
"15","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_12463",-10.4949049796297,11.8634152259462,3.9967478687724e-06,0.000358641508757843,"***","edgeR"
"16","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_3264",6.89677600778759,8.57114748275734,4.97992545518527e-06,0.000418936228917461,"***","edgeR"
"17","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_6541",7.33610964825862,8.92878494744449,8.00200247104954e-06,0.000600935622811385,"***","edgeR"
"18","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__|ASV_15626",8.60584426785454,10.0553444473719,8.06787558660488e-06,0.000600935622811385,"***","edgeR"
"19","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Aurantiacibacter|s__|ASV_10631",-8.45937281541052,9.91839745190117,8.48274653299874e-06,0.000600935622811385,"***","edgeR"
"20","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Marivita|s__|ASV_9078",-8.97557044762881,10.3993078108432,1.2005994883757e-05,0.000808003455676846,"***","edgeR"
"21","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_15803",7.06653558795743,8.70647007206124,1.54233104232601e-05,0.000988560753795621,"***","edgeR"
"22","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_8981",-10.9645051108115,12.3246891322282,1.7116027254244e-05,0.0010471896674642,"**","edgeR"
"23","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_536",-9.62519965775232,11.0184260477437,2.18244486472922e-05,0.00127720469040241,"**","edgeR"
"24","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Parvularcula|s__|ASV_6944",6.97007712554795,11.1634649514227,2.8998240670323e-05,0.00162631799759395,"**","edgeR"
"25","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_14533",-9.85856422026493,11.2436462194365,4.53292473139622e-05,0.00244052667538372,"**","edgeR"
"26","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Sva0081_sediment_group|s__|ASV_4006",-7.10630732236892,8.73541522291483,5.93886703979537e-05,0.00307450578290945,"**","edgeR"
"27","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_10171",9.01874563380035,10.4414558998651,7.58183893934576e-05,0.00377968711568866,"**","edgeR"
"28","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_10530",7.32413312123964,8.91916443863147,8.01504747708781e-05,0.00385294782291436,"**","edgeR"
"29","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae|g__Planctomicrobium|s__|ASV_11443",-6.97292681072268,8.62742592314451,9.67167726144047e-05,0.00448899227375823,"**","edgeR"
"30","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_15235",4.84088455602752,11.4047885159903,0.000107373778724094,0.00481750353875437,"**","edgeR"
