"","by_group","Taxa","Env","value","coef","stderr","Pvalue","name","AdjPvalue","N","N.not.zero","Significance","Method"
"1","All","k__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Nitriliruptorales.f__Nitriliruptoraceae.g__.s__.ASV_13518","season","September",2.72826056018157,0.261702244784812,5.63005589261647e-10,"seasonSeptember",7.04882997755582e-07,24,13,"***","maaslin2"
"2","All","k__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Nitriliruptorales.f__Nitriliruptoraceae.g__.s__.ASV_15235","season","September",4.2209261523636,0.43287181199482,1.90617646210175e-09,"seasonSeptember",1.1932664652757e-06,24,16,"***","maaslin2"
"3","All","k__Bacteria.p__Rhodothermota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__.s__.ASV_2086","season","September",3.256317007211,0.344574980953844,3.34314027187357e-09,"seasonSeptember",1.3952038734619e-06,24,22,"***","maaslin2"
"4","All","k__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Nitriliruptorales.f__Nitriliruptoraceae.g__.s__.ASV_10841","season","September",4.37992287282654,0.502273147917745,1.37086914235623e-08,"seasonSeptember",4.29082041557499e-06,24,16,"***","maaslin2"
"5","All","k__Bacteria.p__Rhodothermota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__Rubrivirga.s__.ASV_7122","season","September",4.25545514380172,0.549883621448546,1.01963549912719e-07,"seasonSeptember",2.40198195990098e-05,24,12,"***","maaslin2"
"6","All","k__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Euzebyales.f__Euzebyaceae.g__Euzebya.s__.ASV_5746","season","September",2.20692557189725,0.28730562166324,1.15110956544776e-07,"seasonSeptember",2.40198195990098e-05,24,11,"***","maaslin2"
"7","All","k__Bacteria.p__Rhodothermota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__Rubrivirga.s__.ASV_9879","season","September",1.90166800796901,0.252593988834227,1.59376512375711e-07,"seasonSeptember",2.49424241867988e-05,24,12,"***","maaslin2"
"8","All","k__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Salinisphaerales.f__Salinisphaeraceae.g__Salinisphaera.s__.ASV_136","season","September",3.83173491995514,0.506081090508912,1.45447172557782e-07,"seasonSeptember",2.49424241867988e-05,24,13,"***","maaslin2"
"9","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rhodobacterales.f__Paracoccaceae.g__.s__.ASV_14973","season","September",2.35755407152074,0.32244474682472,2.54306041872065e-07,"seasonSeptember",3.53767960470917e-05,24,13,"***","maaslin2"
"10","All","k__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__.s__.ASV_6161","season","September",-2.81387503400165,0.400749850782236,4.79401517138379e-07,"seasonSeptember",6.00210699457251e-05,24,11,"***","maaslin2"
