"","Comparison","Taxa","logFC","se","P.unadj","P.adj","Significance","Method"
"1","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_6338",4.4350475259309,0.531145352656235,0,0,"***","metagenomeSeq"
"2","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_10594",4.22124831682306,0.494563434620127,0,0,"***","metagenomeSeq"
"3","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_7122",4.27073229582058,0.487507688687376,0,0,"***","metagenomeSeq"
"4","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_13518",4.21766993675087,0.452373869584479,0,0,"***","metagenomeSeq"
"5","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae|g__Salinisphaera|s__|ASV_136",3.6422928540121,0.456379403917867,1.55431223447522e-15,4.18109991073834e-13,"***","metagenomeSeq"
"6","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__Euzebya|s__|ASV_5746",3.46709017563987,0.454661883689162,2.42028619368284e-14,4.77839989798667e-12,"***","metagenomeSeq"
"7","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_9879",3.66613460742321,0.480940480778904,2.48689957516035e-14,4.77839989798667e-12,"***","metagenomeSeq"
"8","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_14973",3.33822264293121,0.459842571044155,3.88578058618805e-13,6.53296861052866e-11,"***","metagenomeSeq"
"9","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Parvularcula|s__|ASV_6944",3.7313866277689,0.523165656782598,9.86988268891764e-13,1.47499913517714e-10,"***","metagenomeSeq"
"10","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya|s__|ASV_3678",3.55817071222235,0.503855708310403,1.64268598723538e-12,2.15679595395489e-10,"***","metagenomeSeq"
"11","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_661",3.46054187756864,0.490718991941748,1.76392234152445e-12,2.15679595395489e-10,"***","metagenomeSeq"
"12","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_1011",3.78613730829254,0.548869174664761,5.27133892092024e-12,5.90829237386477e-10,"***","metagenomeSeq"
