"","Comparison","Taxa","mean.group1.","variance.group1.","std.err.group1.","mean.group2.","variance.group2.","std.err.group2.","pvalue","qvalue","Significance","Group","Method"
"1","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566",0.013398411485291,0.000472343395011169,0.00627391023081014,0.0588068718730038,0.00147493531776903,0.0110865358196667,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"2","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_1823",0.0011693657933719,2.84045918247971e-06,0.000486523310719342,0.0189526438343495,0.000241824668165236,0.00448910410666052,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"3","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82",0.00302504570815526,1.04293074807256e-05,0.000932260133614612,0.01373661120479,7.43269958958385e-05,0.00248875798836552,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"4","February - September","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_4417",0.0015117592451857,2.76749090853907e-06,0.000480233529002564,0.0153733434120551,0.000248879413515076,0.00455411364880768,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"5","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_13670",0.013573257680088,0.00112309394233906,0.0096742525221119,0,0,0,0.000999000999000999,0.000615015697060333,"***","February","metastat"
"6","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_6338",8.5426277122843e-05,8.75717858768252e-08,8.5426277122843e-05,0.0107555606134191,0.000157799313896121,0.00362628498944536,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"7","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas|s__|ASV_10664",0.00126681331158663,3.67759455069056e-06,0.000553593905816842,0.00947318184067444,5.30170480002192e-05,0.00210192467356744,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"8","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_10841",0.000348089676143942,6.51488900414397e-07,0.000233003737526246,0.00805832228418428,3.73979089514526e-05,0.00176535900389157,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"9","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_2086",0.000699884222089505,2.26931518083918e-07,0.000137517125625598,0.00690471646794477,1.9698938006065e-05,0.00128124087008341,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"10","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_8981",0.00732825653441262,7.51029612395838e-05,0.00250171543211826,0,0,0,0.000999000999000999,0.000615015697060333,"***","February","metastat"
"11","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_15365",0.000379387386772357,1.2320405191722e-06,0.000320421664786185,0.00669068724573542,1.99789714333234e-05,0.0012903155761713,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"12","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_4057",0.000832414320983118,9.03515084267375e-07,0.000274395560621793,0.00647433789625666,1.06802930544319e-05,0.000943411056328393,0.000999000999000999,0.000615015697060333,"***","September","metastat"
"13","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_3202",0.00030229776828038,6.83320993747169e-07,0.000238628196459675,0.00647412759689,6.24629308918085e-05,0.0022815004363322,0.000999000999000999,0.000615015697060333,"***","September","metastat"
