"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"1","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","Wilcoxon Rank Sum Test","September",0.000144222448704882,0.00829789236939378,"**"
"2","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","Wilcoxon Rank Sum Test","September",0.932300503373326,0.976557570070426,"ns"
"3","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","Wilcoxon Rank Sum Test","September",0.00182977609279938,0.030035105133024,"*"
"4","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325","Wilcoxon Rank Sum Test","September",0.781286742617648,0.851507656326602,"ns"
"5","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7535","Wilcoxon Rank Sum Test","February",0.0484642410766325,0.148256519293517,"ns"
"6","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_6535","Wilcoxon Rank Sum Test","September",0.0332414254207228,0.120149144057819,"ns"
"7","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_1823","Wilcoxon Rank Sum Test","September",0.000324720896616033,0.0112183753037671,"*"
"8","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_13670","Wilcoxon Rank Sum Test","February",0.0164731558055827,0.0821559023448035,"ns"
"9","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82","Wilcoxon Rank Sum Test","September",8.87522761260815e-06,0.00505888812080752,"**"
"10","February - September","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_4417","Wilcoxon Rank Sum Test","September",0.00135066794460007,0.0233076801722012,"*"
"11","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_2541","Wilcoxon Rank Sum Test","September",0.088256686339853,0.208044658167149,"ns"
