"","Taxa","Factors","lfc","se","W","p","P.adj","diff","passed_ss","Significance","Method"
"1","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","(Intercept)",0.710858446531924,0.3499010866295,2.03159828218719,0.0550400549879613,1,FALSE,TRUE,"","ancombc2_formula"
"2","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","siteEsteroZacatecas",-1.44896402418495,0.677862731762053,-2.13754784898482,0.0444735114285606,1,FALSE,TRUE,"","ancombc2_formula"
"3","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","(Intercept)",0.710858446531924,0.3499010866295,2.03159828218719,0.0550400549879613,1,FALSE,TRUE,"","ancombc2_formula"
"4","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","siteEsteroZacatecas",-1.44896402418495,0.677862731762053,-2.13754784898482,0.0444735114285606,1,FALSE,TRUE,"","ancombc2_formula"
"5","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","(Intercept)",0.754171406119279,0.283840907511767,2.6570215432672,0.0143990711608963,1,FALSE,TRUE,"","ancombc2_formula"
"6","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","siteEsteroZacatecas",-1.46185503639952,0.493436957844597,-2.96259737573188,0.00719066702057723,1,FALSE,TRUE,"","ancombc2_formula"
"7","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","(Intercept)",0.754171406119279,0.283840907511767,2.6570215432672,0.0143990711608963,1,FALSE,TRUE,"","ancombc2_formula"
"8","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","siteEsteroZacatecas",-1.46185503639952,0.493436957844597,-2.96259737573188,0.00719066702057723,1,FALSE,TRUE,"","ancombc2_formula"
"9","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","(Intercept)",-0.0539626145304026,0.18991162446082,-0.28414592673623,0.778955758092188,1,FALSE,TRUE,"","ancombc2_formula"
"10","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","siteEsteroZacatecas",0.154413004899839,0.311929429861544,0.495025445237336,0.62549006441257,1,FALSE,TRUE,"","ancombc2_formula"
