"","Comparison","Taxa","logFC","logCPM","P.unadj","P.adj","Significance","Method"
"1","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7012",11.648615018436,13.0005550037358,6.85584697384446e-21,9.22797002679465e-18,"***","edgeR"
"2","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae|g__Acuticoccus|s__|ASV_1266",10.1110244832585,11.4889800259004,1.54880307342249e-17,1.04234446841334e-14,"***","edgeR"
"3","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325",12.6744225404227,14.0193995585066,5.65136840439169e-17,2.53558062410374e-14,"***","edgeR"
"4","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_10445",10.1007733035132,11.478693043345,8.22016903954668e-17,2.76608688180746e-14,"***","edgeR"
"5","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae|g__|s__|ASV_1096",-10.4106642254098,11.7815547804121,2.00464121159919e-15,5.39649414162501e-13,"***","edgeR"
"6","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_5775",-10.3407945236845,11.7130814369162,4.94574122041528e-13,1.06911788504278e-10,"***","edgeR"
"7","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium|s__|ASV_9665",9.27391789965296,10.6820206127115,5.56004843632949e-13,1.06911788504278e-10,"***","edgeR"
"8","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_11540",9.76032321937303,11.1487361813676,6.39403785310864e-13,1.07579686878553e-10,"***","edgeR"
"9","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_16064",11.0139118207095,12.373449327315,1.86177135630067e-12,2.78438249508967e-10,"***","edgeR"
"10","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__|s__|ASV_4049",10.8749987315277,12.2366574749372,2.25875007155105e-12,3.04027759630771e-10,"***","edgeR"
"11","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium|s__|ASV_137",9.16392065636089,10.5778135747863,2.61587771704249e-12,3.20088309739927e-10,"***","edgeR"
"12","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_7636",9.45799336625319,10.8581365294065,3.00928232913458e-12,3.37541167917929e-10,"***","edgeR"
"13","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_1480",9.43870233855959,10.8396657451122,9.71992723387787e-12,1.00638631206151e-09,"***","edgeR"
"14","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_13671",-9.65635090897588,11.0489504219343,1.06778814853102e-11,1.02660203423053e-09,"***","edgeR"
"15","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_14979",10.4160143662145,11.7864096516641,3.76185843009175e-11,3.37564096460233e-09,"***","edgeR"
"16","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_11931",-8.45609000440947,9.91616440906354,1.34329332845926e-10,1.13004551256635e-08,"***","edgeR"
"17","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Myxosarcina_GI1|s__|ASV_3786",-8.45511492069824,9.91626839544229,2.13945178056114e-10,1.69394240978547e-08,"***","edgeR"
"18","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae|g__Woeseia|s__|ASV_15362",8.08386032031887,9.57766162455486,2.43562597976069e-10,1.82130698264327e-08,"***","edgeR"
"19","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania|s__|ASV_3585",11.0843109792979,12.442841745824,3.84556238508873e-10,2.59180587795459e-08,"***","edgeR"
"20","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Fulvivirga|s__|ASV_8492",8.55912953124856,10.0109592286376,3.85112314703505e-10,2.59180587795459e-08,"***","edgeR"
"21","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Pleurocapsa_PCC-7319|s__|ASV_696",9.90327034419809,11.2871735221659,6.41568555850274e-10,4.11214893416414e-08,"***","edgeR"
"22","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_7191",8.1329655736288,9.62174416861218,1.70499918584792e-09,1.04314950188696e-07,"***","edgeR"
"23","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae|g__Pseudohaliea|s__|ASV_9004",7.89502435450775,9.40917272716199,2.57013424301688e-09,1.50408725700031e-07,"***","edgeR"
"24","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae|g__Woeseia|s__|ASV_6320",8.74781993696823,10.1861271060883,3.33914339201167e-09,1.87062002415956e-07,"***","edgeR"
"25","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__|ASV_5509",-10.6367013424625,12.0028411913661,3.47440569123247e-09,1.87062002415956e-07,"***","edgeR"
