"","by_group","Taxa","Env","value","coef","stderr","Pvalue","name","AdjPvalue","N","N.not.zero","Significance","Method"
"1","All","k__Bacteria.p__Rhodothermota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__Rubrivirga.s__.ASV_4932","site","EsteroZacatecas",3.25338841553054,0.247759420724458,6.91601045194338e-12,"siteEsteroZacatecas",8.65884508583311e-09,24,13,"***","maaslin2"
"2","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rhodobacterales.f__Paracoccaceae.g__Wenxinia.s__.ASV_15944","site","EsteroZacatecas",-3.54168988709731,0.285671057867694,2.11985431370305e-11,"siteEsteroZacatecas",1.32702880037811e-08,24,13,"***","maaslin2"
"3","All","k__Bacteria.p__Cyanobacteriota.c__Cyanobacteriia.o__Cyanobacteriales.f__Nostocaceae.g__Rivularia_PCC.7116.s__.ASV_7012","site","EsteroZacatecas",3.6867056929437,0.316712858800536,7.11337214778133e-11,"siteEsteroZacatecas",2.96864730967408e-08,24,12,"***","maaslin2"
"4","All","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Sufflavibacter.s__.ASV_4707","site","EsteroZacatecas",-4.78199821563278,0.423283735470845,1.25509081302316e-10,"siteEsteroZacatecas",3.9284342447625e-08,24,16,"***","maaslin2"
"5","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__.f__Neomegalonemataceae.g__Acuticoccus.s__.ASV_1266","site","EsteroZacatecas",3.16646016685054,0.28930313842484,2.27766423076127e-10,"siteEsteroZacatecas",5.70327123382622e-08,24,12,"***","maaslin2"
"6","All","k__Bacteria.p__Myxococcota.c__Polyangiia.o__Polyangiales.f__Sandaracinaceae.g__.s__.ASV_1096","site","EsteroZacatecas",-5.53550260285132,0.568689472111437,1.96781550730178e-09,"siteEsteroZacatecas",4.10617502523637e-07,24,12,"***","maaslin2"
"7","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rhodobacterales.f__Paracoccaceae.g__.s__.ASV_10445","site","EsteroZacatecas",3.14805992058369,0.345099967329783,6.25038884727334e-09,"siteEsteroZacatecas",1.11792669096946e-06,24,12,"***","maaslin2"
"8","All","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Tunicatimonas.s__.ASV_8500","site","EsteroZacatecas",-4.01923338151233,0.446494351855238,7.89104697942638e-09,"siteEsteroZacatecas",1.23494885228023e-06,24,13,"***","maaslin2"
"9","All","k__Bacteria.p__Cyanobacteriota.c__Cyanobacteriia.o__Cyanobacteriales.f__Nostocaceae.g__Rivularia_PCC.7116.s__.ASV_8325","site","EsteroZacatecas",6.06012613314351,0.722596794697525,2.6730866820439e-08,"siteEsteroZacatecas",3.7185605843544e-06,24,12,"***","maaslin2"
"10","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__.s__.ASV_8288","site","EsteroZacatecas",-2.406082989461,0.311902339726085,1.07402584666816e-07,"siteEsteroZacatecas",1.34468036002853e-05,24,17,"***","maaslin2"
"11","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rhodobacterales.f__Paracoccaceae.g__Actibacterium.s__.ASV_9665","site","EsteroZacatecas",2.19992062711924,0.291489939363491,1.53165211162732e-07,"siteEsteroZacatecas",1.61465099697308e-05,24,11,"***","maaslin2"
"12","All","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Tunicatimonas.s__.ASV_15997","site","EsteroZacatecas",2.04605120909788,0.271276390435502,1.54758881499017e-07,"siteEsteroZacatecas",1.61465099697308e-05,24,13,"***","maaslin2"
"13","All","k__Bacteria.p__Cyanobacteriota.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__Myxosarcina_GI1.s__.ASV_3786","site","EsteroZacatecas",-2.86036495296438,0.384737300464461,1.94956573290147e-07,"siteEsteroZacatecas",1.87758176737896e-05,24,11,"***","maaslin2"
"14","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rhodobacterales.f__Paracoccaceae.g__Palleronia.Pseudomaribius.s__.ASV_5775","site","EsteroZacatecas",-4.15497396576796,0.568582671386383,2.56464378385435e-07,"siteEsteroZacatecas",2.19412119166478e-05,24,11,"***","maaslin2"
"15","All","k__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Nitriliruptorales.f__Nitriliruptoraceae.g__.s__.ASV_3378","site","EsteroZacatecas",-3.04766857081679,0.417705412404747,2.62873944688273e-07,"siteEsteroZacatecas",2.19412119166478e-05,24,16,"***","maaslin2"
"16","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rhodobacterales.f__Paracoccaceae.g__Palleronia.Pseudomaribius.s__.ASV_11540","site","EsteroZacatecas",2.66509084420847,0.374432616557183,3.88027955549986e-07,"siteEsteroZacatecas",3.03631875217864e-05,24,11,"***","maaslin2"
"17","All","k__Bacteria.p__Acidobacteriota.c__Thermoanaerobaculia.o__Thermoanaerobaculales.f__Thermoanaerobaculaceae.g__Subgroup_10.s__.ASV_12805","site","EsteroZacatecas",1.93846619299033,0.278132216749364,5.37682937670062e-07,"siteEsteroZacatecas",3.95987669389951e-05,24,11,"***","maaslin2"
"18","All","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Gramella.s__.ASV_3911","site","EsteroZacatecas",-2.49308946006433,0.367546056225518,8.14168457635318e-07,"siteEsteroZacatecas",5.3649416261022e-05,24,13,"***","maaslin2"
"19","All","k__Bacteria.p__Rhodothermota.c__Rhodothermia.o__Rhodothermales.f__Rhodothermaceae.g__Rubrivirga.s__.ASV_11931","site","EsteroZacatecas",-1.96356545279758,0.289027148820146,7.95030398611967e-07,"siteEsteroZacatecas",5.3649416261022e-05,24,11,"***","maaslin2"
"20","All","k__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Steroidobacterales.f__Woeseiaceae.g__Woeseia.s__.ASV_15362","site","EsteroZacatecas",1.65377277607637,0.245143899438032,8.8435813611249e-07,"siteEsteroZacatecas",5.53608193206419e-05,24,11,"***","maaslin2"
"21","All","k__Bacteria.p__Actinomycetota.c__Acidimicrobiia.o__Microtrichales.f__Ilumatobacteraceae.g__Ilumatobacter.s__.ASV_10265","site","EsteroZacatecas",3.06608496983422,0.459627020667018,1.04736473111764e-06,"siteEsteroZacatecas",5.70130714504036e-05,24,16,"***","maaslin2"
"22","All","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__.s__.ASV_11133","site","EsteroZacatecas",2.68564400333698,0.402292196151906,1.03554478933208e-06,"siteEsteroZacatecas",5.70130714504036e-05,24,18,"***","maaslin2"
"23","All","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Tunicatimonas.s__.ASV_7191","site","EsteroZacatecas",2.90713548867481,0.433544943450148,9.68773373230782e-07,"siteEsteroZacatecas",5.70130714504036e-05,24,11,"***","maaslin2"
"24","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rhodobacterales.f__Paracoccaceae.g__Actibacterium.s__.ASV_137","site","EsteroZacatecas",1.86177621815906,0.284270124292091,1.37804017159178e-06,"siteEsteroZacatecas",7.18877622847045e-05,24,11,"***","maaslin2"
"25","All","k__Bacteria.p__Cyanobacteriota.c__Cyanobacteriia.o__Cyanobacteriales.f__Nostocaceae.g__.s__.ASV_4049","site","EsteroZacatecas",4.41082149775498,0.675954919118874,1.45512109586442e-06,"siteEsteroZacatecas",7.28724644808901e-05,24,11,"***","maaslin2"
"26","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rhodobacterales.f__Paracoccaceae.g__Halodurantibacterium.s__.ASV_2265","site","EsteroZacatecas",2.33249218549754,0.36693008081681,2.13675253259444e-06,"siteEsteroZacatecas",0.000102892852723394,24,12,"***","maaslin2"
"27","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Novosphingobium.s__.ASV_15092","site","EsteroZacatecas",-2.84678336711777,0.450700677802686,2.34422008581484e-06,"siteEsteroZacatecas",0.000106056921462928,24,19,"***","maaslin2"
"28","All","k__Bacteria.p__Thermodesulfobacteriota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfosarcinaceae.g__SEEP.SRB1.s__.ASV_1671","site","EsteroZacatecas",1.34507450701405,0.213123678596987,2.37188003271723e-06,"siteEsteroZacatecas",0.000106056921462928,24,10,"***","maaslin2"
"29","All","k__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Devosiaceae.g__Pelagibacterium.s__.ASV_10161","site","EsteroZacatecas",-2.84881921538111,0.452807845579746,2.48214283931872e-06,"siteEsteroZacatecas",0.000107160097752657,24,14,"***","maaslin2"
