"","Comparison","Taxa","logFC","se","P.unadj","P.adj","Significance","Method"
"1","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325",6.01976430240886,0.537996008419422,0,0,"***","metagenomeSeq"
"2","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7012",5.46456784588831,0.470808549389586,0,0,"***","metagenomeSeq"
"3","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_5775",-4.62942964717934,0.555860799251677,0,0,"***","metagenomeSeq"
"4","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae|g__|s__|ASV_1096",-4.79415334934461,0.502033508678176,0,0,"***","metagenomeSeq"
"5","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_10445",4.41490386869164,0.477092570372077,0,0,"***","metagenomeSeq"
"6","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae|g__Acuticoccus|s__|ASV_1266",4.62542140256717,0.470306672223304,0,0,"***","metagenomeSeq"
"7","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Wenxinia|s__|ASV_15944",-4.35383672257015,0.487483865503211,0,0,"***","metagenomeSeq"
"8","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__|s__|ASV_4049",4.48779824473834,0.553572588492669,4.44089209850063e-16,7.42184091961917e-14,"***","metagenomeSeq"
"9","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium|s__|ASV_137",3.99351094479609,0.498893704722309,1.11022302462516e-15,1.64929798213759e-13,"***","metagenomeSeq"
"10","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_8500",-3.90414354719084,0.500747957035827,6.43929354282591e-15,8.60933546675824e-13,"***","metagenomeSeq"
"11","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_4932",3.76777805194094,0.485453493138348,8.43769498715119e-15,9.89578789282556e-13,"***","metagenomeSeq"
"12","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_13671",-4.16033255587188,0.536596425081818,8.88178419700125e-15,9.89578789282556e-13,"***","metagenomeSeq"
"13","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_16064",4.34979149833886,0.562494539110811,1.04360964314765e-14,1.07331237914493e-12,"***","metagenomeSeq"
"14","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_14979",4.18647190507459,0.571468762113954,2.37365682664858e-13,2.2668422694494e-11,"***","metagenomeSeq"
"15","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_11540",3.7514119430975,0.515764394609628,3.50386386571699e-13,3.12311065897575e-11,"***","metagenomeSeq"
"16","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_3911",-3.5316136118947,0.491005668931578,6.35713703900365e-13,5.20576653679641e-11,"***","metagenomeSeq"
"17","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_11931",-3.6700621415017,0.51064682927293,6.61914967281518e-13,5.20576653679641e-11,"***","metagenomeSeq"
"18","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Fulvivirga|s__|ASV_8492",3.52323150926456,0.500845899752666,1.99884553353513e-12,1.48469804352026e-10,"***","metagenomeSeq"
"19","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Myxosarcina_GI1|s__|ASV_3786",-3.4525545401999,0.505674148198805,8.63309423948522e-12,5.84158255101386e-10,"***","metagenomeSeq"
"20","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_15997",3.37630278532216,0.49463217279817,8.73834338221968e-12,5.84158255101386e-10,"***","metagenomeSeq"
"21","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium|s__|ASV_9665",3.3420779584343,0.490731291289968,9.73265912307397e-12,6.19645964169043e-10,"***","metagenomeSeq"
"22","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_1480",3.42364664123141,0.509613509712203,1.84079418374949e-11,1.09149303484379e-09,"***","metagenomeSeq"
"23","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Thiohalocapsa|s__|ASV_3220",3.81458843821046,0.568441448478409,1.93813853854863e-11,1.09149303484379e-09,"***","metagenomeSeq"
"24","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_7636",3.36640726779302,0.501772990391366,1.95929938939798e-11,1.09149303484379e-09,"***","metagenomeSeq"
"25","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae|g__Woeseia|s__|ASV_6320",3.43322883016183,0.523925829733989,5.64337465647213e-11,3.0180767662813e-09,"***","metagenomeSeq"
"26","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Pleurocapsa_PCC-7319|s__|ASV_696",3.64051562146844,0.566488909801203,1.30613964088866e-10,6.71657192256976e-09,"***","metagenomeSeq"
"27","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania|s__|ASV_3585",3.63886495337033,0.583290879194712,4.41763292613473e-10,2.1875463786082e-08,"***","metagenomeSeq"
