"","Comparison","Taxa","mean.group1.","variance.group1.","std.err.group1.","mean.group2.","variance.group2.","std.err.group2.","pvalue","qvalue","Significance","Group","Method"
"1","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441",0.0277100941132059,0.000249955133118029,0.00456394505077596,0.00686724966338229,5.95243272558524e-05,0.00222718670179542,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"2","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325",0,0,0,0.0271125067395465,0.000708513909563549,0.0076839329641117,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"3","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7535",0,0,0,0.0217272238400821,0.00214916046090272,0.0133827017106123,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"4","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7012",0,0,0,0.013118497756763,6.88023531251356e-05,0.002394478946889,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"5","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_13670",0,0,0,0.013573257680088,0.00112309394233906,0.0096742525221119,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"6","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_13236",0.00239047542261654,3.59341300810713e-06,0.000547221238631075,0.00841730640508841,3.46215578257139e-05,0.00169856698979154,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"7","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__|ASV_5509",0.00997925162306211,0.000311905480692075,0.00509824709003068,0,0,0,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"8","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Lewinella|s__|ASV_10676",0.00843582710227999,7.96663978792262e-05,0.00257659979234951,0.000615654887713076,8.21834668255686e-07,0.000261698724403923,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"9","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Lewinella|s__|ASV_12828",0.00830166026553494,0.000196100122590926,0.00404248399905023,0.000260379053418035,1.80838655582403e-07,0.000122759471997888,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"10","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_16064",0,0,0,0.0087282578196948,9.66546853139923e-05,0.00283805516322346,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"11","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania|s__|ASV_3585",0,0,0,0.00856806713215489,0.000243076571516598,0.00450070893968011,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"12","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__Marinobacter|s__|ASV_13594",0.00738311138370524,1.32701628285921e-05,0.00105159255530965,0.00181862061896497,3.48393520402247e-06,0.000538820873452893,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"13","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__|s__|ASV_4049",0,0,0,0.00751736512017687,6.44283645915205e-05,0.00231711682541617,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"14","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_659",0.00764893575498617,1.52982902536825e-05,0.0011290958866014,0.00125441020826389,1.5781951305173e-06,0.000362651707394907,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"15","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_8981",0,0,0,0.00732825653441262,7.51029612395838e-05,0.00250171543211826,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"16","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_9614",0.000943320906441335,2.02065800322361e-06,0.000410351272613234,0.0060805235282699,2.36204893243217e-05,0.0014029875660034,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"17","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_5775",0.00795484270676719,3.35983374382094e-05,0.00167327865377651,0,0,0,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"18","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_12448",0,0,0,0.0065327740124445,7.95373837041552e-05,0.00257451263517575,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"19","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae|g__|s__|ASV_1096",0.00892661314586083,4.08634282242063e-05,0.00184534161751978,0,0,0,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"20","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sufflavibacter|s__|ASV_4707",0.00731171338257028,2.82437392831466e-05,0.00153415935947418,0.000163312331529411,8.43588255678833e-08,8.38445116310957e-05,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"21","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_14979",0,0,0,0.00556194838530342,2.49225108837113e-05,0.00144113701880701,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"22","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_10311",0.00466413860311351,1.53290852820819e-05,0.00113023173442743,0.000481601332294965,4.85012650422651e-07,0.000201041589897599,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"23","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_10445",0,0,0,0.00463691582494009,1.34343679105356e-05,0.00105807875851059,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"24","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_15130",0,0,0,0.00494437659787648,4.89339788285967e-05,0.00201936414968913,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"25","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae|g__Acuticoccus|s__|ASV_1266",0,0,0,0.00449707051389369,7.88588738576408e-06,0.000810652380584309,0.000999000999000999,0.000233850121873466,"***","EsteroZacatecas","metastat"
"26","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Lewinella|s__|ASV_368",0.00417899208104944,2.65302754928772e-05,0.00148689484869412,0.000300136152536968,2.24562141028321e-07,0.000136797338250275,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"27","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_13671",0.00470181737810571,2.44876822771662e-05,0.00142850977937284,0,0,0,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
"28","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae|g__|s__|ASV_9855",0.00536979399742877,3.7632898586369e-05,0.00177089663227344,5.60483136463632e-05,3.76969615512132e-08,5.60483136463632e-05,0.000999000999000999,0.000233850121873466,"***","ColaDeBallena","metastat"
