"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"1","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","Wilcoxon Rank Sum Test","ColaDeBallena",0.0172711929341355,0.044364552842264,"*"
"2","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","Wilcoxon Rank Sum Test","ColaDeBallena",0.00451305324101124,0.0237287877437544,"*"
"3","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","Wilcoxon Rank Sum Test","ColaDeBallena",0.127687899662593,0.187833784640274,"ns"
"4","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_1823","Wilcoxon Rank Sum Test","ColaDeBallena",0.0437415424903002,0.0826911744268877,"ns"
"5","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325","Wilcoxon Rank Sum Test","EsteroZacatecas",1.02689156151545e-05,0.00187366226696575,"**"
"6","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_6535","Wilcoxon Rank Sum Test","EsteroZacatecas",0.241523787828809,0.309315907152785,"ns"
"7","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_4417","Wilcoxon Rank Sum Test","ColaDeBallena",0.165764623625821,0.222183018529061,"ns"
"8","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82","Wilcoxon Rank Sum Test","ColaDeBallena",0.241523787828809,0.309315907152785,"ns"
"9","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_6338","Wilcoxon Rank Sum Test","ColaDeBallena",0.338908345028747,0.409856812586427,"ns"
"10","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__|ASV_5509","Wilcoxon Rank Sum Test","ColaDeBallena",0.000125308727883931,0.00318236882512776,"**"
"11","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7535","Wilcoxon Rank Sum Test","EsteroZacatecas",0.00705410240068292,0.0268975122700261,"*"
"12","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_2541","Wilcoxon Rank Sum Test","ColaDeBallena",0.83972242843144,0.87144671447087,"ns"
