"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"2","glmm_beta formula for season+site","Paracoccaceae","season",NA,NA,NA,5.86604902539934e-08,"***"
"3","glmm_beta formula for season+site","Paracoccaceae","site",NA,NA,NA,0.0481176900721982,"*"
"5","glmm_beta formula for season+site","Paracoccaceae","Season: September",NA,0.595366726896718,0.109788793268012,5.86604902539932e-08,"***"
"6","glmm_beta formula for season+site","Paracoccaceae","Site: Estero Zacatecas",NA,-0.212199905521173,0.107370817345305,0.048117690072198,"*"
"14","glmm_beta formula for season+site","Flavobacteriaceae","season",NA,NA,NA,9.49554055115357e-15,"***"
"15","glmm_beta formula for season+site","Flavobacteriaceae","site",NA,NA,NA,0.00367963282026375,"**"
"17","glmm_beta formula for season+site","Flavobacteriaceae","Season: September",NA,-1.69996108125959,0.219467750046858,9.49554055115353e-15,"***"
"18","glmm_beta formula for season+site","Flavobacteriaceae","Site: Estero Zacatecas",NA,0.522486209018022,0.179895007328961,0.00367963282026375,"**"
"20","glmm_beta formula for season+site","Rhodothermaceae","season",NA,NA,NA,2.69512658783769e-09,"***"
"21","glmm_beta formula for season+site","Rhodothermaceae","site",NA,NA,NA,0.114055945909026,"ns"
"23","glmm_beta formula for season+site","Rhodothermaceae","Season: September",NA,0.868384625232887,0.145967462657323,2.69512658783767e-09,"***"
"24","glmm_beta formula for season+site","Rhodothermaceae","Site: Estero Zacatecas",NA,0.217058610270792,0.137359533444971,0.114055945909026,"ns"
"26","glmm_beta formula for season+site","Cyclobacteriaceae","season",NA,NA,NA,0.827612095088173,"ns"
"27","glmm_beta formula for season+site","Cyclobacteriaceae","site",NA,NA,NA,1.52467956064988e-14,"***"
"29","glmm_beta formula for season+site","Cyclobacteriaceae","Season: September",NA,-0.020189791574726,0.0927136003511882,0.827612095088173,"ns"
"30","glmm_beta formula for season+site","Cyclobacteriaceae","Site: Estero Zacatecas",NA,0.750933506939017,0.0977085464078709,1.52467956064987e-14,"***"
"32","glmm_beta formula for season+site","Euzebyaceae","season",NA,NA,NA,1.905126965856e-10,"***"
"33","glmm_beta formula for season+site","Euzebyaceae","site",NA,NA,NA,0.00441762672125974,"**"
"35","glmm_beta formula for season+site","Euzebyaceae","Season: September",NA,1.73151317495947,0.271874316069318,1.905126965856e-10,"***"
"36","glmm_beta formula for season+site","Euzebyaceae","Site: Estero Zacatecas",NA,-0.640204555540223,0.22489431869284,0.00441762672125974,"**"
"38","glmm_beta formula for season+site","Nitriliruptoraceae","season",NA,NA,NA,2.46538751837182e-16,"***"
"39","glmm_beta formula for season+site","Nitriliruptoraceae","site",NA,NA,NA,1.51118601885577e-06,"***"
"41","glmm_beta formula for season+site","Nitriliruptoraceae","Season: September",NA,1.42390341633245,0.173711120220199,2.46538751837182e-16,"***"
"42","glmm_beta formula for season+site","Nitriliruptoraceae","Site: Estero Zacatecas",NA,-0.732191151916415,0.152230580598851,1.51118601885577e-06,"***"
"44","glmm_beta formula for season+site","Nostocaceae","season",NA,NA,NA,0.92123429120544,"ns"
"45","glmm_beta formula for season+site","Nostocaceae","site",NA,NA,NA,1.4839725757336e-16,"***"
"47","glmm_beta formula for season+site","Nostocaceae","Season: September",NA,0.0353489056641785,0.357496358718282,0.92123429120544,"ns"
"48","glmm_beta formula for season+site","Nostocaceae","Site: Estero Zacatecas",NA,3.74891486926867,0.453985380716592,1.48397257573362e-16,"***"
"56","glmm_beta formula for season+site","Rhizobiaceae","season",NA,NA,NA,1.55415135944214e-08,"***"
"57","glmm_beta formula for season+site","Rhizobiaceae","site",NA,NA,NA,0.000146787441348796,"***"
"59","glmm_beta formula for season+site","Rhizobiaceae","Season: September",NA,0.924438765727998,0.163459061608484,1.55415135944214e-08,"***"
"60","glmm_beta formula for season+site","Rhizobiaceae","Site: Estero Zacatecas",NA,-0.591349177131731,0.155764031918758,0.000146787441348796,"***"
"68","glmm_beta formula for season+site","Rubrobacteriaceae","season",NA,NA,NA,0.000270443141381267,"***"
"69","glmm_beta formula for season+site","Rubrobacteriaceae","site",NA,NA,NA,0.423900314947191,"ns"
"71","glmm_beta formula for season+site","Rubrobacteriaceae","Season: September",NA,1.27070191080224,0.3488944855227,0.000270443141381267,"***"
"72","glmm_beta formula for season+site","Rubrobacteriaceae","Site: Estero Zacatecas",NA,0.252867923098047,0.316214180102604,0.423900314947191,"ns"
"74","glmm_beta formula for season+site","Nocardioidaceae","season",NA,NA,NA,6.62484788767575e-07,"***"
"75","glmm_beta formula for season+site","Nocardioidaceae","site",NA,NA,NA,5.35888788534962e-11,"***"
"77","glmm_beta formula for season+site","Nocardioidaceae","Season: September",NA,1.8030806994083,0.362643287438681,6.62484788767575e-07,"***"
"78","glmm_beta formula for season+site","Nocardioidaceae","Site: Estero Zacatecas",NA,-3.08820765633149,0.470719745195619,5.35888788534964e-11,"***"
"80","glmm_beta formula for season+site","Sandaracinaceae","season",NA,NA,NA,0.673451350133051,"ns"
"81","glmm_beta formula for season+site","Sandaracinaceae","site",NA,NA,NA,3.54650864306378e-07,"***"
"83","glmm_beta formula for season+site","Sandaracinaceae","Season: September",NA,-0.144413249116178,0.342685742727717,0.673451350133051,"ns"
"84","glmm_beta formula for season+site","Sandaracinaceae","Site: Estero Zacatecas",NA,-2.27524006726707,0.44684258589554,3.54650864306378e-07,"***"
"86","glmm_beta formula for season+site","Xenococcaceae","season",NA,NA,NA,0.2899069699229,"ns"
"87","glmm_beta formula for season+site","Xenococcaceae","site",NA,NA,NA,0.0105993294013352,"*"
"89","glmm_beta formula for season+site","Xenococcaceae","Season: September",NA,0.27305628476655,0.258007793822862,0.2899069699229,"ns"
"90","glmm_beta formula for season+site","Xenococcaceae","Site: Estero Zacatecas",NA,0.683293672792238,0.26736714961975,0.0105993294013352,"*"
"92","glmm_beta formula for season+site","Cellvibrionaceae","season",NA,NA,NA,0.504657488149611,"ns"
"93","glmm_beta formula for season+site","Cellvibrionaceae","site",NA,NA,NA,0.00128101164809461,"**"
"95","glmm_beta formula for season+site","Cellvibrionaceae","Season: September",NA,0.207931527018737,0.311657551038026,0.504657488149611,"ns"
"96","glmm_beta formula for season+site","Cellvibrionaceae","Site: Estero Zacatecas",NA,-1.09027264102169,0.338572952133932,0.00128101164809461,"**"
"98","glmm_beta formula for season+site","Pirellulaceae","season",NA,NA,NA,4.23751675264899e-13,"***"
"99","glmm_beta formula for season+site","Pirellulaceae","site",NA,NA,NA,0.0216641354232595,"*"
"101","glmm_beta formula for season+site","Pirellulaceae","Season: September",NA,-2.62911211142371,0.362748728111044,4.23751675264902e-13,"***"
"102","glmm_beta formula for season+site","Pirellulaceae","Site: Estero Zacatecas",NA,-0.535595621919249,0.233252479715469,0.0216641354232595,"*"
