"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"1","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","Model","R2: 0.549738235659932; adjusted R2: 0.50685616286564",NA,NA,NA,NA
"2","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","season",NA,NA,NA,8.5904936265948e-05,"***"
"3","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","site",NA,NA,NA,0.158547370082914,"ns"
"4","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","Residuals",NA,NA,NA,NA,NA
"5","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","(Intercept)",NA,0.308536308346388,0.0163242513448724,1.15836769375371e-14,"***"
"6","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","seasonSeptember",NA,0.0913810350244524,0.0188496218165623,8.59049362659481e-05,"***"
"7","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","siteEsteroZacatecas",NA,-0.0275580314859451,0.0188496218165623,0.158547370082914,"ns"
"8","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","Model","R2: 0.13042396684408; adjusted R2: 0.0476072017816112",NA,NA,NA,NA
"9","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","season",NA,NA,NA,0.17665691727437,"ns"
"10","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","site",NA,NA,NA,0.286737967013131,"ns"
"11","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","Residuals",NA,NA,NA,NA,NA
"12","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","(Intercept)",NA,0.374516514058747,0.0264987238475473,3.37053834825144e-12,"***"
"13","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","seasonSeptember",NA,-0.0427811920243702,0.030598090693126,0.17665691727437,"ns"
"14","lm formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","siteEsteroZacatecas",NA,-0.0334462900526643,0.030598090693126,0.286737967013131,"ns"
"15","lm formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","Model","R2: 0.745765349139899; adjusted R2: 0.72155252524846",NA,NA,NA,NA
"16","lm formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","season",NA,NA,NA,1.95472131567593e-07,"***"
"17","lm formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","site",NA,NA,NA,0.0524853723109614,"ns"
"18","lm formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","Residuals",NA,NA,NA,NA,NA
"19","lm formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","(Intercept)",NA,0.330862505252073,0.0240316556475773,5.55192313260605e-12,"***"
"20","lm formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","seasonSeptember",NA,-0.210193169602653,0.0277493657144023,1.95472131567594e-07,"***"
