"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"1","glmm_beta formula for season","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","Model","Ferrari's R2: 0.506837050876575",NA,NA,NA,NA
"2","glmm_beta formula for season","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","season",NA,NA,NA,1.13861040449142e-06,"***"
"3","glmm_beta formula for season","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","(Intercept)",NA,-2.35998504156613,0.0918980437821303,1.93191585394712e-145,"***"
"4","glmm_beta formula for season","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","seasonSeptember",NA,0.570692412956582,0.117280856937292,1.13861040449142e-06,"***"
"5","glmm_beta formula for season","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","Model","Ferrari's R2: 0.0361665322082206",NA,NA,NA,NA
"6","glmm_beta formula for season","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","season",NA,NA,NA,0.335593731335699,"ns"
"7","glmm_beta formula for season","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","(Intercept)",NA,-1.97153801242378,0.128728329324194,6.02519486938412e-53,"***"
"8","glmm_beta formula for season","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","seasonSeptember",NA,-0.17814969665642,0.185012182091661,0.335593731335699,"ns"
"9","glmm_beta formula for season","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","Model","Ferrari's R2: 0.766304747573054",NA,NA,NA,NA
"10","glmm_beta formula for season","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","season",NA,NA,NA,1.3104972740779e-10,"***"
"11","glmm_beta formula for season","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","(Intercept)",NA,-1.9424230648669,0.118557822223883,2.49805972492969e-60,"***"
