"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"1","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","Wilcoxon Rank Sum Test","September",0.000201171825885785,0.00100585912942892,"**"
"2","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","Wilcoxon Rank Sum Test","February",0.100530442770314,0.175928274848049,"ns"
"3","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","Wilcoxon Rank Sum Test","February",7.39602301050679e-07,1.72573870245158e-05,"***"
"4","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","Wilcoxon Rank Sum Test","September",0.000144222448704882,0.000776582416103213,"***"
"5","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","Wilcoxon Rank Sum Test","February",0.798745338656498,0.847154147059922,"ns"
"6","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","Wilcoxon Rank Sum Test","September",0.000102804719846044,0.000719633038922311,"***"
"7","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","Wilcoxon Rank Sum Test","September",8.87522761260815e-06,0.000103544322147095,"***"
"8","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","Wilcoxon Rank Sum Test","September",0.829031220727544,0.866152021655642,"ns"
"9","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","Wilcoxon Rank Sum Test","September",0.977402191293698,0.977402191293698,"ns"
"10","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","Wilcoxon Rank Sum Test","September",4.95533541703955e-05,0.000385414976880854,"***"
"11","February - September","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","Wilcoxon Rank Sum Test","September",0.589875732021377,0.708543276787257,"ns"
"12","February - September","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","Wilcoxon Rank Sum Test","September",0.000144222448704882,0.000776582416103213,"***"
"13","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","Wilcoxon Rank Sum Test","September",0.0291296688534225,0.0599728476393993,"ns"
"14","February - September","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","Wilcoxon Rank Sum Test","February",0.88738593483512,0.9134855211538,"ns"
"15","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","Wilcoxon Rank Sum Test","September",0.712535075639127,0.779335238980296,"ns"
"16","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","Wilcoxon Rank Sum Test","September",0.218920801906399,0.301658017280288,"ns"
"17","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","Wilcoxon Rank Sum Test","February",7.39602301050679e-07,1.72573870245158e-05,"***"
"18","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","Wilcoxon Rank Sum Test","September",0.0887337860685552,0.159265769866638,"ns"
"19","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","Wilcoxon Rank Sum Test","September",0.00143260965713517,0.00477536552378388,"**"
"20","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","Wilcoxon Rank Sum Test","February",7.39602301050679e-07,1.72573870245158e-05,"***"
"21","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","Wilcoxon Rank Sum Test","February",5.17721610735475e-06,9.06012818787082e-05,"***"
"22","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","Wilcoxon Rank Sum Test","September",0.164935321277179,0.252950464760539,"ns"
"23","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","Wilcoxon Rank Sum Test","September",0.0349304854554014,0.0698609709108027,"ns"
"24","February - September","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","Wilcoxon Rank Sum Test","February",0.127687899662593,0.207864022706547,"ns"
"25","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","Wilcoxon Rank Sum Test","February",2.21880690315204e-05,0.000194145604025803,"***"
"26","February - September","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","Wilcoxon Rank Sum Test","February",0.000857938669218788,0.00316082667606922,"**"
"27","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","Wilcoxon Rank Sum Test","February",0.0139289571983949,0.0314524839963755,"*"
"28","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","Wilcoxon Rank Sum Test","February",0.0194363174988167,0.0425169445286615,"*"
"29","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","Wilcoxon Rank Sum Test","February",0.203925519456291,0.297391382540424,"ns"
"30","February - September","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","Wilcoxon Rank Sum Test","February",0.219779412589924,0.301658017280288,"ns"
"31","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","Wilcoxon Rank Sum Test","February",8.87522761260815e-06,0.000103544322147095,"***"
"32","February - September","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","Wilcoxon Rank Sum Test","February",0.00250101010233535,0.00700282828653898,"**"
"33","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","Wilcoxon Rank Sum Test","February",0.00724728468129621,0.0181182117032405,"*"
"34","February - September","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","Wilcoxon Rank Sum Test","February",0.000289822359747701,0.00135250434548927,"**"
"35","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","Wilcoxon Rank Sum Test","September",0.00178112834303311,0.00542082539183991,"**"
"36","February - September","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae","Wilcoxon Rank Sum Test","February",0.197808114620606,0.294607830286009,"ns"
"37","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae","Wilcoxon Rank Sum Test","February",0.0519560096234831,0.101025574267884,"ns"
"38","February - September","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae","Wilcoxon Rank Sum Test","September",0.409510398068751,0.530846812311343,"ns"
"39","February - September","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","Wilcoxon Rank Sum Test","February",0.00164817797766538,0.00524420265620801,"**"
"40","February - September","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales|f__Caldilineaceae","Wilcoxon Rank Sum Test","February",0.0100445388505693,0.023437257317995,"*"
"41","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae","Wilcoxon Rank Sum Test","February",0.00720934335825143,0.0181182117032405,"*"
