"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"1","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","Model","Ferrari's R2: 0.035573599793339",NA,NA,NA,NA
"2","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","site",NA,NA,NA,0.351639178789567,"ns"
"3","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","(Intercept)",NA,-1.97239688798648,0.109630069821556,2.27594150525125e-72,"***"
"4","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","siteEsteroZacatecas",NA,-0.146706074755932,0.157508896818354,0.351639178789567,"ns"
"5","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","Model","Ferrari's R2: 0.0729201071174252",NA,NA,NA,NA
"6","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","site",NA,NA,NA,0.163255035867198,"ns"
"7","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","(Intercept)",NA,-1.93681385010693,0.124684968614573,2.05320728793673e-54,"***"
"8","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","siteEsteroZacatecas",NA,-0.253806574931563,0.182043651627568,0.163255035867198,"ns"
"9","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","Model","Ferrari's R2: 0.023587751388047",NA,NA,NA,NA
"10","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","site",NA,NA,NA,0.495558963958803,"ns"
"11","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","(Intercept)",NA,-2.59860880150253,0.254832434673968,2.03811512915793e-24,"***"
