"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"1","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.513722581093694,0.570802867881883,"ns"
"2","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.218920801906399,0.312744002723427,"ns"
"3","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.37768531105454,0.455827099548582,"ns"
"4","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.241523787828809,0.338133302960332,"ns"
"5","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",2.95840920420272e-06,0.00020708864429419,"***"
"6","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.0518646113611789,0.106780082214192,"ns"
"7","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.0449019952990878,0.0953316290068134,"ns"
"8","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",1.02689156151545e-05,0.000359412046530408,"***"
"9","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.159973019308058,0.266621698846763,"ns"
"10","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.0332414254207228,0.0750612832080837,"ns"
"11","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.629725504001988,0.667890686062715,"ns"
"12","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.712535075639127,0.733491989628513,"ns"
"13","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","Wilcoxon Rank Sum Test","ColaDeBallena",6.73982052292313e-05,0.000836983270689018,"***"
"14","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","Wilcoxon Rank Sum Test","ColaDeBallena",7.17414232019159e-05,0.000836983270689018,"***"
"15","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.0144925070890881,0.0405790198494466,"*"
"16","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.000656027241031952,0.00328013620515976,"**"
"17","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.513722581093694,0.570802867881883,"ns"
"18","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.00111458066768337,0.00410634982830717,"**"
"19","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.0887337860685552,0.167874730399969,"ns"
"20","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.26566958415121,0.357632132511245,"ns"
"21","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.88738593483512,0.900246600557369,"ns"
"22","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.582539554870687,0.637152638139814,"ns"
"23","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.0003043359325558,0.00209287453932465,"**"
"24","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","Wilcoxon Rank Sum Test","EsteroZacatecas",0.000201171825885785,0.00176025347650062,"**"
"25","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.218920801906399,0.312744002723427,"ns"
"26","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.409510398068751,0.469929964996927,"ns"
"27","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.00178112834303311,0.0062339492006159,"**"
"28","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.0165308429347236,0.042857740941876,"*"
"29","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.00110341326972899,0.00410634982830717,"**"
"30","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",3.75846071382431e-05,0.000657730624919254,"***"
"31","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.409510398068751,0.469929964996927,"ns"
"32","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.0449420536746406,0.0953316290068134,"ns"
"33","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.0303467893868292,0.0708091752359349,"ns"
"34","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.338669719616063,0.423337149520079,"ns"
"35","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.385441288738544,0.457303223927086,"ns"
"36","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae","Wilcoxon Rank Sum Test","EsteroZacatecas",0.178182027959925,0.275214666345186,"ns"
"37","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae","Wilcoxon Rank Sum Test","ColaDeBallena",0.000388676700160291,0.00209287453932465,"**"
