"","Method","Taxa","Factors","Df","Fvalue","P.unadj","Significance"
"1","anova formula for season+site","k__Bacteria","season",1,7.20146528863755,0.0139073661268484,"*"
"2","anova formula for season+site","k__Bacteria","site",1,16.7218553853236,0.0005249211814424,"***"
"3","anova formula for season+site","k__Bacteria","Residuals",21,NA,NA,NA
"4","anova formula for season+site","k__Bacteria|p__Pseudomonadota","season",1,0.37220260681027,0.548351823514023,"ns"
"5","anova formula for season+site","k__Bacteria|p__Pseudomonadota","site",1,9.71337657475283,0.00521906865564702,"**"
"6","anova formula for season+site","k__Bacteria|p__Pseudomonadota","Residuals",21,NA,NA,NA
"7","anova formula for season+site","k__Bacteria|p__Actinomycetota","season",1,105.699139704574,1.18990324665364e-09,"***"
"8","anova formula for season+site","k__Bacteria|p__Actinomycetota","site",1,24.7244282658067,6.39807355790037e-05,"***"
"9","anova formula for season+site","k__Bacteria|p__Actinomycetota","Residuals",21,NA,NA,NA
"10","anova formula for season+site","k__Bacteria|p__Bacteroidota","season",1,71.6906125641773,3.27715040982618e-08,"***"
"11","anova formula for season+site","k__Bacteria|p__Bacteroidota","site",1,28.1765439535771,2.90590353879428e-05,"***"
"12","anova formula for season+site","k__Bacteria|p__Bacteroidota","Residuals",21,NA,NA,NA
"13","anova formula for season+site","k__Bacteria|p__Rhodothermota","season",1,34.535255655776,7.82139834477149e-06,"***"
"14","anova formula for season+site","k__Bacteria|p__Rhodothermota","site",1,3.93710515079009,0.060454194937972,"ns"
"15","anova formula for season+site","k__Bacteria|p__Rhodothermota","Residuals",21,NA,NA,NA
"16","anova formula for season+site","k__Bacteria|p__Cyanobacteriota","season",1,1.10313189342723,0.305517039178322,"ns"
"17","anova formula for season+site","k__Bacteria|p__Cyanobacteriota","site",1,39.7345165657083,2.98896016165376e-06,"***"
"18","anova formula for season+site","k__Bacteria|p__Cyanobacteriota","Residuals",21,NA,NA,NA
"19","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","season",1,44.5170138050342,1.32627904023216e-06,"***"
"20","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","site",1,10.2332122446321,0.00431412165635407,"**"
"21","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","Residuals",21,NA,NA,NA
"22","anova formula for season+site","k__Bacteria|p__Myxococcota","season",1,1.38567046924787,0.252307689699305,"ns"
"23","anova formula for season+site","k__Bacteria|p__Myxococcota","site",1,21.4048674328692,0.000145397269950908,"***"
"24","anova formula for season+site","k__Bacteria|p__Myxococcota","Residuals",21,NA,NA,NA
"25","anova formula for season+site","k__Bacteria|p__Planctomycetota","season",1,96.2244276517419,2.71084760848981e-09,"***"
