"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"1","glmm_beta formula for season+site","k__Bacteria","Model","Ferrari's R2: 0.525492297706118",NA,NA,NA,NA
"2","glmm_beta formula for season+site","k__Bacteria","season",NA,NA,NA,0.214718817398503,"ns"
"3","glmm_beta formula for season+site","k__Bacteria","site",NA,NA,NA,0.00816788149624104,"**"
"4","glmm_beta formula for season+site","k__Bacteria","(Intercept)",NA,7.33924416516505,0.830824716262847,1.01282247510698e-18,"***"
"5","glmm_beta formula for season+site","k__Bacteria","seasonSeptember",NA,-0.524320570044278,0.422602653536751,0.214718817398503,"ns"
"6","glmm_beta formula for season+site","k__Bacteria","siteEsteroZacatecas",NA,1.12525692681326,0.425419886432487,0.00816788149624104,"**"
"7","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota","Model","Ferrari's R2: 0.326380081627883",NA,NA,NA,NA
"8","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota","season",NA,NA,NA,0.498453907319253,"ns"
"9","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota","site",NA,NA,NA,0.0008442179714892,"***"
"10","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota","(Intercept)",NA,-0.404515160050139,0.0771496194367522,1.57767899790526e-07,"***"
"11","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota","seasonSeptember",NA,0.060809600560484,0.0898321858174246,0.498453907319253,"ns"
"12","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota","siteEsteroZacatecas",NA,-0.300072015639932,0.0898991240965302,0.000844217971489199,"***"
"13","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota","Model","Ferrari's R2: 0.821617010174303",NA,NA,NA,NA
"14","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota","season",NA,NA,NA,1.51092376263257e-18,"***"
"15","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota","site",NA,NA,NA,5.35691861668015e-05,"***"
"16","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota","(Intercept)",NA,-2.00904144392586,0.159584832801264,2.42190281226081e-36,"***"
"17","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota","seasonSeptember",NA,1.45327714867574,0.165354554631381,1.51092376263255e-18,"***"
"18","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota","siteEsteroZacatecas",NA,-0.617511126928183,0.152868857456748,5.35691861668015e-05,"***"
"19","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota","Model","Ferrari's R2: 0.833744351436173",NA,NA,NA,NA
"20","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota","season",NA,NA,NA,3.2788829992618e-24,"***"
"21","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota","site",NA,NA,NA,1.72017225283079e-11,"***"
"22","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota","(Intercept)",NA,-1.36266214331826,0.0723441354961246,3.84028048651525e-79,"***"
"23","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota","seasonSeptember",NA,-0.91277042651779,0.089919006336619,3.27888299926184e-24,"***"
"24","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota","siteEsteroZacatecas",NA,0.591024284609856,0.0878455340521639,1.7201722528308e-11,"***"
"25","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota","Model","Ferrari's R2: 0.645250998752617",NA,NA,NA,NA
"26","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota","season",NA,NA,NA,2.69512658783769e-09,"***"
"27","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota","site",NA,NA,NA,0.114055945909026,"ns"
"28","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota","(Intercept)",NA,-3.20631110723474,0.133679951994598,3.98963716987874e-127,"***"
"29","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota","seasonSeptember",NA,0.868384625232887,0.145967462657323,2.69512658783767e-09,"***"
"30","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota","siteEsteroZacatecas",NA,0.217058610270792,0.137359533444971,0.114055945909026,"ns"
"31","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota","Model","Ferrari's R2: 0.768960889165043",NA,NA,NA,NA
"32","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota","season",NA,NA,NA,0.520548194177857,"ns"
"33","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota","site",NA,NA,NA,2.34906277080617e-07,"***"
"34","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota","(Intercept)",NA,-3.72401204854335,0.349583312550135,1.69349071658017e-26,"***"
"35","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota","seasonSeptember",NA,-0.183198737713499,0.285133951962636,0.520548194177857,"ns"
"36","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota","siteEsteroZacatecas",NA,1.76141157849543,0.340741230419193,2.34906277080616e-07,"***"
"37","glmm_beta formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","Model","Ferrari's R2: 0.699454367704204",NA,NA,NA,NA
"38","glmm_beta formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","season",NA,NA,NA,4.52244274636654e-12,"***"
"39","glmm_beta formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","site",NA,NA,NA,1.97306438667069e-05,"***"
"40","glmm_beta formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","(Intercept)",NA,-2.96311306217528,0.131289882441412,8.69242332619743e-113,"***"
"41","glmm_beta formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","seasonSeptember",NA,-1.81374392607412,0.262108854555974,4.52244274636654e-12,"***"
"42","glmm_beta formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","siteEsteroZacatecas",NA,-0.9124283254289,0.213787723679444,1.97306438667069e-05,"***"
"43","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota","Model","Ferrari's R2: 0.557868690509361",NA,NA,NA,NA
"44","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota","season",NA,NA,NA,0.0428471546810825,"*"
"45","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota","site",NA,NA,NA,1.46460882543417e-06,"***"
"46","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota","(Intercept)",NA,-3.30262430111378,0.179982430726979,3.31916559386048e-75,"***"
"47","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota","seasonSeptember",NA,-0.503950103538802,0.248840058556038,0.0428471546810827,"*"
"48","glmm_beta formula for season+site","k__Bacteria|p__Myxococcota","siteEsteroZacatecas",NA,-1.37007765008347,0.28448426877031,1.46460882543417e-06,"***"
"49","glmm_beta formula for season+site","k__Bacteria|p__Planctomycetota","Model","Ferrari's R2: 0.739735189986205",NA,NA,NA,NA
"50","glmm_beta formula for season+site","k__Bacteria|p__Planctomycetota","season",NA,NA,NA,9.31695790746531e-20,"***"
"51","glmm_beta formula for season+site","k__Bacteria|p__Planctomycetota","site",NA,NA,NA,0.00759255762694334,"**"
"52","glmm_beta formula for season+site","k__Bacteria|p__Planctomycetota","(Intercept)",NA,-3.33181725878041,0.108162828967395,2.33662285230344e-208,"***"
"53","glmm_beta formula for season+site","k__Bacteria|p__Planctomycetota","seasonSeptember",NA,-2.15250027990332,0.236625862264937,9.31695790746543e-20,"***"
"54","glmm_beta formula for season+site","k__Bacteria|p__Planctomycetota","siteEsteroZacatecas",NA,-0.426101228948152,0.159608135741267,0.00759255762694334,"**"
"55","glmm_beta formula for season+site","k__Bacteria|p__Chloroflexota","Model","Ferrari's R2: 0.461479175118388",NA,NA,NA,NA
"56","glmm_beta formula for season+site","k__Bacteria|p__Chloroflexota","season",NA,NA,NA,0.000303616723101661,"***"
"57","glmm_beta formula for season+site","k__Bacteria|p__Chloroflexota","site",NA,NA,NA,0.554626316845724,"ns"
"58","glmm_beta formula for season+site","k__Bacteria|p__Chloroflexota","(Intercept)",NA,-3.93046505810047,0.206843370172019,1.6375494464343e-80,"***"
"59","glmm_beta formula for season+site","k__Bacteria|p__Chloroflexota","seasonSeptember",NA,-0.929051309245341,0.257198585241391,0.000303616723101661,"***"
"60","glmm_beta formula for season+site","k__Bacteria|p__Chloroflexota","siteEsteroZacatecas",NA,0.140390505765121,0.237610926478871,0.554626316845724,"ns"
"61","glmm_beta formula for season+site","k__Bacteria|p__Verrucomicrobiota","Model","Ferrari's R2: 0.176100108162271",NA,NA,NA,NA
"62","glmm_beta formula for season+site","k__Bacteria|p__Verrucomicrobiota","season",NA,NA,NA,1.06843439664206e-09,"***"
"63","glmm_beta formula for season+site","k__Bacteria|p__Verrucomicrobiota","site",NA,NA,NA,0.361075556600598,"ns"
"64","glmm_beta formula for season+site","k__Bacteria|p__Verrucomicrobiota","(Intercept)",NA,-4.30912085876827,0.269748839309954,1.92184844712937e-57,"***"
"65","glmm_beta formula for season+site","k__Bacteria|p__Verrucomicrobiota","seasonSeptember",NA,-2.50708016097415,0.411075171025552,1.06843439664206e-09,"***"
"66","glmm_beta formula for season+site","k__Bacteria|p__Verrucomicrobiota","siteEsteroZacatecas",NA,0.284845649153291,0.311880189126038,0.361075556600598,"ns"
"67","glmm_beta formula for season+site","k__Bacteria|p__Acidobacteriota","Model","Ferrari's R2: 0.335484917964858",NA,NA,NA,NA
"68","glmm_beta formula for season+site","k__Bacteria|p__Acidobacteriota","season",NA,NA,NA,6.01098136487062e-05,"***"
"69","glmm_beta formula for season+site","k__Bacteria|p__Acidobacteriota","site",NA,NA,NA,0.0334944394306862,"*"
"70","glmm_beta formula for season+site","k__Bacteria|p__Acidobacteriota","(Intercept)",NA,-4.21070865673252,0.214261943491735,5.54110214777926e-86,"***"
"71","glmm_beta formula for season+site","k__Bacteria|p__Acidobacteriota","seasonSeptember",NA,-1.32269054300651,0.329652418744523,6.01098136487062e-05,"***"
