"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"1","lm formula for season+site","k__Bacteria","Model","R2: 0.532536783012744; adjusted R2: 0.488016476633005",NA,NA,NA,NA
"2","lm formula for season+site","k__Bacteria","season",NA,NA,NA,0.0139073661268484,"*"
"3","lm formula for season+site","k__Bacteria","site",NA,NA,NA,0.0005249211814424,"***"
"4","lm formula for season+site","k__Bacteria","Residuals",NA,NA,NA,NA,NA
"5","lm formula for season+site","k__Bacteria","(Intercept)",NA,1.55393223736927,0.00531572214138065,2.16086250042492e-39,"***"
"6","lm formula for season+site","k__Bacteria","seasonSeptember",NA,-0.0164718385164777,0.00613806721852674,0.0139073661268484,"*"
"7","lm formula for season+site","k__Bacteria","siteEsteroZacatecas",NA,0.0251000086838662,0.00613806721852674,0.0005249211814424,"***"
"8","lm formula for season+site","k__Bacteria|p__Pseudomonadota","Model","R2: 0.324445593329812; adjusted R2: 0.260107078408841",NA,NA,NA,NA
"9","lm formula for season+site","k__Bacteria|p__Pseudomonadota","season",NA,NA,NA,0.548351823514023,"ns"
"10","lm formula for season+site","k__Bacteria|p__Pseudomonadota","site",NA,NA,NA,0.00521906865564702,"**"
"11","lm formula for season+site","k__Bacteria|p__Pseudomonadota","Residuals",NA,NA,NA,NA,NA
"12","lm formula for season+site","k__Bacteria|p__Pseudomonadota","(Intercept)",NA,0.684691293905245,0.0202062831984029,8.12328132972302e-20,"***"
"13","lm formula for season+site","k__Bacteria|p__Pseudomonadota","seasonSeptember",NA,0.0142346079088495,0.0233322060878395,0.548351823514023,"ns"
"14","lm formula for season+site","k__Bacteria|p__Pseudomonadota","siteEsteroZacatecas",NA,-0.0727178310672938,0.0233322060878395,0.00521906865564702,"**"
"15","lm formula for season+site","k__Bacteria|p__Actinomycetota","Model","R2: 0.861316172366855; adjusted R2: 0.848108188782746",NA,NA,NA,NA
"16","lm formula for season+site","k__Bacteria|p__Actinomycetota","season",NA,NA,NA,1.18990324665364e-09,"***"
"17","lm formula for season+site","k__Bacteria|p__Actinomycetota","site",NA,NA,NA,6.39807355790037e-05,"***"
"18","lm formula for season+site","k__Bacteria|p__Actinomycetota","Residuals",NA,NA,NA,NA,NA
"19","lm formula for season+site","k__Bacteria|p__Actinomycetota","(Intercept)",NA,0.362520367031719,0.0238392180521426,8.25888654680056e-13,"***"
"20","lm formula for season+site","k__Bacteria|p__Actinomycetota","seasonSeptember",NA,0.28300694980757,0.0275271579193494,1.18990324665364e-09,"***"
"21","lm formula for season+site","k__Bacteria|p__Actinomycetota","siteEsteroZacatecas",NA,-0.136875116924759,0.0275271579193494,6.39807355790035e-05,"***"
"22","lm formula for season+site","k__Bacteria|p__Bacteroidota","Model","R2: 0.826255530410238; adjusted R2: 0.809708438068356",NA,NA,NA,NA
"23","lm formula for season+site","k__Bacteria|p__Bacteroidota","season",NA,NA,NA,3.27715040982618e-08,"***"
