"","Taxa","Method","Group","Letter","Significance"
"1","k__Bacteria","anova","February","a","a"
"2","k__Bacteria","anova","September","a","a"
"3","k__Bacteria|p__Pseudomonadota","anova","September","a","a"
"4","k__Bacteria|p__Pseudomonadota","anova","February","a","a"
"5","k__Bacteria|p__Actinomycetota","anova","September","a","a"
"6","k__Bacteria|p__Actinomycetota","anova","February","b","b"
"7","k__Bacteria|p__Bacteroidota","anova","February","a","a"
"8","k__Bacteria|p__Bacteroidota","anova","September","b","b"
"9","k__Bacteria|p__Rhodothermota","anova","September","a","a"
"10","k__Bacteria|p__Rhodothermota","anova","February","b","b"
"11","k__Bacteria|p__Cyanobacteriota","anova","February","a","a"
"12","k__Bacteria|p__Cyanobacteriota","anova","September","a","a"
"13","k__Bacteria|p__Thermodesulfobacteriota","anova","February","a","a"
"14","k__Bacteria|p__Thermodesulfobacteriota","anova","September","b","b"
"15","k__Bacteria|p__Myxococcota","anova","February","a","a"
"16","k__Bacteria|p__Myxococcota","anova","September","a","a"
"17","k__Bacteria|p__Planctomycetota","anova","February","a","a"
"18","k__Bacteria|p__Planctomycetota","anova","September","b","b"
"19","k__Bacteria|p__Chloroflexota","anova","February","a","a"
"20","k__Bacteria|p__Chloroflexota","anova","September","b","b"
"21","k__Bacteria|p__Verrucomicrobiota","anova","February","a","a"
"22","k__Bacteria|p__Verrucomicrobiota","anova","September","b","b"
"23","k__Bacteria|p__Acidobacteriota","anova","February","a","a"
"24","k__Bacteria|p__Acidobacteriota","anova","September","b","b"
"25","k__Bacteria|p__Campylobacterota","anova","February","a","a"
"26","k__Bacteria|p__Campylobacterota","anova","September","b","b"
"27","k__Bacteria|p__Deinococcota","anova","September","a","a"
"28","k__Bacteria|p__Deinococcota","anova","February","a","a"
"29","k__Bacteria|p__Gemmatimonadota","anova","September","a","a"
"30","k__Bacteria|p__Gemmatimonadota","anova","February","a","a"
"31","k__Bacteria|p__Bacillota","anova","February","a","a"
"32","k__Bacteria|p__Bacillota","anova","September","a","a"
"33","k__Bacteria|p__Balneolota","anova","February","a","a"
"34","k__Bacteria|p__Balneolota","anova","September","a","a"
"35","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria","anova","September","a","a"
"36","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria","anova","February","b","b"
"37","k__Bacteria|p__Bacteroidota|c__Bacteroidia","anova","February","a","a"
"38","k__Bacteria|p__Bacteroidota|c__Bacteroidia","anova","September","b","b"
"39","k__Bacteria|p__Actinomycetota|c__Actinobacteria","anova","September","a","a"
"40","k__Bacteria|p__Actinomycetota|c__Actinobacteria","anova","February","b","b"
"41","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria","anova","February","a","a"
"42","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria","anova","September","b","b"
"43","k__Bacteria|p__Rhodothermota|c__Rhodothermia","anova","September","a","a"
"44","k__Bacteria|p__Rhodothermota|c__Rhodothermia","anova","February","b","b"
