"","Comparison","Taxa","Method","Group","LDA","P.unadj","P.adj","Significance"
"k__Bacteria|p__Actinomycetota","February - September","k__Bacteria|p__Actinomycetota","LEfSe","September",5.01381322549435,4.14604113267998e-05,0.000632271272733697,"***"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria","LEfSe","September",4.94156906160206,8.63766759472281e-05,0.000752711033254416,"***"
"k__Bacteria|p__Bacteroidota","February - September","k__Bacteria|p__Bacteroidota","LEfSe","February",4.82872454293978,6.78457024717303e-05,0.000752470518322826,"***"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia","LEfSe","February",4.82872454293978,6.78457024717303e-05,0.000752470518322826,"***"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","LEfSe","February",4.72328838170326,3.22564145624377e-05,0.000562183225231056,"***"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","LEfSe","February",4.71738127247824,3.22564145624377e-05,0.000562183225231056,"***"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales","LEfSe","September",4.58173871951436,0.000344157853846591,0.00186610036307929,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","LEfSe","September",4.58173871951436,0.000344157853846591,0.00186610036307929,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales","LEfSe","September",4.47182495004051,8.63766759472281e-05,0.000752711033254416,"***"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","February - September","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","LEfSe","September",4.47182495004051,8.63766759472281e-05,0.000752711033254416,"***"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales","LEfSe","September",4.46428828605901,0.00053200550513925,0.00227735689919258,"**"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","LEfSe","September",4.46428828605901,0.00053200550513925,0.00227735689919258,"**"
"k__Bacteria|p__Rhodothermota","February - September","k__Bacteria|p__Rhodothermota","LEfSe","September",4.42113555055522,0.000428568144496954,0.00195103106674477,"**"
"k__Bacteria|p__Rhodothermota|c__Rhodothermia","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia","LEfSe","September",4.42113555055522,0.000428568144496954,0.00195103106674477,"**"
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales","LEfSe","September",4.42113555055522,0.000428568144496954,0.00195103106674477,"**"
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","LEfSe","September",4.42113555055522,0.000428568144496954,0.00195103106674477,"**"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius","LEfSe","September",4.39027854595223,6.78457024717303e-05,0.000752470518322826,"***"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","LEfSe","September",4.21419520562555,0.000219850682638403,0.0013754760657377,"**"
"k__Bacteria|p__Thermodesulfobacteriota","February - September","k__Bacteria|p__Thermodesulfobacteriota","LEfSe","February",4.20289268916202,0.000174886592542093,0.00118534246056308,"**"
"k__Bacteria|p__Actinomycetota|c__Rubrobacteria","February - September","k__Bacteria|p__Actinomycetota|c__Rubrobacteria","LEfSe","September",4.19229611235761,0.000428568144496954,0.00195103106674477,"**"
"k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales","February - September","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales","LEfSe","September",4.19229611235761,0.000428568144496954,0.00195103106674477,"**"
"k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","February - September","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","LEfSe","September",4.19229611235761,0.000428568144496954,0.00195103106674477,"**"
"k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter","February - September","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter","LEfSe","September",4.19229611235761,0.000428568144496954,0.00195103106674477,"**"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales","February - September","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales","LEfSe","September",4.18545840379053,0.00268017172806849,0.00757745294596412,"**"
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga","February - September","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga","LEfSe","September",4.13716073093605,3.22564145624377e-05,0.000562183225231056,"***"
"k__Bacteria|p__Planctomycetota","February - September","k__Bacteria|p__Planctomycetota","LEfSe","February",4.10145480710434,3.22564145624377e-05,0.000562183225231056,"***"
"k__Bacteria|p__Planctomycetota|c__Planctomycetes","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes","LEfSe","February",4.07334019199042,4.14604113267998e-05,0.000632271272733697,"***"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Hoppeia","February - September","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Hoppeia","LEfSe","February",4.02733165604427,5.23296503877713e-05,0.000751084393800953,"***"
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia","LEfSe","February",3.99540932156671,0.000109620683021396,0.000837624322077946,"***"
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales","LEfSe","February",3.99540932156671,0.000109620683021396,0.000837624322077946,"***"
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales","LEfSe","February",3.91661421991622,3.22564145624377e-05,0.000562183225231056,"***"
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","February - September","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","LEfSe","February",3.91661421991622,3.22564145624377e-05,0.000562183225231056,"***"
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","February - September","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","LEfSe","February",3.85384188092368,6.78457024717303e-05,0.000752470518322826,"***"
"k__Bacteria|p__Verrucomicrobiota","February - September","k__Bacteria|p__Verrucomicrobiota","LEfSe","February",3.83591227458752,8.60707744049666e-05,0.000752711033254416,"***"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales","LEfSe","February",3.83165965398127,3.22564145624377e-05,0.000562183225231056,"***"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","LEfSe","February",3.83165965398127,3.22564145624377e-05,0.000562183225231056,"***"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae|g__Woeseia","February - September","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae|g__Woeseia","LEfSe","February",3.83165965398127,3.22564145624377e-05,0.000562183225231056,"***"
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia","February - September","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia","LEfSe","February",3.82627583503149,8.60707744049666e-05,0.000752711033254416,"***"
