"","Taxa","Method","Group","Letter","Significance"
"1","k__Bacteria","anova","EsteroZacatecas","a","a"
"2","k__Bacteria","anova","ColaDeBallena","b","b"
"3","k__Bacteria|p__Pseudomonadota","anova","ColaDeBallena","a","a"
"4","k__Bacteria|p__Pseudomonadota","anova","EsteroZacatecas","b","b"
"5","k__Bacteria|p__Actinomycetota","anova","ColaDeBallena","a","a"
"6","k__Bacteria|p__Actinomycetota","anova","EsteroZacatecas","a","a"
"7","k__Bacteria|p__Bacteroidota","anova","EsteroZacatecas","a","a"
"8","k__Bacteria|p__Bacteroidota","anova","ColaDeBallena","b","b"
"9","k__Bacteria|p__Rhodothermota","anova","EsteroZacatecas","a","a"
"10","k__Bacteria|p__Rhodothermota","anova","ColaDeBallena","a","a"
"11","k__Bacteria|p__Cyanobacteriota","anova","EsteroZacatecas","a","a"
"12","k__Bacteria|p__Cyanobacteriota","anova","ColaDeBallena","b","b"
"13","k__Bacteria|p__Thermodesulfobacteriota","anova","ColaDeBallena","a","a"
"14","k__Bacteria|p__Thermodesulfobacteriota","anova","EsteroZacatecas","a","a"
"15","k__Bacteria|p__Myxococcota","anova","ColaDeBallena","a","a"
"16","k__Bacteria|p__Myxococcota","anova","EsteroZacatecas","b","b"
"17","k__Bacteria|p__Planctomycetota","anova","ColaDeBallena","a","a"
"18","k__Bacteria|p__Planctomycetota","anova","EsteroZacatecas","a","a"
"19","k__Bacteria|p__Chloroflexota","anova","EsteroZacatecas","a","a"
"20","k__Bacteria|p__Chloroflexota","anova","ColaDeBallena","a","a"
"21","k__Bacteria|p__Verrucomicrobiota","anova","EsteroZacatecas","a","a"
"22","k__Bacteria|p__Verrucomicrobiota","anova","ColaDeBallena","a","a"
"23","k__Bacteria|p__Acidobacteriota","anova","ColaDeBallena","a","a"
"24","k__Bacteria|p__Acidobacteriota","anova","EsteroZacatecas","a","a"
"25","k__Bacteria|p__Campylobacterota","anova","ColaDeBallena","a","a"
"26","k__Bacteria|p__Campylobacterota","anova","EsteroZacatecas","b","b"
"27","k__Bacteria|p__Deinococcota","anova","EsteroZacatecas","a","a"
"28","k__Bacteria|p__Deinococcota","anova","ColaDeBallena","a","a"
"29","k__Bacteria|p__Gemmatimonadota","anova","ColaDeBallena","a","a"
"30","k__Bacteria|p__Gemmatimonadota","anova","EsteroZacatecas","a","a"
"31","k__Bacteria|p__Bacillota","anova","ColaDeBallena","a","a"
"32","k__Bacteria|p__Bacillota","anova","EsteroZacatecas","a","a"
"33","k__Bacteria|p__Balneolota","anova","ColaDeBallena","a","a"
"34","k__Bacteria|p__Balneolota","anova","EsteroZacatecas","b","b"
"35","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria","anova","ColaDeBallena","a","a"
"36","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria","anova","EsteroZacatecas","b","b"
