"","Comparison","Taxa","Method","Group","LDA","P.unadj","P.adj","Significance"
"k__Bacteria|p__Cyanobacteriota","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota","LEfSe","EsteroZacatecas",4.78439179399696,4.14604113267998e-05,0.000919667305794469,"***"
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia","LEfSe","EsteroZacatecas",4.78439179399696,4.14604113267998e-05,0.000919667305794469,"***"
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales","LEfSe","EsteroZacatecas",4.72865024497125,8.63766759472281e-05,0.00123975934888963,"**"
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","LEfSe","EsteroZacatecas",4.66488219664889,8.90100954476505e-06,0.000723948776307558,"***"
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116","LEfSe","EsteroZacatecas",4.61531109346703,8.90100954476505e-06,0.000723948776307558,"***"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales","LEfSe","EsteroZacatecas",4.33298364681733,3.22564145624377e-05,0.000888424469588851,"***"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","LEfSe","EsteroZacatecas",4.31262807346001,5.31212815941173e-05,0.00103879042233764,"**"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales","LEfSe","ColaDeBallena",4.2088003979815,0.000219850682638403,0.00210795321140702,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","LEfSe","ColaDeBallena",4.18832126442403,5.96027291505202e-05,0.00103879042233764,"**"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides","LEfSe","ColaDeBallena",4.18832126442403,5.96027291505202e-05,0.00103879042233764,"**"
