"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","water_COND",-0.0868267627277027,0.686640408421839,0.806994052383214,""
"V2","All","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","water_COND",-0.064849610842445,0.763373306654219,0.862329105664951,""
"V3","All","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","water_COND",0.286247481944308,0.175087638157252,0.391235794981609,""
"V4","All","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","water_COND",0.719808155416148,7.33368605386722e-05,0.00559193561607376,"**"
"V5","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","water_COND",-0.09732211286063,0.650978408095984,0.787890533608234,""
"V6","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","water_COND",-0.323873055529605,0.122612269153804,0.328672503940394,""
"V7","All","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","water_COND",0.528235913619126,0.00796941673708786,0.0703563759825098,""
"V8","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","water_COND",-0.236290676307011,0.266301336905154,0.489287674491088,""
"V9","All","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","water_COND",0.0986441997481475,0.646536386607021,0.784989077624046,""
"V10","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","water_COND",-0.489004974717891,0.0153106099916686,0.105332392047946,""
"V11","All","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","water_COND",-0.38642456562819,0.0621488804946705,0.231163518913104,""
"V12","All","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","water_COND",0.563922760916241,0.00410406758020573,0.0476048903192131,"*"
"V13","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","water_COND",-0.272754885321324,0.197223204543241,0.416402846729953,""
"V14","All","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","water_COND",-0.250527288294772,0.237699968897146,0.456923259539682,""
"V15","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","water_COND",0.654634060095652,0.000518756903562714,0.0120361733804812,"*"
"V16","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","water_COND",0.126633365168349,0.555433202935247,0.717056607786164,""
"V17","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","water_COND",0.234322281308818,0.270421852532469,0.491732858792331,""
"V18","All","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","water_COND",-0.0186470598475637,0.931083198649697,0.956162880768207,""
"V19","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","water_COND",0.341234355732261,0.102707257345912,0.300335102857451,""
"V20","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","water_COND",-0.439155375091995,0.0317927952180421,0.159676707396786,""
"V21","All","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","water_COND",0.584719701245169,0.00269217049208534,0.0371022214740375,"*"
"V22","All","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","water_COND",-0.226721441995312,0.286712408392328,0.504503564767269,""
"V23","All","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","water_COND",-0.269065981850905,0.203592270848554,0.420512252429858,""
"V24","All","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","water_COND",-0.346386166912567,0.0972889063114825,0.292683225936001,""
"V25","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","water_COND",-0.109594129659511,0.610207172561105,0.761265499627601,""
"V26","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","water_COND",-0.0740579062189468,0.730911795483217,0.838075554971358,""
"V27","All","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","water_COND",0.308133891362608,0.142954948814929,0.35427520007863,""
"V28","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","water_COND",0.192657923525135,0.36709240546426,0.585173433797557,""
"V29","All","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","water_COND",-0.459859783605232,0.0237632644950908,0.136903044424889,""
"V30","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","water_COND",-0.0828776434252819,0.700233911245207,0.817237281619087,""
"V31","All","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","water_COND",0.191799834818106,0.369271266997272,0.586602793927958,""
"V32","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","water_COND",0.360744728716428,0.0833091030565323,0.266151662349024,""
"V33","All","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae","water_COND",-0.340291762013382,0.103722286888475,0.300335102857451,""
"V34","All","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae","water_COND",0.168379615002728,0.431578877104865,0.631668833378589,""
"V35","All","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","water_COND",-0.387407636698501,0.061430251481234,0.230363443054627,""
