"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","sed_pH",-0.00703944794916291,0.973957372337606,0.973957372337606,""
"V2","All","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","sed_pH",-0.0756230728129469,0.725436796302677,0.826014843357939,""
"V3","All","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","sed_pH",0.198394876959322,0.352717486411229,0.58266881124098,""
"V4","All","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","sed_pH",-0.133048720468726,0.535407508167001,0.688531348111905,""
"V5","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","sed_pH",0.0194692745173116,0.928051924563938,0.950560646614929,""
"V6","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","sed_pH",0.056902226977625,0.791706556956445,0.867558682173829,""
"V7","All","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","sed_pH",-0.0584515346145729,0.786161789296302,0.867558682173829,""
"V8","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","sed_pH",-0.0904653532126503,0.674198563647538,0.794523833582924,""
"V9","All","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","sed_pH",-0.420036138475079,0.0410004013461447,0.204629275809395,""
"V10","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","sed_pH",0.13450347766759,0.530914031150465,0.688531348111905,""
"V11","All","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","sed_pH",-0.145631117436793,0.497143236554252,0.672245411005627,""
"V12","All","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","sed_pH",-0.0539214212900341,0.802401861489848,0.876629293718043,""
