"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","water_COND",-0.0868267627277027,0.686640408421839,0.823968490106207,""
"V2","All","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","water_COND",-0.064849610842445,0.763373306654219,0.871140644602105,""
"V3","All","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","water_COND",0.286247481944308,0.175087638157252,0.368750979178068,""
"V4","All","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","water_COND",0.719808155416148,7.33368605386722e-05,0.004473548492859,"**"
"V5","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","water_COND",-0.09732211286063,0.650978408095984,0.799523816654799,""
"V6","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","water_COND",-0.323873055529605,0.122612269153804,0.311639517432585,""
"V7","All","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","water_COND",0.528235913619126,0.00796941673708786,0.0594150368362972,""
"V8","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","water_COND",-0.236290676307011,0.266301336905154,0.47544531369408,""
"V9","All","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","water_COND",0.0986441997481475,0.646536386607021,0.797147157614183,""
"V10","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","water_COND",-0.489004974717891,0.0153106099916686,0.090381988015334,""
"V11","All","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","water_COND",-0.38642456562819,0.0621488804946705,0.210615650565272,""
"V12","All","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","water_COND",0.563922760916241,0.00410406758020573,0.0385721675406957,"*"
"V13","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","water_COND",-0.272754885321324,0.197223204543241,0.395013848045464,""
"V14","All","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","water_COND",-0.250527288294772,0.237699968897146,0.437176827217866,""
"V15","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","water_COND",0.654634060095652,0.000518756903562714,0.0113281631816293,"*"
"V16","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","water_COND",0.126633365168349,0.555433202935247,0.73389369052094,""
"V17","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","water_COND",0.234322281308818,0.270421852532469,0.480385177435585,""
"V18","All","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","water_COND",-0.0186470598475637,0.931083198649697,0.959933663959969,""
"V19","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","water_COND",0.341234355732261,0.102707257345912,0.281202644453199,""
"V20","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","water_COND",-0.439155375091995,0.0317927952180421,0.137509823311114,""
"V21","All","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","water_COND",0.584719701245169,0.00269217049208534,0.0310731104845064,"*"
"V22","All","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","water_COND",-0.226721441995312,0.286712408392328,0.487790512999729,""
"V23","All","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","water_COND",-0.269065981850905,0.203592270848554,0.40061704908909,""
"V24","All","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","water_COND",-0.346386166912567,0.0972889063114825,0.273046888450085,""
"V25","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","water_COND",-0.109594129659511,0.610207172561105,0.772788322343822,""
"V26","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","water_COND",-0.0740579062189468,0.730911795483217,0.850395461768154,""
"V27","All","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","water_COND",0.308133891362608,0.142954948814929,0.338479490520984,""
"V28","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","water_COND",0.192657923525135,0.36709240546426,0.580057011678118,""
"V29","All","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae","water_COND",-0.459859783605232,0.0237632644950908,0.116093781672306,""
"V30","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae","water_COND",-0.0828776434252819,0.700233911245207,0.831935534532601,""
"V31","All","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae","water_COND",0.191799834818106,0.369271266997272,0.580057011678118,""
"V32","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae","water_COND",0.360744728716428,0.0833091030565323,0.247895379826755,""
"V33","All","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae","water_COND",-0.340291762013382,0.103722286888475,0.281202644453199,""
"V34","All","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae","water_COND",0.168379615002728,0.431578877104865,0.621881374095987,""
"V35","All","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","water_COND",-0.387407636698501,0.061430251481234,0.21012590693581,""
"V36","All","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales|f__Caldilineaceae","water_COND",0.205723979316363,0.334843194425399,0.539879335505269,""
"V37","All","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae","water_COND",0.359469402024971,0.08448574583928,0.249369217557875,""
"V38","All","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae","water_COND",-0.099989560501298,0.642028164072267,0.796550196781186,""
"V39","All","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae","water_COND",-0.171318177302497,0.423465147490022,0.617483043750391,""
"V40","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae","water_COND",0.257311714390921,0.224808904377973,0.422267433988462,""
"V41","All","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae","water_COND",-0.584285015066735,0.00271677468716996,0.0310731104845064,"*"
"V42","All","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae","water_COND",-0.376690330242438,0.0696182827368649,0.225489305147722,""
"V43","All","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007","water_COND",0.30720881531261,0.14422115604727,0.338479490520984,""
