"","metagenomeSeq","DESeq2","edgeR","ancombc2","linda","metagenomeSeq-DESeq2","metagenomeSeq-edgeR","metagenomeSeq-ancombc2","metagenomeSeq-linda","DESeq2-edgeR","ancombc2-linda","linda-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR","metagenomeSeq-edgeR-linda","metagenomeSeq-ancombc2-linda","metagenomeSeq-DESeq2-edgeR-linda","metagenomeSeq-DESeq2-ancombc2-linda","metagenomeSeq-DESeq2-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ancombc2-linda-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ancombc2-linda-GMPR_wilcox-Wrench_wilcox","ALDEx2_kw-DESeq2-edgeR-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-ancombc2-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_kw-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-ancombc2-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-edgeR-ancombc2-linda-GMPR_wilcox-Wrench_wilcox"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae",0.0869565217391304,0.145833333333333,0.142857142857143,0,0.15,0.102564102564103,0.2,0.2,0.117647058823529,0,0.214285714285714,0,0.101449275362319,0.0666666666666667,0.0909090909090909,0.25,0.5,0,0.2,0.153846153846154,0,0,0.166666666666667,0.142857142857143,0.2,0.166666666666667,0.307692307692308,0.2,0.19047619047619
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae",0,0.0416666666666667,0,0,0.10625,0.0256410256410256,0.1,0.2,0,0,0.107142857142857,0.25,0.0144927536231884,0.2,0.227272727272727,0.2,0,0,0.2,0,0.5,0,0.333333333333333,0.142857142857143,0.1,0,0.384615384615385,0.2,0.19047619047619
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae",0.0869565217391304,0.0625,0,0,0.075,0.0769230769230769,0.1,0.2,0.176470588235294,0.333333333333333,0.0714285714285714,0,0.072463768115942,0.0666666666666667,0.0454545454545455,0.15,0,0.25,0.2,0.0769230769230769,0.5,0,0.166666666666667,0.142857142857143,0.3,0.166666666666667,0.0769230769230769,0,0.0952380952380952
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae",0.173913043478261,0.0625,0.142857142857143,0,0.0125,0.102564102564103,0.3,0,0,0.333333333333333,0.0357142857142857,0,0.231884057971014,0,0,0,0,0,0,0.230769230769231,0,0.333333333333333,0,0.142857142857143,0,0.333333333333333,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae",0.0869565217391304,0.0625,0,0.0666666666666667,0.0625,0.0769230769230769,0,0,0,0,0.0357142857142857,0.5,0.0144927536231884,0.0666666666666667,0.181818181818182,0,0,0,0,0.0769230769230769,0,0,0,0,0.1,0,0,0,0.0476190476190476
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae",0,0,0.142857142857143,0,0.0375,0.0256410256410256,0,0,0.0588235294117647,0,0.0357142857142857,0,0,0.4,0,0.1,0,0,0,0,0,0,0.333333333333333,0.142857142857143,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae",0,0,0,0.133333333333333,0.05,0,0,0.2,0.117647058823529,0,0.0714285714285714,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0.19047619047619
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae",0.130434782608696,0.166666666666667,0,0,0.04375,0.0256410256410256,0.1,0,0.0588235294117647,0.166666666666667,0,0,0.0289855072463768,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae",0,0,0,0,0.00625,0,0,0,0,0,0,0,0.0289855072463768,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae",0,0.0208333333333333,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.0769230769230769,0,0,0,0,0,0,0,0,0
