"","metagenomeSeq","edgeR","ancombc2","linda","metagenomeSeq-edgeR","metagenomeSeq-ancombc2","metagenomeSeq-linda","DESeq2-edgeR","DESeq2-ancombc2","DESeq2-linda","edgeR-linda","ancombc2-GMPR_wilcox","linda-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR","metagenomeSeq-DESeq2-linda","metagenomeSeq-edgeR-linda","metagenomeSeq-linda-Wrench_wilcox","DESeq2-edgeR-linda","DESeq2-linda-Wrench_wilcox","edgeR-GMPR_wilcox-Wrench_wilcox","ancombc2-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-linda","metagenomeSeq-edgeR-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ancombc2-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-linda-GMPR_wilcox-Wrench_wilcox","DESeq2-edgeR-GMPR_wilcox-Wrench_wilcox","DESeq2-linda-GMPR_wilcox-Wrench_wilcox","edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-DESeq2-linda-GMPR_wilcox-Wrench_wilcox","DESeq2-edgeR-ancombc2-GMPR_wilcox-Wrench_wilcox","DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_kw-DESeq2-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-ancombc2-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","ALDEx2_t-ALDEx2_kw-DESeq2-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_kw-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","ALDEx2_t-ALDEx2_kw-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-edgeR-ancombc2-linda-GMPR_wilcox-Wrench_wilcox"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae",0.333333333333333,0.15625,0.0555555555555556,0.101522842639594,0,0.555555555555556,0.115384615384615,0.217391304347826,0.2,0,0.195652173913043,0,0,0,0.166666666666667,0,0.666666666666667,0.214285714285714,0.25,0.1,0,0.25,0,0.333333333333333,0,0.0923076923076923,0,0,0.0916030534351145,0.166666666666667,0,0,0,0.2,0.127906976744186,0,0,0.166666666666667,0,0.144578313253012,0.181818181818182
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae",0.333333333333333,0.0520833333333333,0.0972222222222222,0.0964467005076142,0,0,0.230769230769231,0.0434782608695652,0,0.375,0.0217391304347826,0.25,0.285714285714286,0,0.166666666666667,0,0,0.0714285714285714,0,0,0,0,0,0.333333333333333,0,0.0461538461538462,0,0,0.0458015267175573,0,0,0,0,0,0.0465116279069767,0.25,0.5,0.0555555555555556,0.666666666666667,0.0481927710843374,0.0909090909090909
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae",0,0.09375,0.0694444444444444,0.0304568527918782,0,0,0.0384615384615385,0.130434782608696,0.2,0,0.0217391304347826,0.25,0,0,0,0,0,0,0.25,0.05,0.333333333333333,0.25,0.166666666666667,0,0,0.0307692307692308,0,0,0.0763358778625954,0,0.2,0.0952380952380952,0.333333333333333,0.1,0.0697674418604651,0,0,0,0,0.108433734939759,0.272727272727273
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae",0,0.104166666666667,0.0972222222222222,0.0558375634517767,0,0.111111111111111,0.0384615384615385,0,0,0,0.0869565217391304,0,0.142857142857143,0.142857142857143,0.166666666666667,0,0,0.142857142857143,0,0.05,0.333333333333333,0,0.5,0,0,0.0923076923076923,0,0,0.137404580152672,0,0,0,0,0.1,0.0581395348837209,0,0,0.111111111111111,0,0.0120481927710843,0.272727272727273
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae",0,0.0625,0.111111111111111,0.0558375634517767,0,0,0.0384615384615385,0,0.2,0,0.0434782608695652,0,0,0,0.166666666666667,0,0,0,0.25,0.15,0,0,0,0,0.166666666666667,0.107692307692308,0.333333333333333,0,0.0458015267175573,0,0.4,0,0,0,0.0930232558139535,0,0.25,0,0,0.0481927710843374,0.0909090909090909
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae",0,0.125,0.0138888888888889,0.0152284263959391,0,0.111111111111111,0,0.130434782608696,0.2,0,0,0,0,0.142857142857143,0,0,0,0,0,0.05,0,0,0,0,0.166666666666667,0.169230769230769,0,0.2,0.0916030534351145,0,0.2,0.0476190476190476,0,0.3,0.0116279069767442,0,0,0.0555555555555556,0,0.0481927710843374,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae",0,0.0104166666666667,0.0138888888888889,0.0355329949238579,0.285714285714286,0,0.0384615384615385,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0.0461538461538462,0,0,0.0381679389312977,0,0,0,0,0,0.0116279069767442,0.5,0,0,0,0.0120481927710843,0
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae",0.333333333333333,0.0104166666666667,0.0416666666666667,0.0253807106598985,0,0,0.0769230769230769,0,0,0.125,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0.0581395348837209,0,0,0.111111111111111,0.333333333333333,0.036144578313253,0
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae",0,0.03125,0.0555555555555556,0.0253807106598985,0,0,0,0,0,0.125,0,0.25,0,0,0,0,0.333333333333333,0,0,0.1,0,0,0,0,0.166666666666667,0,0,0,0.00763358778625954,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae",0,0,0.0138888888888889,0.0101522842639594,0,0,0.0384615384615385,0.0869565217391304,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0.05,0,0.25,0,0,0,0,0,0,0.0229007633587786,0,0,0,0.333333333333333,0,0.0348837209302326,0,0,0,0,0.0120481927710843,0.0909090909090909
