"method","param","nsample","feature_num","signum","iter","power","fdr"
"ALDEx2_kw","microtable",24,1000,100,1,0.02,"0"
"ALDEx2_kw","microtable",24,1000,100,10,0,"NaN"
"ALDEx2_kw","microtable",24,1000,100,2,0,"NaN"
"ALDEx2_kw","microtable",24,1000,100,3,0,"NaN"
"ALDEx2_kw","microtable",24,1000,100,4,0,"NaN"
"ALDEx2_kw","microtable",24,1000,100,5,0.01,"0"
"ALDEx2_kw","microtable",24,1000,100,6,0,"NaN"
"ALDEx2_kw","microtable",24,1000,100,7,0,"NaN"
"ALDEx2_kw","microtable",24,1000,100,8,0.01,"0"
"ALDEx2_kw","microtable",24,1000,100,9,0,"NaN"
"ancombc2","microtable",24,1000,100,1,0.46,"0.7125"
"ancombc2","microtable",24,1000,100,10,0.46,"0.719512195121951"
"ancombc2","microtable",24,1000,100,2,0.35,"0.485294117647059"
"ancombc2","microtable",24,1000,100,3,0.33,"0.541666666666667"
"ancombc2","microtable",24,1000,100,4,0.31,"0.550724637681159"
"ancombc2","microtable",24,1000,100,5,0.35,"0.75177304964539"
"ancombc2","microtable",24,1000,100,6,0.36,"0.4375"
"ancombc2","microtable",24,1000,100,7,0.36,"0.75"
"ancombc2","microtable",24,1000,100,8,0.47,"0.709876543209877"
"ancombc2","microtable",24,1000,100,9,0.46,"0.7125"
"DESeq2","microtable",24,1000,100,1,0.1,"0.666666666666667"
"DESeq2","microtable",24,1000,100,10,0.13,"0.606060606060606"
"DESeq2","microtable",24,1000,100,2,0.07,"0.681818181818182"
"DESeq2","microtable",24,1000,100,3,0.07,"0.695652173913043"
"DESeq2","microtable",24,1000,100,4,0.05,"0.705882352941177"
"DESeq2","microtable",24,1000,100,5,0.07,"0.681818181818182"
"DESeq2","microtable",24,1000,100,6,0.07,"0.740740740740741"
"DESeq2","microtable",24,1000,100,7,0.05,"0.666666666666667"
"DESeq2","microtable",24,1000,100,8,0.04,"0.818181818181818"
"DESeq2","microtable",24,1000,100,9,0.03,"0.75"
"edgeR","microtable",24,1000,100,1,0.01,"0"
"edgeR","microtable",24,1000,100,10,0.01,"0"
"edgeR","microtable",24,1000,100,2,0,"NaN"
"edgeR","microtable",24,1000,100,3,0,"NaN"
"edgeR","microtable",24,1000,100,4,0.01,"0"
"edgeR","microtable",24,1000,100,5,0,"NaN"
"edgeR","microtable",24,1000,100,6,0,"NaN"
"edgeR","microtable",24,1000,100,7,0,"NaN"
"edgeR","microtable",24,1000,100,8,0,"NaN"
"edgeR","microtable",24,1000,100,9,0,"NaN"
"GMPR+Wilcox","microtable",24,1000,100,1,0.03,"0"
"GMPR+Wilcox","microtable",24,1000,100,10,0,"NaN"
"GMPR+Wilcox","microtable",24,1000,100,2,0,"NaN"
"GMPR+Wilcox","microtable",24,1000,100,3,0,"NaN"
"GMPR+Wilcox","microtable",24,1000,100,4,0,"NaN"
"GMPR+Wilcox","microtable",24,1000,100,5,0.01,"0"
"GMPR+Wilcox","microtable",24,1000,100,6,0.01,"0"
"GMPR+Wilcox","microtable",24,1000,100,7,0,"NaN"
"GMPR+Wilcox","microtable",24,1000,100,8,0.02,"0"
"GMPR+Wilcox","microtable",24,1000,100,9,0,"NaN"
"linda","microtable",24,1000,100,1,0.01,"0"
"linda","microtable",24,1000,100,10,0,"NaN"
"linda","microtable",24,1000,100,2,0,"NaN"
"linda","microtable",24,1000,100,3,0,"NaN"
"linda","microtable",24,1000,100,4,0,"NaN"
"linda","microtable",24,1000,100,5,0,"NaN"
"linda","microtable",24,1000,100,6,0.01,"0"
"linda","microtable",24,1000,100,7,0,"NaN"
"linda","microtable",24,1000,100,8,0.01,"0"
"linda","microtable",24,1000,100,9,0,"NaN"
"metagenomeSeq","microtable",24,1000,100,1,0.16,"0.2"
"metagenomeSeq","microtable",24,1000,100,10,0.12,"0.0769230769230769"
"metagenomeSeq","microtable",24,1000,100,2,0.17,"0.227272727272727"
"metagenomeSeq","microtable",24,1000,100,3,0.1,"0.0909090909090909"
"metagenomeSeq","microtable",24,1000,100,4,0.16,"0.111111111111111"
"metagenomeSeq","microtable",24,1000,100,5,0.12,"0.142857142857143"
"metagenomeSeq","microtable",24,1000,100,6,0.09,"0.1"
"metagenomeSeq","microtable",24,1000,100,7,0.09,"0.25"
"metagenomeSeq","microtable",24,1000,100,8,0.14,"0.0666666666666667"
"metagenomeSeq","microtable",24,1000,100,9,0.16,"0.111111111111111"
"Wrench+Wilcox","microtable",24,1000,100,1,0.03,"0"
"Wrench+Wilcox","microtable",24,1000,100,10,0,"NaN"
"Wrench+Wilcox","microtable",24,1000,100,2,0,"NaN"
"Wrench+Wilcox","microtable",24,1000,100,3,0,"NaN"
"Wrench+Wilcox","microtable",24,1000,100,4,0,"NaN"
"Wrench+Wilcox","microtable",24,1000,100,5,0.01,"0"
"Wrench+Wilcox","microtable",24,1000,100,6,0,"NaN"
"Wrench+Wilcox","microtable",24,1000,100,7,0,"NaN"
"Wrench+Wilcox","microtable",24,1000,100,8,0.01,"0"
"Wrench+Wilcox","microtable",24,1000,100,9,0.01,"0.5"
