"","Response","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae|g__Iamia|s__|ASV_5513","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_15365","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_4057","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_7017","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya|s__|ASV_3678","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_10841","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_13518","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_15235","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_1823","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_6535","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__|g__|s__|ASV_5450","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Parvularcula|s__|ASV_6944","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_1011","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_1163","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Maribius|s__|ASV_6628","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_10594","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_3202","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_6338","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_14489","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas|s__|ASV_10664","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania|s__|ASV_13211","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium|s__|ASV_13477","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium|s__|ASV_14934","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium|s__|ASV_429","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_11225","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_12652","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_2086","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_5842","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_3298","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_7122","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_9879","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae|g__|s__|ASV_15773"
"FCBAG1","February",3.27406684757179,-0.252293677044369,3.07991083313083,-0.252293677044369,-0.252293677044369,4.48390477135013,-0.252293677044369,-0.252293677044369,-0.252293677044369,3.57634771944473,4.48390477135013,3.04354318895996,-0.252293677044369,-0.252293677044369,2.92576015330358,-0.252293677044369,-0.252293677044369,-0.252293677044369,-0.252293677044369,-0.252293677044369,-0.252293677044369,-0.252293677044369,-0.252293677044369,5.06091230199742,3.00580286097711,-0.252293677044369,3.04354318895996,2.52029504519541,3.33122526141174,3.24421388442211,-0.252293677044369,-0.252293677044369,5.080425116221
"FCBAG2","February",2.43745254864963,-0.270597652452584,3.13059972920957,3.13059972920957,-0.270597652452584,3.64142535297556,3.31292128600353,2.21430899733542,1.33884025998152,3.84027621172073,4.94975817262574,2.29435170500895,-0.270597652452584,-0.270597652452584,-0.270597652452584,2.82044480090573,-0.270597652452584,3.31292128600353,-0.270597652452584,2.03198744054146,-0.270597652452584,-0.270597652452584,-0.270597652452584,4.77282746446666,2.72513462110141,2.03198744054146,2.61977410544358,2.29435170500895,3.16338955203256,-0.270597652452584,1.33884025998152,-0.270597652452584,4.61975147576917
"FCBAG3","February",2.36043671960132,-0.278620610013941,2.11927466278443,-0.278620610013941,-0.278620610013941,4.7118119767648,-0.278620610013941,-0.278620610013941,-0.278620610013941,3.30489832844217,3.95548589458332,1.91860396732228,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,5.74724536381137,4.10340602465994,-0.278620610013941,4.3561083782157,2.02396448298011,3.48257950567962,-0.278620610013941,-0.278620610013941,-0.278620610013941,2.899433220334
"FCBAG4","February",-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,2.67482814151695,-0.21554361637921,-0.21554361637921,2.492506584723,-0.21554361637921,3.25019228642052,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,3.47333583773473,3.98914900301176,1.57621585284884,-0.21554361637921,1.57621585284884,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,4.64426878798246
"FCBAG6","February",2.76421959925801,-0.231512674295983,3.10069183587922,-0.231512674295983,-0.231512674295983,4.60476923265549,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,3.94287459559965,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,2.94654115605196,-0.231512674295983,-0.231512674295983,-0.231512674295983,5.34821715169024,5.24075799937549,-0.231512674295983,-0.231512674295983,-0.231512674295983,3.29484785032018,-0.231512674295983,-0.231512674295983,-0.231512674295983,4.37365751169211
"FEZAG2","February",-0.266806632318654,-0.266806632318654,2.72892564123534,-0.266806632318654,-0.266806632318654,3.64521637310949,-0.266806632318654,-0.266806632318654,2.67763234684779,-0.266806632318654,4.80209756990158,-0.266806632318654,-0.266806632318654,-0.266806632318654,-0.266806632318654,-0.266806632318654,-0.266806632318654,-0.266806632318654,-0.266806632318654,4.02365280882974,4.25498194473039,4.41532459480557,-0.266806632318654,5.943793444706,4.68902042528261,2.21810001746935,2.77771580540477,3.79363637822776,2.82423582103966,-0.266806632318654,-0.266806632318654,-0.266806632318654,4.39663246179341
"FEZAG4","February",-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,1.64148381471127,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,4.01306177919227,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,3.92968017025322,-0.304426334344039,-0.304426334344039,4.91592949073429,3.27909260411207,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,-0.304426334344039,4.217362242705
"FEZAG5","February",-0.199192410702225,-0.199192410702225,-0.199192410702225,-0.199192410702225,-0.199192410702225,2.57339631153756,2.10339268229182,-0.199192410702225,-0.199192410702225,-0.199192410702225,3.97519485919341,-0.199192410702225,-0.199192410702225,-0.199192410702225,-0.199192410702225,-0.199192410702225,-0.199192410702225,-0.199192410702225,-0.199192410702225,3.92794197434287,-0.199192410702225,-0.199192410702225,-0.199192410702225,5.64144924667117,5.98082424295035,-0.199192410702225,-0.199192410702225,3.29731515076426,-0.199192410702225,-0.199192410702225,-0.199192410702225,-0.199192410702225,3.7326332220221
"FEZAG6","February",-0.247058903910911,-0.247058903910911,-0.247058903910911,-0.247058903910911,-0.247058903910911,-0.247058903910911,-0.247058903910911,-0.247058903910911,-0.247058903910911,2.15083636888746,5.78362635635035,-0.247058903910911,-0.247058903910911,-0.247058903910911,2.79746353381251,-0.247058903910911,-0.247058903910911,-0.247058903910911,-0.247058903910911,-0.247058903910911,3.15413847775124,-0.247058903910911,-0.247058903910911,3.41650274221874,2.52552981832887,2.93099492643704,3.15413847775124,2.58615444014531,3.49061071437246,-0.247058903910911,-0.247058903910911,-0.247058903910911,3.21867699888882
"SCBAG1","September",3.89375840075167,5.92375166701753,5.73124011931782,3.53958658703106,5.20256526639319,5.73124011931782,6.01402193695176,4.78518106604781,4.33934350264926,6.90515679105006,5.12882179214764,5.12370669148087,4.88765973533075,5.46383523930519,4.84113971969586,4.6869890398686,5.73124011931782,4.94445733372388,6.99826640410658,6.21545788976903,5.35196534346185,-0.149292867082878,5.8117124725404,-0.149292867082878,-0.149292867082878,5.63760451428383,4.30505442917063,5.61902812871089,4.41505532438496,5.04366398380733,5.46747823058369,4.50466748307464,2.89522957064054
