"","February","February.pval","September","September.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_2086",4.61410825615901,0.0099009900990099,4.7733916548197,0.0099009900990099,4.9630721537582,0.0099009900990099,0.474749961149961,0.0099009900990099
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_3298",3.46703973437493,0.0099009900990099,4.38610204492276,0.0198019801980198,4.50924402606162,0.0099009900990099,0.335787345987346,0.0495049504950495
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_10841",4.00435208254628,0.0099009900990099,3.62555119596706,0.0099009900990099,4.36260107972179,0.0099009900990099,0.27573199023199,0.316831683168317
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_6338",3.92402323046021,0.0099009900990099,4.0642655381829,0.0099009900990099,4.24815984840359,0.0099009900990099,0.371491919191919,0.0099009900990099
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium|s__|ASV_13477",3.70803177242266,0.0198019801980198,3.81492604417249,0.0099009900990099,4.19337619084615,0.0198019801980198,0.279150360750361,0.277227722772277
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_3202",3.46953677786937,0.0198019801980198,3.25900053886178,0.0297029702970297,4.04369107372826,0.0198019801980198,0.298903219003219,0.227722772277228
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__|g__|s__|ASV_5450",3.68925028365335,0.0396039603960396,3.89640623153861,0.0198019801980198,4.00101540541199,0.0099009900990099,0.284316705516706,0.297029702970297
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82",3.66907968092456,0.0198019801980198,3.69896745148369,0.0198019801980198,3.96084163113925,0.0297029702970297,0.268715728715729,0.455445544554455
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_9879",3.48383279976029,0.0297029702970297,3.41715350070149,0.0297029702970297,3.93570024097371,0.0198019801980198,0.288211832611833,0.316831683168317
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_1011",3.99545788618031,0.0198019801980198,2.28340615715774,0.0792079207920792,3.91483179942929,0.0198019801980198,0.255775946275946,0.554455445544555
