"","Response","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter|s__|ASV_10265","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter|s__|ASV_10344","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_13671","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__|ASV_5509","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_15130","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_16064","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_1480","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_7636","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_8500","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sufflavibacter|s__|ASV_4707","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__|s__|ASV_4049","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7012","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Pleurocapsa_PCC-7319|s__|ASV_696","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Acrophormium_PCC-7375|s__|ASV_6130","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae|g__|s__|ASV_1096","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae|g__Acuticoccus|s__|ASV_1266","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_10445","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_14979","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium|s__|ASV_9665","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_11540","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_5775","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Wenxinia|s__|ASV_15944","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__|ASV_15092","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas|s__|ASV_11209","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania|s__|ASV_3585","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium|s__|ASV_3742","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium|s__|ASV_5269","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Thiohalocapsa|s__|ASV_3220","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_13236","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_4439","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_4932"
"FCBAG2","ColaDeBallena",2.43745254864963,3.68064606612884,3.3669885072738,4.64205723328347,-0.270597652452584,-0.270597652452584,-0.270597652452584,-0.270597652452584,3.16338955203256,4.21803871727956,-0.270597652452584,-0.270597652452584,-0.270597652452584,-0.270597652452584,-0.270597652452584,5.27066589270584,-0.270597652452584,-0.270597652452584,-0.270597652452584,-0.270597652452584,-0.270597652452584,4.36413133577705,2.77392478527084,3.87253707393895,3.60060335845531,-0.270597652452584,2.29435170500895,2.03198744054146,-0.270597652452584,2.77392478527084,2.03198744054146,-0.270597652452584
"FCBAG3","ColaDeBallena",-0.278620610013941,3.43495145669037,2.85687360591521,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,4.73865922680098,4.38481848409813,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,5.47712160357297,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,-0.278620610013941,2.11927466278443,4.30634686865663,3.84851377503115,4.77762519533437,-0.278620610013941,3.24773991460222,2.02396448298011,-0.278620610013941,4.7049860116944,3.08867521997253,-0.278620610013941
"FCBAG4","ColaDeBallena",3.04255292164227,3.86199382752651,-0.21554361637921,2.08704147661484,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,2.08704147661484,2.492506584723,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,4.77488897039953,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,2.492506584723,1.86389792530063,3.44801802975044,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921,-0.21554361637921
"FCBAG5","ColaDeBallena",-0.250672632452078,4.42215620200983,2.69376634671436,3.79237863538247,-0.250672632452078,-0.250672632452078,-0.250672632452078,-0.250672632452078,3.08153187772313,4.59351445400651,-0.250672632452078,-0.250672632452078,-0.250672632452078,-0.250672632452078,-0.250672632452078,4.45885756886026,-0.250672632452078,-0.250672632452078,-0.250672632452078,-0.250672632452078,-0.250672632452078,3.68115300027225,3.84367192977002,3.53351700146618,3.46289943425223,-0.250672632452078,2.14722264034629,0.442474548107868,-0.250672632452078,2.05191246054197,3.04516423355225,-0.250672632452078
"FCBAG6","ColaDeBallena",-0.231512674295983,5.2939402648358,3.13578315569049,2.33343668316555,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,4.24582414018222,5.1711647075763,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,4.21113858219433,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,-0.231512674295983,3.32383538719343,4.38360784254528,4.17520657296827,4.84989169068848,-0.231512674295983,3.2649948871705,-0.231512674295983,-0.231512674295983,2.81300976342744,3.61863492741408,-0.231512674295983
"SCBAG3","ColaDeBallena",2.10004284130621,2.97551157866011,4.27479456279038,4.15416657500176,-0.202542251687832,-0.202542251687832,-0.202542251687832,-0.202542251687832,3.35280580980158,3.92459213335726,-0.202542251687832,-0.202542251687832,-0.202542251687832,-0.202542251687832,-0.202542251687832,5.48781720263623,-0.202542251687832,-0.202542251687832,-0.202542251687832,-0.202542251687832,-0.202542251687832,4.92142172771543,4.01696545348828,3.53512736659554,3.19865512997432,-0.202542251687832,-0.202542251687832,-0.202542251687832,-0.202542251687832,4.01696545348828,1.876899289992,-0.202542251687832
"SCBAG4","ColaDeBallena",-0.127550449344798,3.56132900476914,5.57955981540408,4.93504458368217,-0.127550449344798,-0.127550449344798,-0.127550449344798,-0.127550449344798,4.76279867887696,5.42540913557682,-0.127550449344798,-0.127550449344798,-0.127550449344798,-0.127550449344798,-0.127550449344798,1.95189109233504,-0.127550449344798,-0.127550449344798,-0.127550449344798,-0.127550449344798,-0.127550449344798,5.79402797029902,5.14030770971853,4.31510080714552,4.44716052915858,-0.127550449344798,2.70566289471142,1.4818874630893,-0.127550449344798,4.12094479270456,3.65663918457346,-0.127550449344798
"SCBAG5","ColaDeBallena",-0.162086915997294,3.94878694817602,5.13623045055074,7.26624627819351,-0.162086915997294,-0.162086915997294,-0.162086915997294,-0.162086915997294,4.23236223867515,6.2915380828954,-0.162086915997294,-0.162086915997294,-0.162086915997294,-0.162086915997294,-0.162086915997294,5.35536598046741,-0.162086915997294,-0.162086915997294,-0.162086915997294,-0.162086915997294,-0.162086915997294,5.64905407697941,5.51466688627099,4.70544753445829,4.47264207223234,-0.162086915997294,-0.162086915997294,-0.162086915997294,-0.162086915997294,4.02756782602913,4.33772275433297,2.47697041361796
"SCBAG6","ColaDeBallena",-0.137539630177779,3.50004652954861,6.01731846383864,6.75306948996939,-0.137539630177779,-0.137539630177779,-0.137539630177779,-0.137539630177779,5.00995484663567,5.49008148351286,-0.137539630177779,-0.137539630177779,-0.137539630177779,-0.137539630177779,-0.137539630177779,5.64011269304488,-0.137539630177779,-0.137539630177779,-0.137539630177779,-0.137539630177779,-0.137539630177779,6.08503663789359,4.50685126896359,4.95621057062898,3.08133619469042,-0.137539630177779,-0.137539630177779,-0.137539630177779,-0.137539630177779,4.37331987633907,2.95350282318054,-0.137539630177779
"FEZAG1","EsteroZacatecas",4.71523128363735,-0.204749642190773,-0.204749642190773,-0.204749642190773,-0.204749642190773,3.22923756229437,3.8025835430417,4.59104090340597,-0.204749642190773,-0.204749642190773,6.01584052790897,6.23300200754563,7.02798349398684,4.64728062172884,5.4083784641973,-0.204749642190773,4.82568827920166,5.52209810539642,5.59434301226975,4.29506002813949,4.22606715665254,-0.204749642190773,-0.204749642190773,-0.204749642190773,-0.204749642190773,4.80588565190548,-0.204749642190773,-0.204749642190773,6.12675220770292,4.15195918449882,4.41037087465049,3.76554227136135
