"","Specificity","Sensitivity","Group","AUC","Method"
"1",1,0,"ColaDeBallena",1,"rf"
"2",1,0.111111111111111,"ColaDeBallena",1,"rf"
"3",1,0.222222222222222,"ColaDeBallena",1,"rf"
"4",1,0.333333333333333,"ColaDeBallena",1,"rf"
"5",1,0.444444444444444,"ColaDeBallena",1,"rf"
"6",1,0.555555555555556,"ColaDeBallena",1,"rf"
"7",1,0.666666666666667,"ColaDeBallena",1,"rf"
"8",1,0.777777777777778,"ColaDeBallena",1,"rf"
"9",1,0.888888888888889,"ColaDeBallena",1,"rf"
"10",1,1,"ColaDeBallena",1,"rf"
"11",0.888888888888889,1,"ColaDeBallena",1,"rf"
"12",0.777777777777778,1,"ColaDeBallena",1,"rf"
"13",0.666666666666667,1,"ColaDeBallena",1,"rf"
"14",0.555555555555556,1,"ColaDeBallena",1,"rf"
"15",0.444444444444444,1,"ColaDeBallena",1,"rf"
"16",0.333333333333333,1,"ColaDeBallena",1,"rf"
"17",0.222222222222222,1,"ColaDeBallena",1,"rf"
"18",0.111111111111111,1,"ColaDeBallena",1,"rf"
"19",0,1,"ColaDeBallena",1,"rf"
"20",1,0,"EsteroZacatecas",1,"rf"
"21",1,0.111111111111111,"EsteroZacatecas",1,"rf"
"22",1,0.222222222222222,"EsteroZacatecas",1,"rf"
"23",1,0.333333333333333,"EsteroZacatecas",1,"rf"
"24",1,0.444444444444444,"EsteroZacatecas",1,"rf"
"25",1,0.555555555555556,"EsteroZacatecas",1,"rf"
"26",1,0.666666666666667,"EsteroZacatecas",1,"rf"
"27",1,0.777777777777778,"EsteroZacatecas",1,"rf"
"28",1,0.888888888888889,"EsteroZacatecas",1,"rf"
"29",1,1,"EsteroZacatecas",1,"rf"
"30",0.888888888888889,1,"EsteroZacatecas",1,"rf"
"31",0.777777777777778,1,"EsteroZacatecas",1,"rf"
"32",0.666666666666667,1,"EsteroZacatecas",1,"rf"
"33",0.555555555555556,1,"EsteroZacatecas",1,"rf"
"34",0.444444444444444,1,"EsteroZacatecas",1,"rf"
"35",0.333333333333333,1,"EsteroZacatecas",1,"rf"
"36",0.222222222222222,1,"EsteroZacatecas",1,"rf"
"37",0.111111111111111,1,"EsteroZacatecas",1,"rf"
"38",0,1,"EsteroZacatecas",1,"rf"
"39",1,0.5,"Macro",0.972222222222222,"rf"
"40",0.888888888888889,1,"Macro",0.972222222222222,"rf"
"41",0.777777777777778,1,"Macro",0.972222222222222,"rf"
"42",0.666666666666667,1,"Macro",0.972222222222222,"rf"
"43",0.555555555555556,1,"Macro",0.972222222222222,"rf"
"44",0.444444444444444,1,"Macro",0.972222222222222,"rf"
"45",0.333333333333333,1,"Macro",0.972222222222222,"rf"
"46",0.222222222222222,1,"Macro",0.972222222222222,"rf"
"47",0.111111111111111,1,"Macro",0.972222222222222,"rf"
"48",0,1,"Macro",0.972222222222222,"rf"
"49",1,0,"Micro",1,"rf"
"50",1,0.0555555555555556,"Micro",1,"rf"
"51",1,0.111111111111111,"Micro",1,"rf"
"52",1,0.166666666666667,"Micro",1,"rf"
"53",1,0.222222222222222,"Micro",1,"rf"
"54",1,0.277777777777778,"Micro",1,"rf"
"55",1,0.333333333333333,"Micro",1,"rf"
"56",1,0.388888888888889,"Micro",1,"rf"
"57",1,0.444444444444444,"Micro",1,"rf"
"58",1,0.5,"Micro",1,"rf"
"59",1,0.555555555555556,"Micro",1,"rf"
"60",1,0.611111111111111,"Micro",1,"rf"
"61",1,0.666666666666667,"Micro",1,"rf"
"62",1,0.722222222222222,"Micro",1,"rf"
"63",1,0.777777777777778,"Micro",1,"rf"
"64",1,0.833333333333333,"Micro",1,"rf"
"65",1,0.888888888888889,"Micro",1,"rf"
"66",1,0.944444444444444,"Micro",1,"rf"
"67",1,1,"Micro",1,"rf"
"68",0.944444444444444,1,"Micro",1,"rf"
"69",0.888888888888889,1,"Micro",1,"rf"
"70",0.833333333333333,1,"Micro",1,"rf"
"71",0.777777777777778,1,"Micro",1,"rf"
"72",0.722222222222222,1,"Micro",1,"rf"
"73",0.666666666666667,1,"Micro",1,"rf"
"74",0.611111111111111,1,"Micro",1,"rf"
"75",0.555555555555556,1,"Micro",1,"rf"
"76",0.5,1,"Micro",1,"rf"
"77",0.444444444444444,1,"Micro",1,"rf"
"78",0.388888888888889,1,"Micro",1,"rf"
"79",0.333333333333333,1,"Micro",1,"rf"
"80",0.277777777777778,1,"Micro",1,"rf"
"81",0.222222222222222,1,"Micro",1,"rf"
"82",0.166666666666667,1,"Micro",1,"rf"
"83",0.111111111111111,1,"Micro",1,"rf"
"84",0.0555555555555556,1,"Micro",1,"rf"
"85",0,1,"Micro",1,"rf"
