"","ColaDeBallena","ColaDeBallena.pval","EsteroZacatecas","EsteroZacatecas.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Wenxinia|s__|ASV_15944",4.71466607315503,0.0099009900990099,4.57734126014461,0.0099009900990099,4.98146508639138,0.0099009900990099,0.354186435786436,0.0396039603960396
"k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae|g__|s__|ASV_1096",4.78091801410396,0.0099009900990099,4.30241070802727,0.0099009900990099,4.81576411666663,0.0099009900990099,0.434798445998446,0.0099009900990099
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas|s__|ASV_11209",4.15395417223567,0.0099009900990099,3.54974029033672,0.0198019801980198,4.78602282470036,0.0099009900990099,0.407557964257964,0.0198019801980198
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_10445",4.3088550905749,0.0297029702970297,4.55873873842806,0.0099009900990099,4.69179093183451,0.0198019801980198,0.343893684093684,0.0891089108910891
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter|s__|ASV_10344",4.58292339610159,0.0198019801980198,3.46584929668507,0.0792079207920792,4.55804719625544,0.0198019801980198,0.391180475080475,0.0396039603960396
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_11540",3.87138134786869,0.0297029702970297,3.19017391141653,0.0495049504950495,4.34584948853346,0.0297029702970297,0.26022380952381,0.603960396039604
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania|s__|ASV_3585",4.31181200153014,0.0099009900990099,2.60604143648421,0.0792079207920792,4.29416652620901,0.0198019801980198,0.264690287490287,0.445544554455446
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_8500",4.23300003358848,0.0099009900990099,3.80303363323704,0.0396039603960396,4.28992901510969,0.0198019801980198,0.311822222222222,0.138613861386139
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium|s__|ASV_9665",4.21473109555062,0.0099009900990099,3.69827822571365,0.0495049504950495,4.26060131132138,0.0198019801980198,0.318433333333333,0.128712871287129
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_14979",4.13193394899646,0.0099009900990099,0,0.524752475247525,4.20375126682141,0.0099009900990099,0.239283061383061,0.663366336633663
