"","Response","k__Bacteria|p__Acidobacteriota|c__Aminicenantia|o__Aminicenantales|f__Aminicenantaceae","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__67-14","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes_BD2-2","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinilabiliaceae","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Amoebophilaceae","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae","k__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae","k__Bacteria|p__Ignavibacteriota|c__Ignavibacteria|o__Ignavibacteriales|f__Melioribacteraceae","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiaceae","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Stappiaceae","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Colwelliaceae","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Tenderiales|f__Tenderiaceae","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfobacteraceae","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales|f__Puniceicoccaceae","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae"
"FCBAG2","February",0,0.00052271963558974,0.0121345629690475,0.0138147332263003,0.000634730986073255,0.000224022700967031,0.00843818840309151,0.000149348467311354,7.46742336556771e-05,0.00496583653810253,0.051562558339245,0.0128439681887765,0.000224022700967031,0.00052271963558974,0.0239330918866445,0.0112384721651794,0.00492849942127469,0.00052271963558974,0.0264720158309375,0.000709405219728933,0.0443191576746444,0.000373371168278386,0.0188552439980585,0.0210954710077288,0.001157450621663,0.0112384721651794,0.000597393869245417,0.0228503154986372,0.0150468580816189,0.00444311690251279,0.00429376843520143,0.00657133256169959
"FCBAG3","February",0.000543789353176875,0.000372066399542072,0.037807670291929,0.0269891242129365,0.00134516313680595,0.00114481969089868,0.0020034344590727,0.000314825414997138,0.000228963938179737,0.00137378362907842,0.0568402976531196,0.00572409845449342,0.000429307384087006,0.000143102461362335,0.0255294791070406,0.00638236977676016,0.00841442472810532,0.000372066399542072,0.0194333142530052,0.000286204922724671,0.044791070406411,0.000572409845449342,0.00483686319404694,0.00821408128219805,0.000343445907269605,0.0271322266742988,0.000457927876359473,0.0138523182598741,0.00781339439038351,0.00246136233543217,0.0020034344590727,0.00186033199771036
"FCBAG4","February",0.000211846453690365,0,0.00313532751461741,0.00432166765528345,0.000169477162952292,0.000211846453690365,0.00796542665875773,0.00139818659435641,0,0.00355902042199814,0.0733836115583425,0.0175832556563003,0.000169477162952292,0.00148292517583256,0.0291077027370562,0.00826201169392424,0.0100838911956614,0.00216083382764173,0.0202101516820608,0.00148292517583256,0.0738496737564613,0.000720277942547242,0.00521142276078298,0.00639776290144903,0.000296585035166511,0.0101686297771375,0.00610117786628252,0.0204219981357512,0.0100415219049233,0.00351665113126006,0.00398271332937887,0.00410982120159309
"FCBAG5","February",0.000464335464514055,0.000500053577168982,0.00782226667142908,0.0292531342643855,0.00110726149230275,0.000142872450619709,0.0156088152302032,0.00282173089973926,0,0.00178590563274637,0.0647212201307283,0.0215023038182662,0.000178590563274637,0.00100010715433796,0.0173947208629496,0.00564346179947852,0.0049648176590349,0.000857234703718256,0.0199307068614494,0.000285744901239418,0.0526127799407079,0.000178590563274637,0.00460763653248562,0.00514340822230953,0.000428617351859128,0.0170732578490553,0.0154302246669286,0.0310033217844769,0.0147158624138301,0.00282173089973926,0.00253598599849984,0.00746508554487981
"FCBAG6","February",0.000370644922164566,0.000586854460093897,0.0164319248826291,0.0324314306893996,0.00429330368173956,0.00123548307388189,0.00583765752409192,0.00129725722757598,6.17741536940944e-05,0.000833951074870274,0.0875339757845317,0.00741289844329133,0.00021620953792933,0.000401531999011614,0.0259451445515196,0.00349023968371633,0.0104089448974549,0.00135903138127008,0.0296515937731653,0.000525080306399802,0.0695576970595503,0.000185322461082283,0.00352112676056338,0.00426241660489251,0.000617741536940944,0.0233815171732147,0.00707314059797381,0.0122003953545836,0.0133741042747714,0.0010501606127996,0.00355201383741043,0.00574499629355078
"FEZAG3","February",0.000233100233100233,0,0.00268065268065268,0.00757575757575758,0.010518648018648,5.82750582750583e-05,0.00337995337995338,0.000524475524475524,5.82750582750583e-05,0.00227272727272727,0.115996503496503,0.00320512820512821,5.82750582750583e-05,0.000291375291375291,0.0210955710955711,0.00410839160839161,0.00177738927738928,0.000611888111888112,0.00888694638694639,0.000174825174825175,0.0925407925407925,0.000145687645687646,0.00987762237762238,0.0190268065268065,0.000407925407925408,0.0448426573426573,0,0.00856643356643357,0.0123251748251748,0.00474941724941725,0.00722610722610723,0.0155594405594406
"FEZAG4","February",0,0,0.00145463825443409,0.00551231338522394,0.00130151843817787,0,0.00211815745821105,0.000612479265024882,7.65599081281103e-05,0.00431287482455021,0.124027051167539,0.00214367742758709,7.65599081281103e-05,0.000433839479392625,0.0317468419037897,0.00538471353834375,0.00398111522266173,0.000459359448768661,0.00732423121092255,0.000510399387520735,0.0677299987240015,0.000280719663136404,0.0143422227893327,0.0211815745821105,0.00170983794819446,0.0338649993620008,0.000382799540640551,0.00660967206839352,0.0108204670154396,0.0089575092509889,0.0177108587469695,0.0294755646293224
"FEZAG5","February",0.000306457050044436,0,0.00153228525022218,0.00649688946094205,0.000183874230026662,0,0.00107259967515553,6.12914100088873e-05,0,0.00229842787533327,0.226226594342803,0.00245165640035549,6.12914100088873e-05,0.000612914100088873,0.0242101069535105,0.0019000337102755,0.00609849529588428,0.00067420551009776,0.00741626061107536,0.000183874230026662,0.0477153626919187,0.00033710275504888,0.00591462106585762,0.0126566761668352,0.000520976985075542,0.0405749134258834,0.000551622690079985,0.00539364408078208,0.0138518586620085,0.00248230210535993,0.00340167325549324,0.00373877601054212
"FEZAG6","February",6.84088110548639e-05,0,0.000752496921603503,0.00275915537921284,0.00175582615040817,0,0.00312400237150545,0.000182423496146304,0,0.00193824964655448,0.0959547589729557,0.00230309663884708,0.00011401468509144,0.000912117480731518,0.0212751402380627,0.00241711132393852,0.00125416153600584,0.000547270488438911,0.00620239886897432,0,0.0957951384138277,0,0.0100332922880467,0.0181511378665572,0.000250832307201167,0.0373968167099922,0.00022802937018288,0.0114242714461623,0.0119031331235463,0.00777580152323619,0.004355360970493,0.0060655812468646
"SCBAG1","September",0,0.00153901118531344,0.0741748426635886,0.0759886772748509,0.0347651633825267,0.000632093879682304,0.000247341083353945,5.49646851897656e-05,0,0.000329788111138593,0.0138511006678209,0.00115425838898508,0,0,0.00068705856487207,0.000632093879682304,0.00049468216670789,0.00019237639816418,0.0478742408002858,0,0.193832962321708,0,0.00098936433341578,0.00173138758347762,0,0.114408992222497,0,0.00140159947233902,0.00107181136120043,0.000769505592656718,0.00019237639816418,0.00118174073157996
