"","February","February.pval","September","September.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"Rhodothermaceae",4.31387403064659,0.00399201596806387,4.4528814585641,0.00199600798403194,4.80089792264304,0.00199600798403194,0.367548773448773,0.0139720558882236
"Anaerolineaceae",4.24409501359457,0.00399201596806387,4.31843005518521,0.00798403193612774,4.60132879278068,0.00598802395209581,0.419183982683983,0.00399201596806387
"Tenderiaceae",4.25696774548999,0.00598802395209581,4.23066124337903,0.0119760479041916,4.3841944208029,0.00798403193612774,0.343870085470085,0.00199600798403194
"Desulfosarcinaceae",3.98975040597544,0.00798403193612774,4.2185829666044,0.00399201596806387,4.29272116350199,0.00798403193612774,0.338623232323232,0.0978043912175649
"Gimesiaceae",3.50935829451428,0.0179640718562874,4.14284753346183,0.00798403193612774,4.27434159085663,0.0119760479041916,0.373076223776224,0.0199600798403194
"Pirellulaceae",3.94451610904185,0.00798403193612774,4.11162389705216,0.00598802395209581,4.16890060331273,0.00199600798403194,0.347255844155844,0.0518962075848303
"Paracoccaceae",3.65871487216906,0.00598802395209581,2.87172447586427,0.0538922155688623,4.15569396230893,0.00998003992015968,0.222820779220779,0.878243512974052
"Desulfobacteraceae",2.80627792385577,0.0598802395209581,4.05835548999303,0.0119760479041916,4.12998364116127,0.0139720558882236,0.344110311910312,0.0179640718562874
"Vermiphilaceae",3.67733263332704,0.00399201596806387,2.83488895026782,0.0259481037924152,4.07802293499634,0.00199600798403194,0.29299595959596,0.029940119760479
"Puniceicoccaceae",2.97980558057693,0.0139720558882236,4.03249989216292,0.00798403193612774,3.99898999651299,0.00798403193612774,0.292574025974026,0.339321357285429
"Colwelliaceae",1.96874807739539,0.12375249500998,3.84197505292561,0.0119760479041916,3.96725452868059,0.0179640718562874,0.22600404040404,0.201596806387226
"Crocinitomicaceae",3.53933097893333,0.0259481037924152,3.66916622745817,0.00598802395209581,3.93323368863076,0.0159680638722555,0.272122555222555,0.463073852295409
"Woeseiaceae",3.7977366142116,0.00798403193612774,2.78639130196911,0.0359281437125748,3.86745357189871,0.0179640718562874,0.243900721500721,0.766467065868264
"Flavobacteriaceae",3.38021417233355,0.0219560878243513,3.54606096389588,0.0199600798403194,3.81014068889161,0.0199600798403194,0.263767965367965,0.582834331337325
"Euzebyaceae",3.71694686786447,0.00798403193612774,3.52286160630498,0.0119760479041916,3.80564650093984,0.00399201596806387,0.286580808080808,0.355289421157685
"Hyphomicrobiaceae",3.60794919048472,0.0199600798403194,3.52005011437632,0.0179640718562874,3.75380394709777,0.0139720558882236,0.2799,0.327345309381238
"Bacteroidetes_BD2-2",3.40691733949295,0.0279441117764471,2.7898961508757,0.0518962075848303,3.74792663410616,0.0159680638722555,0.29765670995671,0.277445109780439
"Nitriliruptoraceae",3.41351387067923,0.0179640718562874,3.08036211803147,0.0259481037924152,3.71274752020129,0.0199600798403194,0.235624975024975,0.82435129740519
"Rhizobiaceae",2.82739258294553,0.0379241516966068,3.41055763642821,0.0179640718562874,3.64517220919339,0.0179640718562874,0.227513708513708,0.858283433133733
"Rubinisphaeraceae",3.08286897955765,0.0379241516966068,2.70837279680536,0.0518962075848303,3.6104432922312,0.0279441117764471,0.189809723609724,0.978043912175649
"Melioribacteraceae",3.22727484193499,0.0339321357285429,3.23218941462787,0.0199600798403194,3.5743917992842,0.0279441117764471,0.28134864024864,0.377245508982036
"Halieaceae",3.42156296465904,0.0199600798403194,3.25197448125482,0.0239520958083832,3.50074507255743,0.0239520958083832,0.240533333333333,0.75249500998004
"Aminicenantaceae",1.68248059590114,0.155688622754491,3.38870023792826,0.0219560878243513,3.4618346171871,0.0239520958083832,0.194708946608947,0.209580838323353
"DEV007",3.16749272981038,0.0439121756487026,3.04855380424846,0.0379241516966068,3.3945492787561,0.0479041916167665,0.244806493506493,0.712574850299401
"Desulfocapsaceae",3.07838262799946,0.0179640718562874,3.20064558995209,0.031936127744511,3.36033667296759,0.0259481037924152,0.218961904761905,0.894211576846307
"Marinilabiliaceae",2.94637867482591,0.0399201596806387,2.62890211728081,0.0778443113772455,3.08779697361262,0.0538922155688623,0.260975935175935,0.459081836327345
"Stappiaceae",1.93691339421954,0.109780439121756,3.04058018864865,0.0159680638722555,3.047361282856,0.0379241516966068,0.228531390831391,0.173652694610778
"Iamiaceae",2.80760716580518,0.0499001996007984,2.80710394420268,0.0399201596806387,2.93918375535069,0.0558882235528942,0.211826373626374,0.798403193612774
"Rubrobacteriaceae",1.23278418180384,0.19560878243513,2.538954482003,0.0578842315369262,2.66246486664304,0.0698602794411178,0.164607692307692,0.996007984031936
"67-14",0.512455599472213,0.329341317365269,2.56512106747368,0.0499001996007984,2.28156557557492,0.0798403193612774,0.190103418803419,0.966067864271457
"Amoebophilaceae",2.27501622352719,0.0738522954091816,1.07958379271883,0.209580838323353,2.21614164279682,0.0898203592814371,0.143120634920635,0.996007984031936
"Rubritaleaceae",1.36590488301817,0.205588822355289,0.529866823896368,0.37125748502994,1.406656640129,0.207584830339321,0.181579254079254,0.99001996007984
