"","Recall","Precision","Group","AUC","Method"
"1",0,1,"ColaDeBallena",1,"rf"
"2",0.111111111111111,1,"ColaDeBallena",1,"rf"
"3",0.222222222222222,1,"ColaDeBallena",1,"rf"
"4",0.333333333333333,1,"ColaDeBallena",1,"rf"
"5",0.444444444444444,1,"ColaDeBallena",1,"rf"
"6",0.555555555555556,1,"ColaDeBallena",1,"rf"
"7",0.666666666666667,1,"ColaDeBallena",1,"rf"
"8",0.777777777777778,1,"ColaDeBallena",1,"rf"
"9",0.888888888888889,1,"ColaDeBallena",1,"rf"
"10",1,1,"ColaDeBallena",1,"rf"
"11",1,0.9,"ColaDeBallena",1,"rf"
"12",1,0.818181818181818,"ColaDeBallena",1,"rf"
"13",1,0.75,"ColaDeBallena",1,"rf"
"14",1,0.692307692307692,"ColaDeBallena",1,"rf"
"15",1,0.642857142857143,"ColaDeBallena",1,"rf"
"16",1,0.6,"ColaDeBallena",1,"rf"
"17",1,0.5625,"ColaDeBallena",1,"rf"
"18",1,0.529411764705882,"ColaDeBallena",1,"rf"
"19",1,0.5,"ColaDeBallena",1,"rf"
"20",0,1,"EsteroZacatecas",1,"rf"
"21",0.111111111111111,1,"EsteroZacatecas",1,"rf"
"22",0.222222222222222,1,"EsteroZacatecas",1,"rf"
"23",0.333333333333333,1,"EsteroZacatecas",1,"rf"
"24",0.444444444444444,1,"EsteroZacatecas",1,"rf"
"25",0.555555555555556,1,"EsteroZacatecas",1,"rf"
"26",0.666666666666667,1,"EsteroZacatecas",1,"rf"
"27",0.777777777777778,1,"EsteroZacatecas",1,"rf"
"28",0.888888888888889,1,"EsteroZacatecas",1,"rf"
"29",1,1,"EsteroZacatecas",1,"rf"
"30",1,0.9,"EsteroZacatecas",1,"rf"
"31",1,0.818181818181818,"EsteroZacatecas",1,"rf"
"32",1,0.75,"EsteroZacatecas",1,"rf"
"33",1,0.692307692307692,"EsteroZacatecas",1,"rf"
"34",1,0.642857142857143,"EsteroZacatecas",1,"rf"
"35",1,0.6,"EsteroZacatecas",1,"rf"
"36",1,0.5625,"EsteroZacatecas",1,"rf"
"37",1,0.529411764705882,"EsteroZacatecas",1,"rf"
"38",1,0.5,"EsteroZacatecas",1,"rf"
"39",1,0.699525841805254,"Macro",0.983306991211403,"rf"
"40",0.888888888888889,1,"Macro",0.983306991211403,"rf"
"41",0.777777777777778,1,"Macro",0.983306991211403,"rf"
"42",0.666666666666667,1,"Macro",0.983306991211403,"rf"
"43",0.555555555555556,1,"Macro",0.983306991211403,"rf"
"44",0.444444444444444,1,"Macro",0.983306991211403,"rf"
"45",0.333333333333333,1,"Macro",0.983306991211403,"rf"
"46",0.222222222222222,1,"Macro",0.983306991211403,"rf"
"47",0.111111111111111,1,"Macro",0.983306991211403,"rf"
"48",0,1,"Macro",0.983306991211403,"rf"
"49",0,1,"Micro",1,"rf"
"50",0.0555555555555556,1,"Micro",1,"rf"
"51",0.111111111111111,1,"Micro",1,"rf"
"52",0.166666666666667,1,"Micro",1,"rf"
"53",0.222222222222222,1,"Micro",1,"rf"
"54",0.277777777777778,1,"Micro",1,"rf"
"55",0.333333333333333,1,"Micro",1,"rf"
"56",0.388888888888889,1,"Micro",1,"rf"
"57",0.444444444444444,1,"Micro",1,"rf"
"58",0.5,1,"Micro",1,"rf"
"59",0.555555555555556,1,"Micro",1,"rf"
"60",0.611111111111111,1,"Micro",1,"rf"
"61",0.666666666666667,1,"Micro",1,"rf"
"62",0.722222222222222,1,"Micro",1,"rf"
"63",0.777777777777778,1,"Micro",1,"rf"
"64",0.833333333333333,1,"Micro",1,"rf"
"65",0.888888888888889,1,"Micro",1,"rf"
"66",0.944444444444444,1,"Micro",1,"rf"
"67",1,1,"Micro",1,"rf"
"68",1,0.947368421052632,"Micro",1,"rf"
"69",1,0.9,"Micro",1,"rf"
"70",1,0.857142857142857,"Micro",1,"rf"
"71",1,0.818181818181818,"Micro",1,"rf"
"72",1,0.782608695652174,"Micro",1,"rf"
"73",1,0.75,"Micro",1,"rf"
"74",1,0.72,"Micro",1,"rf"
"75",1,0.692307692307692,"Micro",1,"rf"
"76",1,0.666666666666667,"Micro",1,"rf"
"77",1,0.642857142857143,"Micro",1,"rf"
"78",1,0.620689655172414,"Micro",1,"rf"
"79",1,0.6,"Micro",1,"rf"
"80",1,0.580645161290323,"Micro",1,"rf"
"81",1,0.5625,"Micro",1,"rf"
"82",1,0.545454545454545,"Micro",1,"rf"
"83",1,0.529411764705882,"Micro",1,"rf"
"84",1,0.514285714285714,"Micro",1,"rf"
"85",1,0.5,"Micro",1,"rf"
