"","ColaDeBallena","ColaDeBallena.pval","EsteroZacatecas","EsteroZacatecas.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae",4.41301724169926,0.0099009900990099,4.25981690216378,0.0099009900990099,5.03896065959083,0.0099009900990099,0.395373448773449,0.0099009900990099
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Nodosilineaceae",4.27578428663956,0.0099009900990099,4.67173736807712,0.0099009900990099,4.82697660677808,0.0099009900990099,0.359251021201021,0.0099009900990099
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Nitrincolaceae",4.18215305750413,0.0297029702970297,4.27339608793069,0.0198019801980198,4.44431727599316,0.0198019801980198,0.446738927738928,0.0198019801980198
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Granulosicoccales|f__Granulosicoccaceae",4.2998634192695,0.0198019801980198,2.424613178671,0.0693069306930693,4.43703183855517,0.0198019801980198,0.346979082029082,0.0099009900990099
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales|f__Ectothiorhodospiraceae",3.66524559129066,0.0198019801980198,3.61236181544309,0.0297029702970297,4.36013648613691,0.0198019801980198,0.292183189033189,0.108910891089109
"k__Bacteria|p__Nitrospirota|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales|f__Thermodesulfovibrionaceae",3.39736947790997,0.0198019801980198,4.12003395883761,0.0198019801980198,4.31657312161777,0.0198019801980198,0.367573304473304,0.0099009900990099
"k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae",2.21806757408695,0.0396039603960396,3.8376200643552,0.0099009900990099,4.30897161777131,0.0099009900990099,0.290457903207903,0.613861386138614
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales|f__Cyanobiaceae",3.54587248814539,0.0396039603960396,3.86707538853861,0.0297029702970297,4.25695093746315,0.0297029702970297,0.313834421134421,0.168316831683168
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae",3.86680448272391,0.0297029702970297,3.84674104466103,0.0198019801980198,4.25543979927103,0.0297029702970297,0.331362981462981,0.306930693069307
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae",3.87134623931115,0.0198019801980198,3.83343905740649,0.0099009900990099,4.12164432223212,0.0099009900990099,0.340313131313131,0.0099009900990099
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__211ds20",3.63919437153934,0.0198019801980198,3.91266180723601,0.0297029702970297,4.09753517579616,0.0198019801980198,0.34442481962482,0.0792079207920792
"k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae",2.58208978464585,0.0693069306930693,3.90203934847863,0.0099009900990099,4.02623101057141,0.0198019801980198,0.313719735819736,0.0297029702970297
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae",3.82513704297468,0.0495049504950495,3.46671463975643,0.0297029702970297,4.00346650773031,0.0396039603960396,0.231821056721057,0.96039603960396
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae",3.39902965966917,0.0297029702970297,2.82248090690168,0.0693069306930693,3.84049808177906,0.0297029702970297,0.305388178488179,0.455445544554455
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae",3.32256170249156,0.0297029702970297,3.4938013240084,0.0495049504950495,3.7813704773159,0.0495049504950495,0.29197518037518,0.405940594059406
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae",3.23456076844966,0.0396039603960396,2.9055636171575,0.0495049504950495,3.71592566828031,0.0198019801980198,0.215231346431346,0.356435643564356
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Microcystaceae",2.91076466488207,0.0396039603960396,3.15339597423496,0.0495049504950495,3.65716090153503,0.0297029702970297,0.190819047619048,0.693069306930693
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Flammeovirgaceae",3.42748614650842,0.0495049504950495,2.96742126420704,0.099009900990099,3.64644054312888,0.0396039603960396,0.22580404040404,0.97029702970297
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae",3.65868010762711,0.0099009900990099,1.98810693121886,0.188118811881188,3.63301623187012,0.0396039603960396,0.25949580974581,0.811881188118812
"k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacterales|f__Halomicrobiaceae",3.20642883279304,0.0396039603960396,3.36088717570574,0.0297029702970297,3.62865347829503,0.0297029702970297,0.209646109446109,0.178217821782178
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Phormidiaceae",3.33316308417358,0.0099009900990099,2.2483449340198,0.108910891089109,3.59200262887627,0.0198019801980198,0.248991608391608,0.0891089108910891
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfuromonadia|o__Desulfuromonadales|f__Sva1033",2.37716361856359,0.0891089108910891,3.76651841300207,0.0198019801980198,3.5879323912751,0.0495049504950495,0.311108513708514,0.099009900990099
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales|f__Thioalkalispiraceae",3.11926415706585,0.0594059405940594,2.72809271307817,0.0396039603960396,3.46311146910553,0.0495049504950495,0.238980186480186,0.732673267326733
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Nitrosomonadaceae",3.14442885295331,0.0297029702970297,2.58617195229596,0.0495049504950495,3.35841218403002,0.0198019801980198,0.130353568653569,1
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sneathiellales|f__Sneathiellaceae",1.02244364195654,0.237623762376238,4.15406153628278,0.0099009900990099,3.28664841971906,0.0495049504950495,0.274944411144411,0.0099009900990099
