"feature","method","group1","group2","p_values","log2_fold_change","p_adjust","adj_method","pathway_name","pathway_class","description"
"ko00010","LinDA","ColaDeBallena","EsteroZacatecas",0.465263120536742,-0.0507054898579697,0.69009697487433,"BH","ko00010","KEGG","ko00010"
"ko00020","LinDA","ColaDeBallena","EsteroZacatecas",0.244465121269799,-0.0809489443094985,0.477246247773026,"BH","ko00020","KEGG","ko00020"
"ko00030","LinDA","ColaDeBallena","EsteroZacatecas",0.866875875222674,0.0116398626035851,0.928046551901693,"BH","ko00030","KEGG","ko00030"
"ko00040","LinDA","ColaDeBallena","EsteroZacatecas",0.999106505389349,-0.000126840335669085,0.999435346427387,"BH","ko00040","KEGG","ko00040"
"ko00051","LinDA","ColaDeBallena","EsteroZacatecas",0.807110245785914,0.0187238720016176,0.907166122334441,"BH","ko00051","KEGG","ko00051"
"ko00052","LinDA","ColaDeBallena","EsteroZacatecas",0.878740446176399,-0.0130538917636391,0.931359634570196,"BH","ko00052","KEGG","ko00052"
"ko00053","LinDA","ColaDeBallena","EsteroZacatecas",0.359375899943754,0.0750026401112599,0.592216578643675,"BH","ko00053","KEGG","ko00053"
"ko00500","LinDA","ColaDeBallena","EsteroZacatecas",0.443325339418,0.0866688353375034,0.668527492026358,"BH","ko00500","KEGG","ko00500"
"ko00620","LinDA","ColaDeBallena","EsteroZacatecas",0.385147786037062,-0.0654043891921276,0.617136975043253,"BH","ko00620","KEGG","ko00620"
"ko00630","LinDA","ColaDeBallena","EsteroZacatecas",0.298414255839985,-0.0934730736209431,0.526438438043296,"BH","ko00630","KEGG","ko00630"
"ko00640","LinDA","ColaDeBallena","EsteroZacatecas",0.336400470936184,-0.085601461776861,0.565280538187068,"BH","ko00640","KEGG","ko00640"
"ko00650","LinDA","ColaDeBallena","EsteroZacatecas",0.0890275899775392,-0.156963303360984,0.259745331198205,"BH","ko00650","KEGG","ko00650"
"ko00660","LinDA","ColaDeBallena","EsteroZacatecas",0.407289750842969,-0.0518298274086514,0.636090757934166,"BH","ko00660","KEGG","ko00660"
"ko00562","LinDA","ColaDeBallena","EsteroZacatecas",0.762121257653748,-0.0394163823995631,0.891821502925683,"BH","ko00562","KEGG","ko00562"
"ko00566","LinDA","ColaDeBallena","EsteroZacatecas",0.489996927809279,-0.0730900911836101,0.716772365473078,"BH","ko00566","KEGG","ko00566"
"ko00190","LinDA","ColaDeBallena","EsteroZacatecas",0.314071111215991,-0.0807308858312546,0.545005751815984,"BH","ko00190","KEGG","ko00190"
"ko00195","LinDA","ColaDeBallena","EsteroZacatecas",0.000524466550330287,0.359928706614281,0.00819093347721713,"BH","ko00195","KEGG","ko00195"
"ko00196","LinDA","ColaDeBallena","EsteroZacatecas",1.27626768211231e-09,3.56632414580559,6.77698139201637e-07,"BH","ko00196","KEGG","ko00196"
"ko00710","LinDA","ColaDeBallena","EsteroZacatecas",0.773935333840655,-0.0167111291070054,0.892233438103984,"BH","ko00710","KEGG","ko00710"
"ko00720","LinDA","ColaDeBallena","EsteroZacatecas",0.139394547291493,-0.0998665529065205,0.352469069579918,"BH","ko00720","KEGG","ko00720"
"ko00680","LinDA","ColaDeBallena","EsteroZacatecas",0.106767273509237,-0.114916076094429,0.298867204369658,"BH","ko00680","KEGG","ko00680"
"ko00910","LinDA","ColaDeBallena","EsteroZacatecas",0.528884344894735,-0.045977458874573,0.754939750373937,"BH","ko00910","KEGG","ko00910"
"ko00920","LinDA","ColaDeBallena","EsteroZacatecas",0.688023923660843,0.0238666521772411,0.861652602509215,"BH","ko00920","KEGG","ko00920"
"ko00061","LinDA","ColaDeBallena","EsteroZacatecas",0.792459645940165,-0.0144475389712575,0.901062252664299,"BH","ko00061","KEGG","ko00061"
"ko00062","LinDA","ColaDeBallena","EsteroZacatecas",0.0132594513954936,-0.79070346784818,0.0761503943138382,"BH","ko00062","KEGG","ko00062"
"ko00071","LinDA","ColaDeBallena","EsteroZacatecas",0.153211416402438,-0.158600922736741,0.376644731989327,"BH","ko00071","KEGG","ko00071"
"ko00073","LinDA","ColaDeBallena","EsteroZacatecas",0.0107012148050572,-0.848861580442009,0.0652130510712345,"BH","ko00073","KEGG","ko00073"
"ko00074","LinDA","ColaDeBallena","EsteroZacatecas",0.183926716924081,-0.133905547163682,0.424975036251639,"BH","ko00074","KEGG","ko00074"
"ko00100","LinDA","ColaDeBallena","EsteroZacatecas",0.608994344490238,-0.0822700236323628,0.817476776979786,"BH","ko00100","KEGG","ko00100"
