"Comparison","Taxa","baseMean","log2FoldChange","lfcSE","stat","P.unadj","P.adj","Significance","Method","pathway_id","description","enriched_in"
"September - February","PWY0-1586|PWY0-1586",69785.7643851529,0.00877090034762268,0.02715143105464,0.32303639281377,0.74666768084701,0.793887771335359,"","DESeq2","PWY0-1586","peptidoglycan maturation (meso-diaminopimelate containing)","September"
"September - February","PWY66-389|PWY66-389",49371.9497637769,0.11981404751991,0.0230794333347406,5.19137735238753,2.08744072926617e-07,1.23411331026945e-06,"***","DESeq2","PWY66-389","phytol degradation","September"
"September - February","PWY-7094|PWY-7094",32231.2932819627,0.186394368730233,0.0536811845837953,3.4722476818535,0.000516119922885812,0.00146916676461675,"**","DESeq2","PWY-7094","fatty acid salvage","September"
"September - February","PWY-7663|PWY-7663",32336.290834134,-0.354115048437117,0.0377311141401216,-9.38522639755729,6.27814184752487e-21,4.22205039246048e-19,"***","DESeq2","PWY-7663","gondoate biosynthesis (anaerobic)","February"
"September - February","PWY-5973|PWY-5973",32032.9715166847,-0.327052869429126,0.0298158115052291,-10.9691084333481,5.38002628892442e-28,9.64818047813779e-26,"***","DESeq2","PWY-5973","cis-vaccenate biosynthesis","February"
"September - February","VALSYN-PWY|VALSYN-PWY",30107.7330614212,0.135010830718438,0.0210616305175979,6.41027438999231,1.45257963459111e-10,1.53232910472552e-09,"***","DESeq2","VALSYN-PWY","L-valine biosynthesis","September"
"September - February","PWY-1042|PWY-1042",28789.847622703,-0.0900010214754077,0.0216796000960045,-4.15141520493244,3.30425688386732e-05,0.000130712514964751,"***","DESeq2","PWY-1042","glycolysis IV","February"
"September - February","PWY-5136|PWY-5136",27904.8982401531,0.152823764846846,0.0499029009768907,3.06242246152417,0.00219553348374066,0.00522653546129413,"**","DESeq2","PWY-5136","fatty acid &beta;-oxidation II (plant peroxisome)","September"
"September - February","ILEUSYN-PWY|ILEUSYN-PWY",27847.2367016327,0.0676856759088134,0.013634626824624,4.96424851075305,6.89675887116751e-07,3.63770222812561e-06,"***","DESeq2","ILEUSYN-PWY","L-isoleucine biosynthesis I (from threonine)","September"
"September - February","PWY-5667|PWY-5667",27774.0158719579,-0.0569234535149322,0.0163526224758647,-3.48099845140724,0.000499548379469089,0.00142955866039559,"**","DESeq2","PWY-5667","CDP-diacylglycerol biosynthesis I","February"
"September - February","PWY0-1319|PWY0-1319",27774.0158719579,-0.0569234535149322,0.0163526224758647,-3.48099845140724,0.000499548379469089,0.00142955866039559,"**","DESeq2","PWY0-1319","CDP-diacylglycerol biosynthesis II","February"
"September - February","PWY-5695|PWY-5695",27639.2388947829,0.196571844425193,0.0273409920667918,7.18963832566805,6.49631751972801e-13,9.98576807318192e-12,"***","DESeq2","PWY-5695","inosine 5'-phosphate degradation","September"
"September - February","SER-GLYSYN-PWY|SER-GLYSYN-PWY",27403.7832272212,-0.0451477710637768,0.0126605315803121,-3.56602491588775,0.000362436928759824,0.00107729871642423,"**","DESeq2","SER-GLYSYN-PWY","superpathway of L-serine and glycine biosynthesis I","February"
"September - February","PHOSLIPSYN-PWY|PHOSLIPSYN-PWY",26958.3070684632,0.0627473362901166,0.0200512085262432,3.1293543333307,0.00175190910413783,0.00436355137975071,"**","DESeq2","PHOSLIPSYN-PWY","superpathway of phospholipid biosynthesis I (bacteria)","September"
"September - February","NONOXIPENT-PWY|NONOXIPENT-PWY",26917.2695126245,-0.0642736104784641,0.0191632999069065,-3.35399491688275,0.000796538260410771,0.00214268792050498,"**","DESeq2","NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch) I","February"
"September - February","PWY-5659|PWY-5659",26459.5529762809,0.0480275988480111,0.0225858818033985,2.1264433802529,0.0334663589608753,0.0580803261966158,"","DESeq2","PWY-5659","GDP-mannose biosynthesis","September"
"September - February","PWY-6122|PWY-6122",26100.7616484313,0.0737218134886671,0.0231461256822193,3.18506062313918,0.00144723687061265,0.0036554621426742,"**","DESeq2","PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II","September"
"September - February","PWY-6277|PWY-6277",26100.7616484313,0.0737218134886671,0.0231461256822193,3.18506062313918,0.00144723687061265,0.0036554621426742,"**","DESeq2","PWY-6277","superpathway of 5-aminoimidazole ribonucleotide biosynthesis","September"
"September - February","SALVADEHYPOX-PWY|SALVADEHYPOX-PWY",25960.6685108438,0.14230400633624,0.0305206004516272,4.66255592060782,3.12306186182522e-06,1.47386603654559e-05,"***","DESeq2","SALVADEHYPOX-PWY","adenosine nucleotides degradation II","September"
"September - February","PWY-7111|PWY-7111",25896.5336172499,0.0587478377520366,0.0144906286961991,4.05419523084227,5.0307189909339e-05,0.000186657021870513,"***","DESeq2","PWY-7111","pyruvate fermentation to isobutanol (engineered)","September"
"September - February","PWY-8178|PWY-8178",25921.264089762,-0.0740570414945797,0.0156008943191572,-4.74697411440323,2.06482365517068e-06,9.91852791501631e-06,"***","DESeq2","PWY-8178","pentose phosphate pathway (non-oxidative branch) II","February"
"September - February","PWY-6969|PWY-6969",25434.5566576545,-0.0661937989027783,0.0357372263516888,-1.8522366076026,0.0639918541704867,0.101556393934283,"","DESeq2","PWY-6969","TCA cycle V (2-oxoglutarate synthase)","February"
"September - February","PWY-6121|PWY-6121",25365.8769760193,0.0393693046545973,0.0205004719638125,1.92040967271837,0.0548061727147498,0.0885457084700762,"","DESeq2","PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I","September"
"September - February","PWY4FS-7|PWY4FS-7",25305.2601792032,0.0570066638988774,0.0187835856319653,3.03491915845212,0.00240600168527411,0.00565252797675752,"**","DESeq2","PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)","September"
"September - February","PWY4FS-8|PWY4FS-8",25305.2601792032,0.0570066638988774,0.0187835856319653,3.03491915845212,0.00240600168527411,0.00565252797675752,"**","DESeq2","PWY4FS-8","phosphatidylglycerol biosynthesis II (non-plastidic)","September"
"September - February","PWY-3001|PWY-3001",25177.452495267,0.00988222763768417,0.0134724092396713,0.733515992713808,0.463243777276422,0.553833671499366,"","DESeq2","PWY-3001","superpathway of L-isoleucine biosynthesis I","September"
"September - February","PWY-5103|PWY-5103",25091.3775287729,0.0466469484371542,0.012849612175918,3.6302222820839,0.000283177246711803,0.000860730840287854,"***","DESeq2","PWY-5103","L-isoleucine biosynthesis III","September"
"September - February","PWY-7977|PWY-7977",24974.0515872717,-0.0441141588796062,0.0232084695993686,-1.90077845032946,0.0573310378479875,0.0923475998868781,"","DESeq2","PWY-7977","L-methionine biosynthesis IV","February"
"September - February","THRESYN-PWY|THRESYN-PWY",24913.3368868517,-0.0314727525343338,0.0170987736021901,-1.84064385356284,0.0656737668194246,0.103919078084854,"","DESeq2","THRESYN-PWY","superpathway of L-threonine biosynthesis","February"
"September - February","PWY-5686|PWY-5686",24874.1714856149,-0.0681269497530962,0.0184136737079416,-3.69980215972406,0.000215767605777622,0.000670999837620582,"***","DESeq2","PWY-5686","UMP biosynthesis I","February"
"September - February","PWY-7790|PWY-7790",24874.1714856149,-0.0681269497530962,0.0184136737079416,-3.69980215972406,0.000215767605777622,0.000670999837620582,"***","DESeq2","PWY-7790","UMP biosynthesis II","February"
"September - February","PWY-7791|PWY-7791",24874.1714856149,-0.0681269497530962,0.0184136737079416,-3.69980215972406,0.000215767605777622,0.000670999837620582,"***","DESeq2","PWY-7791","UMP biosynthesis III","February"
"September - February","BRANCHED-CHAIN-AA-SYN-PWY|BRANCHED-CHAIN-AA-SYN-PWY",24761.2562094255,-0.051838459231597,0.0144600667332391,-3.58493914225422,0.000337156815263902,0.00101335400341888,"**","DESeq2","BRANCHED-CHAIN-AA-SYN-PWY","superpathway of branched chain amino acid biosynthesis","February"
"September - February","PWY-6147|PWY-6147",24703.0716147292,0.0725906300835136,0.0168489001403913,4.3083304832162,1.64491476364793e-05,7.02352494319511e-05,"***","DESeq2","PWY-6147","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","September"
"September - February","DTDPRHAMSYN-PWY|DTDPRHAMSYN-PWY",24165.2103707667,-0.129680965050036,0.0548313435302948,-2.36508822692601,0.0180257761351177,0.0328741273243842,"*","DESeq2","DTDPRHAMSYN-PWY","dTDP-&beta;-L-rhamnose biosynthesis","February"
"September - February","COMPLETE-ARO-PWY|COMPLETE-ARO-PWY",23967.010300928,-0.0333230324297575,0.0116489894736335,-2.86059426057353,0.00422847830603717,0.00924764767743089,"**","DESeq2","COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis","February"
"September - February","CALVIN-PWY|CALVIN-PWY",23935.6637417142,0.0375792775641166,0.0179937950396903,2.08845757558231,0.0367565784995829,0.0631790390823502,"","DESeq2","CALVIN-PWY","Calvin-Benson-Bassham cycle","September"
"September - February","PWY-6385|PWY-6385",23713.1489030062,0.00642917340758979,0.0194225352992028,0.331016178297468,0.740632265280785,0.78903001726943,"","DESeq2","PWY-6385","peptidoglycan biosynthesis III (mycobacteria)","September"
"September - February","SULFATE-CYS-PWY|SULFATE-CYS-PWY",23652.29433554,-0.0848996244081515,0.0301522133471553,-2.81570123661126,0.00486709047189626,0.0104322496967338,"*","DESeq2","SULFATE-CYS-PWY","superpathway of sulfate assimilation and cysteine biosynthesis","February"
"September - February","PWY-2942|PWY-2942",23480.702374531,-0.0292024457950631,0.0161957596274239,-1.80309207266915,0.0713737559341001,0.111625234571354,"","DESeq2","PWY-2942","L-lysine biosynthesis III","February"
"September - February","P42-PWY|P42-PWY",23369.707233788,-0.031654780967739,0.0479863668157739,-0.659661963767043,0.50947078072203,0.595859304409679,"","DESeq2","P42-PWY","incomplete reductive TCA cycle","February"
"September - February","PWY-7228|PWY-7228",23235.2437639732,0.0031814031062946,0.0178945247858307,0.177786398039121,0.858890729961166,0.88862156292136,"","DESeq2","PWY-7228","superpathway of guanosine nucleotides de novo biosynthesis I","September"
"September - February","PWY-7953|PWY-7953",23206.4638514878,0.0127153739318084,0.0176377757186946,0.720917089241084,0.470960527860697,0.559330604832352,"","DESeq2","PWY-7953","UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)","September"
"September - February","GLYCOLYSIS|GLYCOLYSIS",23058.5587315202,-0.0504851255039722,0.0190342923792377,-2.65232478823539,0.00799396050845438,0.0159879210169088,"*","DESeq2","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","February"
"September - February","PWY-7220|PWY-7220",22882.6280592918,-0.0580304984456468,0.0199851362875944,-2.90368289765773,0.00368801487418881,0.00816523457742213,"**","DESeq2","PWY-7220","adenosine deoxyribonucleotides de novo biosynthesis II","February"
"September - February","PWY-7222|PWY-7222",22882.6280592918,-0.0580304984456468,0.0199851362875944,-2.90368289765773,0.00368801487418881,0.00816523457742213,"**","DESeq2","PWY-7222","guanosine deoxyribonucleotides de novo biosynthesis II","February"
"September - February","POLYISOPRENSYN-PWY|POLYISOPRENSYN-PWY",22891.8915762592,-0.126770201395202,0.0303400238260067,-4.17831581551157,2.93675680437403e-05,0.000117908594086062,"***","DESeq2","POLYISOPRENSYN-PWY","polyisoprenoid biosynthesis (E. coli)","February"
"September - February","PWY-5097|PWY-5097",22829.2693054225,-0.0316695909527442,0.0158965139452572,-1.99223496810714,0.0463452832096522,0.0769560566876324,"","DESeq2","PWY-5097","L-lysine biosynthesis VI","February"
"September - February","PWY-6125|PWY-6125",22631.6222538592,-0.00243069097489706,0.0176420778075241,-0.137778044140606,0.890415837088938,0.912464229245426,"","DESeq2","PWY-6125","superpathway of guanosine nucleotides de novo biosynthesis II","February"
