"","Comparison","Taxa","kw.ep","kw.eBH","glm.ep","glm.eBH","P.adj","Significance","Method"
"PWY0-1586|PWY0-1586","February - September","PWY0-1586|PWY0-1586",0.00572733587772518,0.0111823492760154,0.00074310045027729,0.00171909321858456,0.0111823492760154,"*","ALDEx2_kw"
"PWY66-389|PWY66-389","February - September","PWY66-389|PWY66-389",0.000594239664039351,0.00225699005758668,4.45737490070412e-05,0.00018460455998941,0.00225699005758668,"**","ALDEx2_kw"
"PWY-7094|PWY-7094","February - September","PWY-7094|PWY-7094",3.70696048113828e-05,0.000601460384652585,1.33957872099424e-07,1.85261331386902e-06,0.000601460384652585,"***","ALDEx2_kw"
"PWY-7663|PWY-7663","February - September","PWY-7663|PWY-7663",0.826728304951304,0.85661253645667,0.887799315603791,0.909910803706298,0.85661253645667,"","ALDEx2_kw"
"PWY-5973|PWY-5973","February - September","PWY-5973|PWY-5973",0.743477251761464,0.783785882323656,0.73590294970747,0.778500889917938,0.783785882323656,"","ALDEx2_kw"
"VALSYN-PWY|VALSYN-PWY","February - September","VALSYN-PWY|VALSYN-PWY",0.000181527868888967,0.00108091538608726,4.77848509263304e-06,3.10989505295381e-05,0.00108091538608726,"**","ALDEx2_kw"
"PWY-1042|PWY-1042","February - September","PWY-1042|PWY-1042",0.00901034031177069,0.0161988386653374,0.00330402729206804,0.00602433575188407,0.0161988386653374,"*","ALDEx2_kw"
"PWY-5136|PWY-5136","February - September","PWY-5136|PWY-5136",7.22848771365117e-05,0.000699288550355302,6.02554972336081e-07,5.85953169548746e-06,0.000699288550355302,"***","ALDEx2_kw"
"ILEUSYN-PWY|ILEUSYN-PWY","February - September","ILEUSYN-PWY|ILEUSYN-PWY",0.000554360259655643,0.00216015699982924,3.47173361877288e-05,0.000152979041189351,0.00216015699982924,"**","ALDEx2_kw"
"PWY-5667|PWY-5667","February - September","PWY-5667|PWY-5667",0.00281065679758186,0.00657218719050989,0.000536684961418754,0.00131646905785236,0.00657218719050989,"**","ALDEx2_kw"
"PWY0-1319|PWY0-1319","February - September","PWY0-1319|PWY0-1319",0.00287529816439868,0.00669050773093517,0.000543732596024657,0.00132760344894151,0.00669050773093517,"**","ALDEx2_kw"
"PWY-5695|PWY-5695","February - September","PWY-5695|PWY-5695",0.000125408720225087,0.000884796472164837,2.56682027582306e-06,1.9256387852839e-05,0.000884796472164837,"***","ALDEx2_kw"
"SER-GLYSYN-PWY|SER-GLYSYN-PWY","February - September","SER-GLYSYN-PWY|SER-GLYSYN-PWY",0.00334207431632309,0.00744168212622383,0.000420972171473906,0.00107844885251192,0.00744168212622383,"**","ALDEx2_kw"
"PHOSLIPSYN-PWY|PHOSLIPSYN-PWY","February - September","PHOSLIPSYN-PWY|PHOSLIPSYN-PWY",0.000232800158349376,0.00124306178457656,1.25612582781565e-05,6.72950798484466e-05,0.00124306178457656,"**","ALDEx2_kw"
"NONOXIPENT-PWY|NONOXIPENT-PWY","February - September","NONOXIPENT-PWY|NONOXIPENT-PWY",0.0142976636239737,0.024270543711667,0.00251749160217489,0.00473834950509035,0.024270543711667,"*","ALDEx2_kw"
"PWY-5659|PWY-5659","February - September","PWY-5659|PWY-5659",0.00103523886183345,0.00324595377198837,0.000130211583840152,0.00042254047555168,0.00324595377198837,"**","ALDEx2_kw"
"PWY-6122|PWY-6122","February - September","PWY-6122|PWY-6122",0.000890495023915357,0.00291733294965565,4.4403176074033e-05,0.00018359119559406,0.00291733294965565,"**","ALDEx2_kw"
"PWY-6277|PWY-6277","February - September","PWY-6277|PWY-6277",0.000902046634022242,0.00293528919596979,4.47429798851307e-05,0.000184058712593965,0.00293528919596979,"**","ALDEx2_kw"
"SALVADEHYPOX-PWY|SALVADEHYPOX-PWY","February - September","SALVADEHYPOX-PWY|SALVADEHYPOX-PWY",0.000234636841674137,0.00125215227520054,7.36883779562778e-06,4.3972148459924e-05,0.00125215227520054,"**","ALDEx2_kw"
"PWY-7111|PWY-7111","February - September","PWY-7111|PWY-7111",0.000862722545659196,0.00287021671306821,7.92681189283855e-05,0.000286064289293894,0.00287021671306821,"**","ALDEx2_kw"
