"Pathway_ID","Description","metagenomeSeq","linda","ALDEx2_kw","ancombc2","DESeq2","edgeR","wilcox_GMPR","wilcox_Wrench","Total_Methods_Sig","Found_By_All","Found_By_All_But_One","Found_By_Core"
"GLYCOCAT-PWY","glycogen degradation I",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","protocatechuate degradation II (ortho-cleavage pathway)",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY-5101","L-isoleucine biosynthesis II",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY-5692","allantoin degradation to glyoxylate II",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY-5705","allantoin degradation to glyoxylate III",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY-6160","3-dehydroquinate biosynthesis II (archaea)",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY-6165","chorismate biosynthesis II (archaea)",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY-7282","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY-7295","L-arabinose degradation IV",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY-7644","heparin degradation",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY-7674","CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"PWY66-374","C20 prostanoid biosynthesis",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"URDEGR-PWY","superpathway of allantoin degradation in plants",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE
"14DICHLORBENZDEG-PWY","1,4-dichlorobenzene degradation",0,1,1,1,1,1,1,1,7,FALSE,TRUE,FALSE
"ARGDEG-IV-PWY","L-arginine degradation VIII (arginine oxidase pathway)",0,1,1,1,1,1,1,1,7,FALSE,TRUE,FALSE
