"","Comparison","Taxa","logFC","logCPM","P.unadj","P.adj","Significance","Method"
"1","February - September","PWY-5101|PWY-5101",-2.58057359296283,8.80754379409579,3.76557158079133e-22,2.02964308204653e-19,"***","edgeR"
"2","February - September","PWY-7674|PWY-7674",-2.13452519405107,9.07415532420484,7.15087853894736e-20,1.92716176624631e-17,"***","edgeR"
"3","February - September","PWY-7663|PWY-7663",-0.352673903820783,12.8507631436995,7.1367474874972e-18,1.28223563192033e-15,"***","edgeR"
"4","February - September","PWY-6703|PWY-6703",-0.616849708725345,11.7318610183072,2.54010253724943e-16,3.42278816894361e-14,"***","edgeR"
"5","February - September","PWY-5973|PWY-5973",-0.325940254358986,12.8373745768681,1.70692894022509e-15,1.84006939756264e-13,"***","edgeR"
"6","February - September","PWY-7237|PWY-7237",0.50396612806179,11.56270432247,2.9795702542648e-14,2.67664727841454e-12,"***","edgeR"
"7","February - September","PWY-6467|PWY-6467",-0.503591679162309,11.5464194888289,3.02186522539507e-13,2.32683622355421e-11,"***","edgeR"
"8","February - September","GLYCOCAT-PWY|GLYCOCAT-PWY",0.912527835882219,10.8706716989295,6.32306680652081e-13,4.26016626089339e-11,"***","edgeR"
"9","February - September","URDEGR-PWY|URDEGR-PWY",1.37156001271366,9.21747077853482,8.42386852757631e-12,4.64993005862009e-10,"***","edgeR"
"10","February - September","PWY-5692|PWY-5692",1.37156001494966,9.21747077853482,8.62695743714303e-12,4.64993005862009e-10,"***","edgeR"
"11","February - September","PWY-5347|PWY-5347",0.50884256178822,11.5081254147118,1.31626360478146e-11,6.44969166342916e-10,"***","edgeR"
"12","February - September","METH-ACETATE-PWY|METH-ACETATE-PWY",-2.38104145932542,7.88588305138959,1.91407751745459e-11,8.59739818256688e-10,"***","edgeR"
"13","February - September","CODH-PWY|CODH-PWY",-2.42925930064591,7.83255028763036,2.44766861817705e-11,1.01411479509317e-09,"***","edgeR"
"14","February - September","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY|PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",0.825139948204099,10.9755785672584,2.6340644028394e-11,1.01411479509317e-09,"***","edgeR"
"15","February - September","URSIN-PWY|URSIN-PWY",1.02035791230145,10.1366945080415,5.63689547405118e-11,2.02552444034239e-09,"***","edgeR"
"16","February - September","PWY-7332|PWY-7332",-2.50054611309189,7.91745912713385,7.37030141610598e-11,2.4828702895507e-09,"***","edgeR"
"17","February - September","PWY-6700|PWY-6700",-0.268825535341027,12.0399908652434,8.40159830670487e-11,2.66380087489055e-09,"***","edgeR"
"18","February - September","PWY-7295|PWY-7295",1.52688661715829,8.8321797904836,9.56248289306584e-11,2.8634323774236e-09,"***","edgeR"
"19","February - September","PWY-7992|PWY-7992",-1.19388638815894,10.3705579384294,1.47290474456303e-10,4.17839819641828e-09,"***","edgeR"
"20","February - September","PWY-7784|PWY-7784",-2.2323664855954,7.51550995093601,1.70618973640986e-10,4.59818133962458e-09,"***","edgeR"
"21","February - September","PWY0-781|PWY0-781",0.323148603310789,11.7648849033493,1.81862845848712e-10,4.66781304345028e-09,"***","edgeR"
"22","February - September","P4-PWY|P4-PWY",0.330289376133343,11.8139054876698,2.3695686753621e-10,5.80544325463713e-09,"***","edgeR"
"23","February - September","KETOGLUCONMET-PWY|KETOGLUCONMET-PWY",1.3090369309045,8.77214444372468,2.93231039581696e-10,6.87180566671888e-09,"***","edgeR"
"24","February - September","PWY-7900|PWY-7900",1.6302711055335,10.423815415261,3.38396653689465e-10,7.59982484744256e-09,"***","edgeR"
"25","February - September","PWY-7883|PWY-7883",-0.486008944591407,11.4919584791787,4.02734340653793e-10,8.68295238449577e-09,"***","edgeR"
"26","February - September","PWY-1861|PWY-1861",-1.74911275213785,8.65501973124483,7.05236672021201e-10,1.46200987007472e-08,"***","edgeR"
"27","February - September","PWY-7282|PWY-7282",0.888770559133622,10.219202783008,1.43774228611796e-09,2.87015960080586e-08,"***","edgeR"
"28","February - September","PWY-7371|PWY-7371",-1.39139452090839,9.28739464805771,2.66974090648772e-09,5.13925124498885e-08,"***","edgeR"
"29","February - September","RUMP-PWY|RUMP-PWY",-1.73268849343404,8.22645266341387,4.98537511213141e-09,9.26592132909941e-08,"***","edgeR"
"30","February - September","PWY-5989|PWY-5989",-0.392066074675517,12.0624264854553,1.44615284288198e-08,2.5982546077113e-07,"***","edgeR"
"31","February - September","PWY-6383|PWY-6383",1.69526273900402,9.87049681308633,1.74936611993842e-08,3.04163980208648e-07,"***","edgeR"
"32","February - September","PWY-8073|PWY-8073",-0.538752210725163,11.473220118989,2.33023967904257e-08,3.92499745938733e-07,"***","edgeR"
"33","February - September","P23-PWY|P23-PWY",-0.35640918774389,12.0864836512399,2.55381377491023e-08,4.17122916568672e-07,"***","edgeR"
