"","Comparison","Taxa","baseMean","log2FoldChange","lfcSE","stat","P.unadj","P.adj","reject","df","Significance","Method"
"PWY0-1586|PWY0-1586","September - February","PWY0-1586|PWY0-1586",16142.810965046,-0.0121118809945375,0.086183309027857,-0.140536272407718,0.889515103519026,0.921654182811036,FALSE,22,"","linda"
"PWY66-389|PWY66-389","September - February","PWY66-389|PWY66-389",11007.3320258423,0.0894606828962151,0.0846794059847865,1.05646327883178,0.302220352889959,0.44999107792179,FALSE,22,"","linda"
"PWY-7094|PWY-7094","September - February","PWY-7094|PWY-7094",6974.90533402176,0.168102572700684,0.0671234309372369,2.50437992148922,0.0201731982835335,0.0534550344637898,FALSE,22,"","linda"
"PWY-7663|PWY-7663","September - February","PWY-7663|PWY-7663",8385.54775028218,-0.370402233879838,0.0757189103565299,-4.89180618336639,6.84865250411276e-05,0.00041015818885742,TRUE,22,"***","linda"
"PWY-5973|PWY-5973","September - February","PWY-5973|PWY-5973",8278.71421750306,-0.350179907858969,0.0687707045968931,-5.09199243939096,4.21753324812772e-05,0.000280648200091462,TRUE,22,"***","linda"
"VALSYN-PWY|VALSYN-PWY","September - February","VALSYN-PWY|VALSYN-PWY",6677.87368954551,0.110022883765933,0.0745368165764456,1.47608777540281,0.154091125905864,0.270537839945475,FALSE,22,"","linda"
"PWY-1042|PWY-1042","September - February","PWY-1042|PWY-1042",6903.72749602316,-0.113617873595029,0.0722553237967046,-1.57244985732402,0.130118496223599,0.23912505218399,FALSE,22,"","linda"
"PWY-5136|PWY-5136","September - February","PWY-5136|PWY-5136",6116.081098431,0.133684886406334,0.0695953956335712,1.92088693784,0.0677991837262302,0.137382556497887,FALSE,22,"","linda"
"ILEUSYN-PWY|ILEUSYN-PWY","September - February","ILEUSYN-PWY|ILEUSYN-PWY",6329.52337900943,0.0426882957170074,0.0743214231985781,0.574374034831778,0.571541627057323,0.701733341648968,FALSE,22,"","linda"
"PWY-5667|PWY-5667","September - February","PWY-5667|PWY-5667",6574.16979155251,-0.0774793361325062,0.0654857581408614,-1.18314788332825,0.249378813172579,0.393026842982514,FALSE,22,"","linda"
"PWY0-1319|PWY0-1319","September - February","PWY0-1319|PWY0-1319",6574.16979155251,-0.0774793361325062,0.0654857581408614,-1.18314788332825,0.249378813172579,0.393026842982514,FALSE,22,"","linda"
"PWY-5695|PWY-5695","September - February","PWY-5695|PWY-5695",5993.60424998361,0.169435742441328,0.0819138993690216,2.06846144239844,0.0505503708392927,0.111159825068262,FALSE,22,"","linda"
