"","Comparison","Taxa","logFC","se","P.unadj","P.adj","Significance","Method"
"1","February - September","PWY-7674|PWY-7674",-1.58909735111938,0.317765145040475,5.70766869767425e-07,0.00030593104219534,"***","metagenomeSeq"
"2","February - September","PWY-5101|PWY-5101",-1.86765989347076,0.389287806024857,1.60551871242198e-06,0.000430279014929091,"***","metagenomeSeq"
"3","February - September","PWY66-374|PWY66-374",-2.04720910849475,0.507608945529632,5.50590133401307e-05,0.00983721038343669,"**","metagenomeSeq"
"4","February - September","PWY-6165|PWY-6165",-3.34743912237211,0.871252980211352,0.000121987227993614,0.0144919687061861,"*","metagenomeSeq"
"5","February - September","PWY-6160|PWY-6160",-3.33871889921215,0.885022830232556,0.000161641733038564,0.0144919687061861,"*","metagenomeSeq"
"6","February - September","PWY-5692|PWY-5692",0.900522938200039,0.241237183460503,0.000189260785341983,0.0144919687061861,"*","metagenomeSeq"
"7","February - September","URDEGR-PWY|URDEGR-PWY",0.900522938200039,0.241237183460503,0.000189260785341983,0.0144919687061861,"*","metagenomeSeq"
"8","February - September","PWY-7295|PWY-7295",0.971283774307595,0.262602010188908,0.000216713970141669,0.0145198359994918,"*","metagenomeSeq"
"9","February - September","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY|PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",0.49508595344597,0.135767727695032,0.00026576843888626,0.0158279870270039,"*","metagenomeSeq"
"10","February - September","PWY-7644|PWY-7644",-2.59384431224057,0.718288463509675,0.000304847306302092,0.0163398156177921,"*","metagenomeSeq"
"11","February - September","PWY-7282|PWY-7282",0.56196641154726,0.163538629616987,0.00058973596478662,0.0287362251932389,"*","metagenomeSeq"
"12","February - September","GLYCOCAT-PWY|GLYCOCAT-PWY",0.556890997779021,0.170812912209444,0.00111318184903442,0.0449057165279292,"*","metagenomeSeq"
"13","February - September","PWY-5705|PWY-5705",0.539810924380049,0.165702615855545,0.00112315465956847,0.0449057165279292,"*","metagenomeSeq"
"14","February - September","P341-PWY|P341-PWY",-1.43027667264479,0.440710650183909,0.00117291050632651,0.0449057165279292,"*","metagenomeSeq"
"15","February - September","PWY-5067|PWY-5067",-2.72386523648603,0.845698276827797,0.00127812109193903,0.0451906220551801,"*","metagenomeSeq"
"16","February - September","PWY-5677|PWY-5677",-1.81121871893979,0.56506077768933,0.00134897379269194,0.0451906220551801,"*","metagenomeSeq"
"17","February - September","DARABCATK12-PWY|DARABCATK12-PWY",-1.38865520729395,0.442097578988205,0.00168337300122445,0.0530757605091945,"","metagenomeSeq"
"18","February - September","PWY-7873|PWY-7873",0.46853534889903,0.149981803726046,0.00178442017022418,0.0531360672911199,"","metagenomeSeq"
"19","February - September","PWY-1861|PWY-1861",-1.34170297719608,0.435393700796346,0.00205901236064099,0.0574578130768893,"","metagenomeSeq"
"20","February - September","RUMP-PWY|RUMP-PWY",-1.33055780978054,0.433472608953983,0.00214394824913766,0.0574578130768893,"","metagenomeSeq"
"21","February - September","RHAMCAT-PWY|RHAMCAT-PWY",-0.661632048748172,0.217923160789931,0.00239676132302313,0.0611744794828762,"","metagenomeSeq"
"22","February - September","PWY0-1297|PWY0-1297",0.326422882028488,0.108914118461489,0.00272591027858504,0.0654609356811673,"","metagenomeSeq"
"23","February - September","PWY-7784|PWY-7784",-1.56892201406923,0.525090796517285,0.00280895806094561,0.0654609356811673,"","metagenomeSeq"
"24","February - September","METH-ACETATE-PWY|METH-ACETATE-PWY",-1.64238448387214,0.555580196674064,0.00311494491849107,0.0695671031796339,"","metagenomeSeq"
"25","February - September","CODH-PWY|CODH-PWY",-1.66355346685125,0.569669984304403,0.00349800548391199,0.0749972375750731,"","metagenomeSeq"
"26","February - September","URSIN-PWY|URSIN-PWY",0.63308376509145,0.221391149457377,0.00424214116824184,0.0874533717760626,"","metagenomeSeq"
"27","February - September","PWY-7332|PWY-7332",-1.82665393110543,0.648693166322506,0.00486410739857468,0.096561539468001,"","metagenomeSeq"
"28","February - September","KETOGLUCONMET-PWY|KETOGLUCONMET-PWY",0.792159235768183,0.283795821981512,0.00524968139928594,0.100493901072045,"","metagenomeSeq"
"29","February - September","PWY-7371|PWY-7371",-1.0570024231569,0.38155625851162,0.00560149952991207,0.103531163725271,"","metagenomeSeq"
"30","February - September","FUC-RHAMCAT-PWY|FUC-RHAMCAT-PWY",-0.820002185455553,0.298979969771972,0.00609426456546269,0.1088841935696,"","metagenomeSeq"
"31","February - September","PWY-5654|PWY-5654",-0.735273945339803,0.271499449483776,0.00676498902625111,0.115213821581434,"","metagenomeSeq"
"32","February - September","PWY-7399|PWY-7399",1.17546510425017,0.434926862228846,0.00687843710933933,0.115213821581434,"","metagenomeSeq"
"33","February - September","PWY-5488|PWY-5488",-1.0268420156052,0.384402835200914,0.00755658605957787,0.11980362082815,"","metagenomeSeq"
"34","February - September","PWY-5647|PWY-5647",-0.732111923421128,0.276075247499108,0.0080050569589516,0.11980362082815,"","metagenomeSeq"
"35","February - September","PWY-7992|PWY-7992",-0.92060818537683,0.347403781408686,0.00804998877507157,0.11980362082815,"","metagenomeSeq"
"36","February - September","PWY-6703|PWY-6703",-0.49103183047985,0.186363913084497,0.00841866159229698,0.11980362082815,"","metagenomeSeq"
"37","February - September","NAGLIPASYN-PWY|NAGLIPASYN-PWY",-0.434221388684309,0.164990659238599,0.00849354028259275,0.11980362082815,"","metagenomeSeq"
"38","February - September","PWY-8073|PWY-8073",-0.434221388684309,0.164990659238599,0.00849354028259275,0.11980362082815,"","metagenomeSeq"
"39","February - September","SPHINGOLIPID-SYN-PWY|SPHINGOLIPID-SYN-PWY",-1.16128494976798,0.445899822989078,0.0092045242257377,0.124287883662876,"","metagenomeSeq"
"40","February - September","PWY-6185|PWY-6185",0.965769607774323,0.373065574185593,0.00963279202156597,0.124287883662876,"","metagenomeSeq"
"41","February - September","PWY-7409|PWY-7409",-1.06641744272327,0.412552608847836,0.00974002569494048,0.124287883662876,"","metagenomeSeq"
"42","February - September","PWY-5652|PWY-5652",-1.05947711072972,0.410276507023496,0.00981303058250993,0.124287883662876,"","metagenomeSeq"
"43","February - September","DHGLUCONATE-PYR-CAT-PWY|DHGLUCONATE-PYR-CAT-PWY",-1.12409670911499,0.437124454801428,0.0101238162209603,0.124287883662876,"","metagenomeSeq"
"44","February - September","PWY-6891|PWY-6891",-1.12911076197101,0.4413418078261,0.0105167475843237,0.124287883662876,"","metagenomeSeq"
"45","February - September","PWY-5995|PWY-5995",-0.956600420029958,0.374624144313622,0.0106648185355811,0.124287883662876,"","metagenomeSeq"
"46","February - September","PWY0-1241|PWY0-1241",-0.599318464162646,0.235189297526367,0.0108268368878164,0.124287883662876,"","metagenomeSeq"
"47","February - September","PWY-7376|PWY-7376",0.517850729267829,0.203657699498054,0.0109983714174839,0.124287883662876,"","metagenomeSeq"
"48","February - September","PWY-7900|PWY-7900",1.17962555315822,0.464678847241816,0.0111302582384665,0.124287883662876,"","metagenomeSeq"
"49","February - September","ARGDEG-IV-PWY|ARGDEG-IV-PWY",-1.33281707395537,0.534418079568335,0.0126326939145747,0.138186202820653,"","metagenomeSeq"
"50","February - September","PWY-6344|PWY-6344",-1.22731990834965,0.497753721936332,0.0136739248957414,0.143914781320268,"","metagenomeSeq"
"51","February - September","PWY-7374|PWY-7374",-0.901805642812875,0.367802753363763,0.014211480754178,0.143914781320268,"","metagenomeSeq"
"52","February - September","PWY-6748|PWY-6748",-0.44409091011015,0.181210785502547,0.0142583892242432,0.143914781320268,"","metagenomeSeq"
"53","February - September","PWY66-301|PWY66-301",-1.37354855444827,0.560499737197791,0.0142626894998523,0.143914781320268,"","metagenomeSeq"
"54","February - September","PWY-1269|PWY-1269",-0.432995824091882,0.17799255696208,0.0149882630234637,0.143914781320268,"","metagenomeSeq"
"55","February - September","PWY-7383|PWY-7383",-0.450845406681629,0.185406402536359,0.0150297919199853,0.143914781320268,"","metagenomeSeq"
"56","February - September","PWY-6467|PWY-6467",-0.411547439136639,0.169997791335141,0.0154821892100341,0.143914781320268,"","metagenomeSeq"
"57","February - September","PWY-8190|PWY-8190",-1.09516199663644,0.452521390510013,0.0155148270228611,0.143914781320268,"","metagenomeSeq"
"58","February - September","PWY0-845|PWY0-845",0.542680701306674,0.224361792461024,0.0155728681279395,0.143914781320268,"","metagenomeSeq"
"59","February - September","PWY-5494|PWY-5494",-1.01819790732386,0.425389643520432,0.0166855090310143,0.149620410542374,"","metagenomeSeq"
"60","February - September","PWY-7874|PWY-7874",0.436066662800605,0.182288277854382,0.0167485534189225,0.149620410542374,"","metagenomeSeq"
"61","February - September","PWY-6873|PWY-6873",-1.36383137510205,0.573031208175596,0.0173112361265995,0.152111845309136,"","metagenomeSeq"
"62","February - September","PWY-6383|PWY-6383",1.2478711802096,0.533255163433725,0.0192785024223583,0.159962533693022,"","metagenomeSeq"
"63","February - September","PWY-5519|PWY-5519",-1.15298707207563,0.493045192317072,0.0193612321571905,0.159962533693022,"","metagenomeSeq"
"64","February - September","PWY4LZ-257|PWY4LZ-257",-1.36175056935391,0.586520177560153,0.0202466446467977,0.159962533693022,"","metagenomeSeq"
"65","February - September","FUCCAT-PWY|FUCCAT-PWY",-1.05025119056622,0.452687991312077,0.0203390788460283,0.159962533693022,"","metagenomeSeq"
