"","Comparison","Taxa","kw.ep","kw.eBH","glm.ep","glm.eBH","P.adj","Significance","Method"
"PWY0-1586|PWY0-1586","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY0-1586|PWY0-1586",0.00314139783313689,0.00593205308954143,6.38574651318293e-06,1.73681075596689e-05,0.00593205308954143,"**","ALDEx2_kw"
"PWY66-389|PWY66-389","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY66-389|PWY66-389",0.00135357574742577,0.00439558990884171,8.8118411076654e-06,2.21115244497025e-05,0.00439558990884171,"**","ALDEx2_kw"
"PWY-7094|PWY-7094","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-7094|PWY-7094",0.000423701667073547,0.00369648923800671,8.61155225374365e-07,3.75755300892647e-06,0.00369648923800671,"**","ALDEx2_kw"
"PWY-7663|PWY-7663","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-7663|PWY-7663",0.00310451091716684,0.00596882779466316,0.00026822933274771,0.000411380685141678,0.00596882779466316,"**","ALDEx2_kw"
"PWY-5973|PWY-5973","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-5973|PWY-5973",0.00451281289918217,0.00734503984318816,0.000906786697128075,0.00128233904140637,0.00734503984318816,"**","ALDEx2_kw"
"VALSYN-PWY|VALSYN-PWY","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","VALSYN-PWY|VALSYN-PWY",0.000640962625666654,0.00375887465599073,4.09548265657592e-06,1.23765699465899e-05,0.00375887465599073,"**","ALDEx2_kw"
"PWY-1042|PWY-1042","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-1042|PWY-1042",0.00357418179142854,0.00625697049613001,0.000220878249527885,0.000345582514708665,0.00625697049613001,"**","ALDEx2_kw"
"PWY-5136|PWY-5136","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-5136|PWY-5136",0.000537759376695365,0.00372876667305369,1.75659538079902e-06,6.4633662997626e-06,0.00372876667305369,"**","ALDEx2_kw"
"ILEUSYN-PWY|ILEUSYN-PWY","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","ILEUSYN-PWY|ILEUSYN-PWY",0.0010739089788746,0.00413095409679147,5.88254898380237e-06,1.6320559410902e-05,0.00413095409679147,"**","ALDEx2_kw"
"PWY-5667|PWY-5667","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-5667|PWY-5667",0.00245235999049739,0.00544396781196059,9.43159379189841e-05,0.000161764447174266,0.00544396781196059,"**","ALDEx2_kw"
"PWY0-1319|PWY0-1319","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY0-1319|PWY0-1319",0.00247624218316507,0.00545445497062575,9.72576824211881e-05,0.000166298125233807,0.00545445497062575,"**","ALDEx2_kw"
"PWY-5695|PWY-5695","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-5695|PWY-5695",0.000472144747745648,0.00371145524379479,4.10447211161605e-07,2.14879779609833e-06,0.00371145524379479,"**","ALDEx2_kw"
"SER-GLYSYN-PWY|SER-GLYSYN-PWY","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","SER-GLYSYN-PWY|SER-GLYSYN-PWY",0.00281870611974801,0.00571013468685851,1.69539345638304e-05,3.64547211231825e-05,0.00571013468685851,"**","ALDEx2_kw"
"PHOSLIPSYN-PWY|PHOSLIPSYN-PWY","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PHOSLIPSYN-PWY|PHOSLIPSYN-PWY",0.000810224005339347,0.0038972421840212,1.19584724572053e-05,2.77669686105424e-05,0.0038972421840212,"**","ALDEx2_kw"
"NONOXIPENT-PWY|NONOXIPENT-PWY","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","NONOXIPENT-PWY|NONOXIPENT-PWY",0.00421387313151368,0.00680678210562466,1.10407561421593e-05,2.61298817974011e-05,0.00680678210562466,"**","ALDEx2_kw"
"PWY-5659|PWY-5659","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-5659|PWY-5659",0.00194641111602014,0.0049753776081525,7.18794153817416e-05,0.000127577495753134,0.0049753776081525,"**","ALDEx2_kw"
"PWY-6122|PWY-6122","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-6122|PWY-6122",0.00120644792900673,0.00425825442593765,3.07475905308416e-06,9.94367194892292e-06,0.00425825442593765,"**","ALDEx2_kw"
"PWY-6277|PWY-6277","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-6277|PWY-6277",0.00121217948104474,0.00425976074848936,3.13281253437129e-06,1.00593589381085e-05,0.00425976074848936,"**","ALDEx2_kw"
"SALVADEHYPOX-PWY|SALVADEHYPOX-PWY","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","SALVADEHYPOX-PWY|SALVADEHYPOX-PWY",0.000483961880171986,0.00371459976872876,9.68093165497232e-08,7.13916790591841e-07,0.00371459976872876,"**","ALDEx2_kw"
"PWY-7111|PWY-7111","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-7111|PWY-7111",0.00148986680873563,0.00453811353819156,1.19259515160152e-05,2.76852362186438e-05,0.00453811353819156,"**","ALDEx2_kw"
"PWY-8178|PWY-8178","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-8178|PWY-8178",0.00407955898733884,0.0066847756409369,3.80521632308971e-05,7.22533947328845e-05,0.0066847756409369,"**","ALDEx2_kw"
"PWY-6969|PWY-6969","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-6969|PWY-6969",0.00125128505033094,0.00430839170725966,6.96367882710257e-05,0.000122644992583978,0.00430839170725966,"**","ALDEx2_kw"
"PWY-6121|PWY-6121","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-6121|PWY-6121",0.00187188588424142,0.00494033716173241,6.21281903796711e-06,1.70107743902376e-05,0.00494033716173241,"**","ALDEx2_kw"
"PWY4FS-7|PWY4FS-7","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY4FS-7|PWY4FS-7",0.000847672831314463,0.00394131805764995,1.29826618719987e-05,2.95252870329626e-05,0.00394131805764995,"**","ALDEx2_kw"
"PWY4FS-8|PWY4FS-8","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY4FS-8|PWY4FS-8",0.000825667507979085,0.00391629361401558,1.21686772614376e-05,2.82043186717608e-05,0.00391629361401558,"**","ALDEx2_kw"
"PWY-3001|PWY-3001","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-3001|PWY-3001",0.00220601632151866,0.00521853172170337,7.55722124438666e-06,1.96730199320081e-05,0.00521853172170337,"**","ALDEx2_kw"
"PWY-5103|PWY-5103","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-5103|PWY-5103",0.00147073191379136,0.0045212146180161,7.09658412748038e-06,1.87380416564082e-05,0.0045212146180161,"**","ALDEx2_kw"
"PWY-7977|PWY-7977","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-7977|PWY-7977",0.00281450960340352,0.00572242642728794,1.57116818290306e-05,3.43150585432187e-05,0.00572242642728794,"**","ALDEx2_kw"
"THRESYN-PWY|THRESYN-PWY","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","THRESYN-PWY|THRESYN-PWY",0.00267765782902971,0.00562039013087057,8.68631692330053e-06,2.17878303745494e-05,0.00562039013087057,"**","ALDEx2_kw"
"PWY-5686|PWY-5686","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-5686|PWY-5686",0.00392624739761972,0.00654762659447001,1.11595221802972e-05,2.62984917007061e-05,0.00654762659447001,"**","ALDEx2_kw"
"PWY-7790|PWY-7790","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-7790|PWY-7790",0.00386575358327656,0.00649941006947079,1.12022582432441e-05,2.63831924944369e-05,0.00649941006947079,"**","ALDEx2_kw"
"PWY-7791|PWY-7791","February_ColaDeBallena - February_EsteroZacatecas - September_ColaDeBallena - September_EsteroZacatecas","PWY-7791|PWY-7791",0.00388428689363302,0.00651026917699737,1.11699449190935e-05,2.63391857537664e-05,0.00651026917699737,"**","ALDEx2_kw"
