"","Comparison","Taxa","baseMean","log2FoldChange","lfcSE","stat","P.unadj","P.adj","Significance","Method"
"1","February_EsteroZacatecas - February_ColaDeBallena","PWY0-1586|PWY0-1586",69785.7643851529,0.109440277675906,0.0328709539614247,3.32939159004445,0.000870359397728908,0.00286051045960903,"**","DESeq2"
"2","February_EsteroZacatecas - February_ColaDeBallena","PWY66-389|PWY66-389",49371.9497637769,0.0326952370934968,0.0325192166665866,1.00541281263676,0.314698112826636,0.446144349925078,"","DESeq2"
"3","February_EsteroZacatecas - February_ColaDeBallena","PWY-7094|PWY-7094",32231.2932819627,-0.248483690455661,0.0449584854487993,-5.52695865919783,3.25829699884687e-08,2.97664759725163e-07,"***","DESeq2"
"4","February_EsteroZacatecas - February_ColaDeBallena","PWY-7663|PWY-7663",32336.290834134,0.0966020847528847,0.0495050491986957,1.95135822136361,0.0510144476775085,0.108977295417272,"","DESeq2"
"5","February_EsteroZacatecas - February_ColaDeBallena","PWY-5973|PWY-5973",32032.9715166847,0.0324412349789264,0.0408769116937604,0.793632239685033,0.427409558079007,0.553783057222559,"","DESeq2"
"6","February_EsteroZacatecas - February_ColaDeBallena","VALSYN-PWY|VALSYN-PWY",30107.7330614212,-0.0642610730056688,0.0244175366106701,-2.63175905212271,0.00849440813694683,0.0226657722070017,"*","DESeq2"
"7","February_EsteroZacatecas - February_ColaDeBallena","PWY-1042|PWY-1042",28789.847622703,-0.0102677430659417,0.0300819506600101,-0.341325706633489,0.732858397559618,0.819524224656918,"","DESeq2"
"8","February_EsteroZacatecas - February_ColaDeBallena","PWY-5136|PWY-5136",27904.8982401531,-0.197456629692407,0.051650388299562,-3.82294569688804,0.000131866828597126,0.000541784253179613,"***","DESeq2"
"9","February_EsteroZacatecas - February_ColaDeBallena","ILEUSYN-PWY|ILEUSYN-PWY",27847.2367016327,-0.01286220490969,0.0167989942068146,-0.76565327372233,0.443882636774099,0.56747530512403,"","DESeq2"
"10","February_EsteroZacatecas - February_ColaDeBallena","PWY-5667|PWY-5667",27774.0158719579,-0.0540480620666439,0.0207340699586817,-2.60672710058128,0.00914121830379839,0.0240347154426699,"*","DESeq2"
"11","February_EsteroZacatecas - February_ColaDeBallena","PWY0-1319|PWY0-1319",27774.0158719579,-0.0540480620666439,0.0207340699586817,-2.60672710058128,0.00914121830379839,0.0240347154426699,"*","DESeq2"
"12","February_EsteroZacatecas - February_ColaDeBallena","PWY-5695|PWY-5695",27639.2388947829,-0.00133022768026135,0.0293301527062522,-0.0453535886288715,0.96382547380084,0.980965165089109,"","DESeq2"
"13","February_EsteroZacatecas - February_ColaDeBallena","SER-GLYSYN-PWY|SER-GLYSYN-PWY",27403.7832272212,-0.0134846839555897,0.0181419658784898,-0.743286810586383,0.457308055117939,0.578612773963777,"","DESeq2"
"14","February_EsteroZacatecas - February_ColaDeBallena","PHOSLIPSYN-PWY|PHOSLIPSYN-PWY",26958.3070684632,-0.0929152119401024,0.0204182914941138,-4.55058700513156,5.3496460287869e-06,3.00360334324598e-05,"***","DESeq2"
"15","February_EsteroZacatecas - February_ColaDeBallena","NONOXIPENT-PWY|NONOXIPENT-PWY",26917.2695126245,0.0767019923646243,0.0218019644039941,3.51812299769522,0.000434610870333053,0.00156170172739677,"**","DESeq2"
"16","February_EsteroZacatecas - February_ColaDeBallena","PWY-5659|PWY-5659",26459.5529762809,-0.0337234955347231,0.0317528632206487,-1.06206156277564,0.288207738151901,0.418716902598045,"","DESeq2"
"17","February_EsteroZacatecas - February_ColaDeBallena","PWY-6122|PWY-6122",26100.7616484313,0.0122691339694704,0.0274654118216388,0.446712179272843,0.655082886950279,0.756080676801286,"","DESeq2"
"18","February_EsteroZacatecas - February_ColaDeBallena","PWY-6277|PWY-6277",26100.7616484313,0.0122691339694704,0.0274654118216388,0.446712179272843,0.655082886950279,0.756080676801286,"","DESeq2"
"19","February_EsteroZacatecas - February_ColaDeBallena","SALVADEHYPOX-PWY|SALVADEHYPOX-PWY",25960.6685108438,0.0329275113758008,0.0270682820691546,1.21646107025473,0.223809332187595,0.336964329746127,"","DESeq2"
"20","February_EsteroZacatecas - February_ColaDeBallena","PWY-7111|PWY-7111",25896.5336172499,0.00628078241786636,0.020897582204727,0.300550674060546,0.763757149583278,0.850547734763196,"","DESeq2"
