"","Comparison","Taxa","logFC","logCPM","P.unadj","P.adj","Significance","Method"
"1","February_ColaDeBallena - February_EsteroZacatecas","DTDPRHAMSYN-PWY|DTDPRHAMSYN-PWY",0.3520760607169,12.5047812156493,2.43024256659085e-18,1.30261001569269e-15,"***","edgeR"
"2","February_ColaDeBallena - February_EsteroZacatecas","PWY66-201|PWY66-201",5.41567070134623,8.48313607211606,3.05472222347011e-16,8.1866555588999e-14,"***","edgeR"
"3","February_ColaDeBallena - February_EsteroZacatecas","PWY-1422|PWY-1422",3.48935669766927,8.67116326728978,9.13793537793776e-15,1.63264445419155e-12,"***","edgeR"
"4","February_ColaDeBallena - February_EsteroZacatecas","PWY-7436|PWY-7436",3.62777470969244,8.22788484060531,3.90062835047993e-14,5.2268419896431e-12,"***","edgeR"
"5","February_ColaDeBallena - February_EsteroZacatecas","PWY-6629|PWY-6629",-8.43525716803102,2.48061083147138,3.72727700787487e-12,3.99564095244186e-10,"***","edgeR"
"6","February_ColaDeBallena - February_EsteroZacatecas","GLUCOSE1PMETAB-PWY|GLUCOSE1PMETAB-PWY",-0.283986505273725,12.2706440762728,5.64705574815982e-12,5.04470313502277e-10,"***","edgeR"
"7","February_ColaDeBallena - February_EsteroZacatecas","PWY-7373|PWY-7373",-3.3275271380422,7.20005396733912,8.25198139663741e-12,6.31866004085379e-10,"***","edgeR"
"8","February_ColaDeBallena - February_EsteroZacatecas","PWY-6731|PWY-6731",0.740337395867363,10.939301322608,3.41495534066364e-11,2.28802007824464e-09,"***","edgeR"
"9","February_ColaDeBallena - February_EsteroZacatecas","PWY-7377|PWY-7377",2.49775920621829,9.15808794401013,7.64831597733291e-11,4.55499707094493e-09,"***","edgeR"
"10","February_ColaDeBallena - February_EsteroZacatecas","PWY-5104|PWY-5104",-1.80873931393667,9.37027568458361,2.41149274924974e-10,1.29256011359786e-08,"***","edgeR"
"11","February_ColaDeBallena - February_EsteroZacatecas","PWY-6608|PWY-6608",0.518662362367456,11.8560297590635,9.53677354070072e-10,4.64700965255963e-08,"***","edgeR"
"12","February_ColaDeBallena - February_EsteroZacatecas","PWY-6606|PWY-6606",0.518662181571068,11.8560297590635,1.13486800708421e-09,5.06907709830948e-08,"***","edgeR"
"13","February_ColaDeBallena - February_EsteroZacatecas","PWY-6383|PWY-6383",-1.75358319976072,8.78693210629753,2.51885331636287e-09,1.03854259813115e-07,"***","edgeR"
"14","February_ColaDeBallena - February_EsteroZacatecas","P23-PWY|P23-PWY",-0.247322453251934,12.2600835270393,3.6886347633935e-09,1.41222016655637e-07,"***","edgeR"
"15","February_ColaDeBallena - February_EsteroZacatecas","TRPSYN-PWY|TRPSYN-PWY",-7.33799659459216,1.51534175225813,4.67844434729023e-09,1.67176411343171e-07,"***","edgeR"
"16","February_ColaDeBallena - February_EsteroZacatecas","PWY1G-0|PWY1G-0",-1.53478335964495,8.65623120879486,7.08748222976491e-09,2.24568354779183e-07,"***","edgeR"
"17","February_ColaDeBallena - February_EsteroZacatecas","PWY-5005|PWY-5005",-3.11163044765253,6.71490776435215,7.12250378963828e-09,2.24568354779183e-07,"***","edgeR"
"18","February_ColaDeBallena - February_EsteroZacatecas","PWY-5651|PWY-5651",1.01249698523248,10.0661514064146,1.06361739456705e-08,3.07777304455536e-07,"***","edgeR"
"19","February_ColaDeBallena - February_EsteroZacatecas","PWY1ZNC-1|PWY1ZNC-1",0.230590219916644,12.2602468229535,1.0910016389282e-08,3.07777304455536e-07,"***","edgeR"
"20","February_ColaDeBallena - February_EsteroZacatecas","PWY0-1061|PWY0-1061",0.460464340750565,11.675824874457,1.56337681567311e-08,4.18984986600393e-07,"***","edgeR"
"21","February_ColaDeBallena - February_EsteroZacatecas","SUCSYN-PWY|SUCSYN-PWY",2.48972067794004,9.32789979367038,2.69899420625469e-08,6.88886140263103e-07,"***","edgeR"
"22","February_ColaDeBallena - February_EsteroZacatecas","HEME-BIOSYNTHESIS-II|HEME-BIOSYNTHESIS-II",0.374645938590731,11.7701830496376,3.10131666544702e-08,7.55593514854365e-07,"***","edgeR"
"23","February_ColaDeBallena - February_EsteroZacatecas","HEME-BIOSYNTHESIS-II-1|HEME-BIOSYNTHESIS-II-1",0.374646029560566,11.7701830496376,3.37961156551367e-08,7.87596434397969e-07,"***","edgeR"
"24","February_ColaDeBallena - February_EsteroZacatecas","P163-PWY|P163-PWY",-2.51819401289227,6.40824183489754,3.59519106303832e-08,8.02926004078558e-07,"***","edgeR"
"25","February_ColaDeBallena - February_EsteroZacatecas","PWY-801|PWY-801",0.520499058062424,11.51151439888,3.90551310795375e-08,8.37342010345283e-07,"***","edgeR"
"26","February_ColaDeBallena - February_EsteroZacatecas","PWY-7347|PWY-7347",2.60592740684158,8.42676650039437,5.55966365556946e-08,1.1461460459174e-06,"***","edgeR"
"27","February_ColaDeBallena - February_EsteroZacatecas","PWY-7900|PWY-7900",-1.49120702116621,9.39030803308889,6.18695779537511e-08,1.22822569567447e-06,"***","edgeR"
"28","February_ColaDeBallena - February_EsteroZacatecas","SO4ASSIM-PWY|SO4ASSIM-PWY",0.217561127441182,12.2662553629012,6.9094917421442e-08,1.32267413349618e-06,"***","edgeR"
"29","February_ColaDeBallena - February_EsteroZacatecas","CODH-PWY|CODH-PWY",-1.52677791309608,8.58357680642276,9.30130910689e-08,1.7191385107907e-06,"***","edgeR"
"30","February_ColaDeBallena - February_EsteroZacatecas","PWY-7902|PWY-7902",1.53730477313988,8.1706209466247,1.13052584133701e-07,2.01987283652213e-06,"***","edgeR"
"31","February_ColaDeBallena - February_EsteroZacatecas","HEXITOLDEGSUPER-PWY|HEXITOLDEGSUPER-PWY",-2.4739888298384,6.86101222016237,1.44045724972405e-07,2.49059705113578e-06,"***","edgeR"
"32","February_ColaDeBallena - February_EsteroZacatecas","PWY-6948|PWY-6948",-1.44892212342159,7.85082375936743,1.81583063709514e-07,3.04151631713436e-06,"***","edgeR"
"33","February_ColaDeBallena - February_EsteroZacatecas","PWY-6292|PWY-6292",0.377157584496025,11.7367307344085,1.96721938267123e-07,3.13162264058332e-06,"***","edgeR"
"34","February_ColaDeBallena - February_EsteroZacatecas","METH-ACETATE-PWY|METH-ACETATE-PWY",-1.45634117315961,8.62968111276857,1.98647704813121e-07,3.13162264058332e-06,"***","edgeR"
"35","February_ColaDeBallena - February_EsteroZacatecas","NADSYN-PWY|NADSYN-PWY",0.873840208061562,10.5048027803655,2.3554270439475e-07,3.60716827301674e-06,"***","edgeR"
"36","February_ColaDeBallena - February_EsteroZacatecas","PWY-5899|PWY-5899",0.451197377291666,11.3920973599812,2.45651250716153e-07,3.65747417732938e-06,"***","edgeR"
"37","February_ColaDeBallena - February_EsteroZacatecas","PWY-5862|PWY-5862",0.646518462819386,10.9068931976379,2.68297911635556e-07,3.88669407126102e-06,"***","edgeR"
"38","February_ColaDeBallena - February_EsteroZacatecas","PWY-5860|PWY-5860",0.646518167006152,10.9068931976379,3.19981222924156e-07,4.5134193549302e-06,"***","edgeR"
"39","February_ColaDeBallena - February_EsteroZacatecas","PWY-5898|PWY-5898",0.451197008945224,11.3920973599812,3.43099662196592e-07,4.71542099839419e-06,"***","edgeR"
"40","February_ColaDeBallena - February_EsteroZacatecas","PWY-5897|PWY-5897",0.45119692311399,11.3920973599812,3.70892910841747e-07,4.96996500527942e-06,"***","edgeR"
"41","February_ColaDeBallena - February_EsteroZacatecas","P108-PWY|P108-PWY",-1.18296222662297,9.80386706236385,3.81607048469112e-07,4.98881409705961e-06,"***","edgeR"
"42","February_ColaDeBallena - February_EsteroZacatecas","P105-PWY|P105-PWY",-1.52239947368573,7.75892558557591,4.0241237124068e-07,5.13554835678582e-06,"***","edgeR"
"43","February_ColaDeBallena - February_EsteroZacatecas","ASPASN-PWY|ASPASN-PWY",-1.85102633549499,7.65417670462801,4.18997139956226e-07,5.22284807015203e-06,"***","edgeR"
"44","February_ColaDeBallena - February_EsteroZacatecas","PWY-5896|PWY-5896",0.563049685677073,11.2489056185443,4.66624063474333e-07,5.68432950050551e-06,"***","edgeR"
"45","February_ColaDeBallena - February_EsteroZacatecas","PWY-5838|PWY-5838",0.42119127147048,11.4430674959381,4.88185902333274e-07,5.81483652556966e-06,"***","edgeR"
"46","February_ColaDeBallena - February_EsteroZacatecas","PWY-5850|PWY-5850",0.563049565508865,11.2489056185443,5.03304465177149e-07,5.86459115945547e-06,"***","edgeR"
"47","February_ColaDeBallena - February_EsteroZacatecas","PWY-5845|PWY-5845",0.563049459765595,11.2489056185443,5.37966063100241e-07,6.13510233663254e-06,"***","edgeR"
"48","February_ColaDeBallena - February_EsteroZacatecas","PWY-6421|PWY-6421",-3.08799715578292,5.80377458093744,6.05389026053037e-07,6.73284194012239e-06,"***","edgeR"
"49","February_ColaDeBallena - February_EsteroZacatecas","PWY-6920|PWY-6920",1.87911655774879,6.78953516091873,6.2647696935085e-07,6.73284194012239e-06,"***","edgeR"
"50","February_ColaDeBallena - February_EsteroZacatecas","PWY-5861|PWY-5861",0.488297714616627,11.1325339281305,6.28063613817387e-07,6.73284194012239e-06,"***","edgeR"
"51","February_ColaDeBallena - February_EsteroZacatecas","NAD-BIOSYNTHESIS-II|NAD-BIOSYNTHESIS-II",-2.53337534190535,5.36531305751937,9.03376902328195e-07,9.49431411074338e-06,"***","edgeR"
"52","February_ColaDeBallena - February_EsteroZacatecas","PWY-6703|PWY-6703",0.306037029705458,12.0181400577282,1.02379349359911e-06,1.0552948318637e-05,"***","edgeR"
"53","February_ColaDeBallena - February_EsteroZacatecas","PWY-6946|PWY-6946",-1.36364711581309,8.25925362451372,1.05003240688376e-06,1.06191956620697e-05,"***","edgeR"
"54","February_ColaDeBallena - February_EsteroZacatecas","PWY-6313|PWY-6313",0.923929415873451,11.285535841754,1.08702044130131e-06,1.07896843803241e-05,"***","edgeR"
"55","February_ColaDeBallena - February_EsteroZacatecas","PWY-7784|PWY-7784",-1.33925369994112,8.23485071876462,1.2649666871775e-06,1.23276753514026e-05,"***","edgeR"
"56","February_ColaDeBallena - February_EsteroZacatecas","P381-PWY|P381-PWY",-1.3406956944891,8.61329759266058,2.21913910162159e-06,2.12403314012352e-05,"***","edgeR"
"57","February_ColaDeBallena - February_EsteroZacatecas","SULFATE-CYS-PWY|SULFATE-CYS-PWY",0.190391217997065,12.4510442717531,2.28722488793693e-06,2.15079392970911e-05,"***","edgeR"
"58","February_ColaDeBallena - February_EsteroZacatecas","PWY-5873|PWY-5873",15.4675461079051,9.3838869671965,2.43644673693553e-06,2.21504858245033e-05,"***","edgeR"
"59","February_ColaDeBallena - February_EsteroZacatecas","PWY-7431|PWY-7431",0.98709091385697,10.8339651846283,2.43820646202555e-06,2.21504858245033e-05,"***","edgeR"
