"","Comparison","Taxa","baseMean","log2FoldChange","lfcSE","stat","P.unadj","P.adj","reject","df","Significance","Method"
"PWY0-1586|PWY0-1586","February_EsteroZacatecas - February_ColaDeBallena","PWY0-1586|PWY0-1586",15578.2788430603,0.0898045991031159,0.0879492738906042,1.02109540113793,0.319402587919331,0.496132550111007,FALSE,20,"","linda"
"PWY66-389|PWY66-389","February_EsteroZacatecas - February_ColaDeBallena","PWY66-389|PWY66-389",10878.3836620448,0.0210938866532711,0.0988520958023423,0.213388360479973,0.833184263559373,0.944673540746025,FALSE,20,"","linda"
"PWY-7094|PWY-7094","February_EsteroZacatecas - February_ColaDeBallena","PWY-7094|PWY-7094",7610.90086384992,-0.264694528299825,0.0919585319559879,-2.87841185227391,0.0092907121264326,0.0345358195596357,TRUE,20,"*","linda"
"PWY-7663|PWY-7663","February_EsteroZacatecas - February_ColaDeBallena","PWY-7663|PWY-7663",8159.39332763048,0.0659789293930428,0.0703594288338326,0.937741117098389,0.359564619068053,0.547472682705313,FALSE,20,"","linda"
"PWY-5973|PWY-5973","February_EsteroZacatecas - February_ColaDeBallena","PWY-5973|PWY-5973",8201.59906981167,0.0140956505421796,0.0679498905804422,0.207441843125451,0.837762435021521,0.944673540746025,FALSE,20,"","linda"
"VALSYN-PWY|VALSYN-PWY","February_EsteroZacatecas - February_ColaDeBallena","VALSYN-PWY|VALSYN-PWY",6826.94901779885,-0.0766116897031648,0.0939225013908876,-0.815690474259427,0.424285656148058,0.626547859352886,FALSE,20,"","linda"
"PWY-1042|PWY-1042","February_EsteroZacatecas - February_ColaDeBallena","PWY-1042|PWY-1042",6932.03294366081,-0.0247133265254049,0.08258884787173,-0.299233215649012,0.767849457256035,0.913622201900669,FALSE,20,"","linda"
"PWY-5136|PWY-5136","February_EsteroZacatecas - February_ColaDeBallena","PWY-5136|PWY-5136",6561.47038723642,-0.215730571857226,0.0918708647216358,-2.34819354874778,0.0292610917104842,0.0847942388814568,FALSE,20,"","linda"
"ILEUSYN-PWY|ILEUSYN-PWY","February_EsteroZacatecas - February_ColaDeBallena","ILEUSYN-PWY|ILEUSYN-PWY",6356.97522589693,-0.0253945422260798,0.0863199767017363,-0.294190791012679,0.771643686767075,0.913797134654733,FALSE,20,"","linda"
"PWY-5667|PWY-5667","February_EsteroZacatecas - February_ColaDeBallena","PWY-5667|PWY-5667",6683.09472609728,-0.0603225553401669,0.0768137708148478,-0.785309127520488,0.441476699939816,0.644867049505585,FALSE,20,"","linda"
"PWY0-1319|PWY0-1319","February_EsteroZacatecas - February_ColaDeBallena","PWY0-1319|PWY0-1319",6683.09472609728,-0.0603225553401669,0.0768137708148478,-0.785309127520488,0.441476699939816,0.644867049505585,FALSE,20,"","linda"
"PWY-5695|PWY-5695","February_EsteroZacatecas - February_ColaDeBallena","PWY-5695|PWY-5695",5995.84932763749,-0.0139879480231889,0.0942634362105584,-0.148392086958762,0.883519309531729,0.975633141131811,FALSE,20,"","linda"
"SER-GLYSYN-PWY|SER-GLYSYN-PWY","February_EsteroZacatecas - February_ColaDeBallena","SER-GLYSYN-PWY|SER-GLYSYN-PWY",6498.23594700326,-0.0238957348279705,0.0716107870714101,-0.333689040509243,0.742087475415246,0.902217889249993,FALSE,20,"","linda"
"PHOSLIPSYN-PWY|PHOSLIPSYN-PWY","February_EsteroZacatecas - February_ColaDeBallena","PHOSLIPSYN-PWY|PHOSLIPSYN-PWY",6334.65719352974,-0.105636741725714,0.0850697032083633,-1.2417669010432,0.228688456295505,0.396344302068415,FALSE,20,"","linda"
"NONOXIPENT-PWY|NONOXIPENT-PWY","February_EsteroZacatecas - February_ColaDeBallena","NONOXIPENT-PWY|NONOXIPENT-PWY",6233.4734176287,0.0621386756898543,0.075829779087499,0.819449514921484,0.422188267213127,0.626547859352886,FALSE,20,"","linda"
"PWY-5659|PWY-5659","February_EsteroZacatecas - February_ColaDeBallena","PWY-5659|PWY-5659",6125.77774551365,-0.0476810739569534,0.0992013066953653,-0.480649656192291,0.63598138620183,0.828004751600934,FALSE,20,"","linda"
"PWY-6122|PWY-6122","February_EsteroZacatecas - February_ColaDeBallena","PWY-6122|PWY-6122",5893.14654916128,-0.00104586850928667,0.0865571141202155,-0.012082987284374,0.9904791251134,0.997314029805217,FALSE,20,"","linda"
"PWY-6277|PWY-6277","February_EsteroZacatecas - February_ColaDeBallena","PWY-6277|PWY-6277",5893.14654916128,-0.00104586850928667,0.0865571141202155,-0.012082987284374,0.9904791251134,0.997314029805217,FALSE,20,"","linda"
"SALVADEHYPOX-PWY|SALVADEHYPOX-PWY","February_EsteroZacatecas - February_ColaDeBallena","SALVADEHYPOX-PWY|SALVADEHYPOX-PWY",5677.42257165347,0.02008772108897,0.0794601476509913,0.252802463660152,0.803000999794833,0.930384200443026,FALSE,20,"","linda"
"PWY-7111|PWY-7111","February_EsteroZacatecas - February_ColaDeBallena","PWY-7111|PWY-7111",5891.10824562632,-0.00632426348542098,0.0901522721630156,-0.0701509050596671,0.944770252761144,0.98777990123259,FALSE,20,"","linda"
