"","Comparison","Taxa","logFC","se","P.unadj","P.adj","Significance","Method"
"1","February_ColaDeBallena - February_EsteroZacatecas","PWY-6629|PWY-6629",-3.58832153221156,0.412913059926619,0,0,"***","metagenomeSeq"
"2","February_ColaDeBallena - February_EsteroZacatecas","TRPSYN-PWY|TRPSYN-PWY",-2.86318945592405,0.408987372348438,2.54729570769996e-12,6.81401601809739e-10,"***","metagenomeSeq"
"3","February_ColaDeBallena - February_EsteroZacatecas","PWY-5837|PWY-5837",0.515492267514513,0.0953906197588112,6.5165767670905e-08,1.16212285679781e-05,"***","metagenomeSeq"
"4","February_ColaDeBallena - February_EsteroZacatecas","PWY-7902|PWY-7902",1.04496733469302,0.199005502669602,1.51319270447203e-07,1.68448376656564e-05,"***","metagenomeSeq"
"5","February_ColaDeBallena - February_EsteroZacatecas","PWY-5651|PWY-5651",0.741944593297439,0.141610705130605,1.61164465550812e-07,1.68448376656564e-05,"***","metagenomeSeq"
"6","February_ColaDeBallena - February_EsteroZacatecas","PWY-6731|PWY-6731",0.544880659118195,0.104585067845337,1.8891406727839e-07,1.68448376656564e-05,"***","metagenomeSeq"
"7","February_ColaDeBallena - February_EsteroZacatecas","NADSYN-PWY|NADSYN-PWY",0.645984431799392,0.134503191187268,1.56505709258958e-06,0.000108472054166225,"***","metagenomeSeq"
"8","February_ColaDeBallena - February_EsteroZacatecas","PWY-6920|PWY-6920",1.31877653281848,0.274998082417553,1.62201202491552e-06,0.000108472054166225,"***","metagenomeSeq"
"9","February_ColaDeBallena - February_EsteroZacatecas","PWY-5860|PWY-5860",0.477380329374381,0.103002518446029,3.57546809914844e-06,0.00017998559906559,"***","metagenomeSeq"
"10","February_ColaDeBallena - February_EsteroZacatecas","PWY-5862|PWY-5862",0.477380329374381,0.103002518446029,3.57546809914844e-06,0.00017998559906559,"***","metagenomeSeq"
"11","February_ColaDeBallena - February_EsteroZacatecas","PWY-5845|PWY-5845",0.422654450252992,0.0920255379305559,4.37348184645359e-06,0.00017998559906559,"***","metagenomeSeq"
"12","February_ColaDeBallena - February_EsteroZacatecas","PWY-5850|PWY-5850",0.422654450252992,0.0920255379305559,4.37348184645359e-06,0.00017998559906559,"***","metagenomeSeq"
"13","February_ColaDeBallena - February_EsteroZacatecas","PWY-5896|PWY-5896",0.422654450252992,0.0920255379305559,4.37348184645359e-06,0.00017998559906559,"***","metagenomeSeq"
"14","February_ColaDeBallena - February_EsteroZacatecas","PWY-6531|PWY-6531",0.541375478496486,0.121587727024354,8.48563270983149e-06,0.000324272392839989,"***","metagenomeSeq"
"15","February_ColaDeBallena - February_EsteroZacatecas","PWY-6606|PWY-6606",0.39295508104031,0.0901517984903105,1.30768135930825e-05,0.000437255954518698,"***","metagenomeSeq"
"16","February_ColaDeBallena - February_EsteroZacatecas","PWY-6608|PWY-6608",0.39295508104031,0.0901517984903105,1.30768135930825e-05,0.000437255954518698,"***","metagenomeSeq"
"17","February_ColaDeBallena - February_EsteroZacatecas","PWY-5861|PWY-5861",0.376235820690535,0.0867372951679329,1.44015814589338e-05,0.000453226240031151,"***","metagenomeSeq"
"18","February_ColaDeBallena - February_EsteroZacatecas","PWY-5897|PWY-5897",0.350698396939533,0.0834606907153957,2.64615116833955e-05,0.00070784543753083,"***","metagenomeSeq"
"19","February_ColaDeBallena - February_EsteroZacatecas","PWY-5898|PWY-5898",0.350698396939533,0.0834606907153957,2.64615116833955e-05,0.00070784543753083,"***","metagenomeSeq"
"20","February_ColaDeBallena - February_EsteroZacatecas","PWY-5899|PWY-5899",0.350698396939533,0.0834606907153957,2.64615116833955e-05,0.00070784543753083,"***","metagenomeSeq"
"21","February_ColaDeBallena - February_EsteroZacatecas","PWY-3481|PWY-3481",1.32254636298874,0.315907587020655,2.83291895513127e-05,0.00071946172647323,"***","metagenomeSeq"
"22","February_ColaDeBallena - February_EsteroZacatecas","PWY-6672|PWY-6672",-0.666531600398589,0.159832467730026,3.04347115069881e-05,0.00071946172647323,"***","metagenomeSeq"
"23","February_ColaDeBallena - February_EsteroZacatecas","PWY1G-0|PWY1G-0",-0.985376138773426,0.236499290064145,3.093013029698e-05,0.00071946172647323,"***","metagenomeSeq"
"24","February_ColaDeBallena - February_EsteroZacatecas","NAD-BIOSYNTHESIS-II|NAD-BIOSYNTHESIS-II",-1.72721757577385,0.424147816554908,4.65698254648039e-05,0.00103811902598625,"**","metagenomeSeq"
"25","February_ColaDeBallena - February_EsteroZacatecas","PWY-7072|PWY-7072",-0.662062299075877,0.167604501725924,7.81034445567208e-05,0.00161788751528534,"**","metagenomeSeq"
"26","February_ColaDeBallena - February_EsteroZacatecas","PWY-5067|PWY-5067",-2.16990361001908,0.550127069553008,8.00107101333047e-05,0.00161788751528534,"**","metagenomeSeq"
"27","February_ColaDeBallena - February_EsteroZacatecas","PWY-1422|PWY-1422",2.13161209519679,0.541799663094403,8.34333071426663e-05,0.00161788751528534,"**","metagenomeSeq"
"28","February_ColaDeBallena - February_EsteroZacatecas","PWY-5838|PWY-5838",0.330436108629011,0.084063978902645,8.46744867812887e-05,0.00161788751528534,"**","metagenomeSeq"
"29","February_ColaDeBallena - February_EsteroZacatecas","P221-PWY|P221-PWY",0.432195155636783,0.111328612608146,0.000103533983450532,0.0019100234877943,"**","metagenomeSeq"
"30","February_ColaDeBallena - February_EsteroZacatecas","PWY-7436|PWY-7436",2.18784063449994,0.571380608556425,0.000128642791375366,0.00229412977952737,"**","metagenomeSeq"
"31","February_ColaDeBallena - February_EsteroZacatecas","P461-PWY|P461-PWY",-0.632555744287231,0.166764376055219,0.000148771774283407,0.00256521063335822,"**","metagenomeSeq"
"32","February_ColaDeBallena - February_EsteroZacatecas","ORNDEG-PWY|ORNDEG-PWY",-0.718474930690138,0.189799282155321,0.000153433159378435,0.00256521063335822,"**","metagenomeSeq"
"33","February_ColaDeBallena - February_EsteroZacatecas","PWY0-41|PWY0-41",-0.623894444717646,0.170318210022216,0.000249170863430237,0.0040395882404599,"**","metagenomeSeq"
"34","February_ColaDeBallena - February_EsteroZacatecas","PWY0-845|PWY0-845",-0.442392633980629,0.121819059503706,0.000281718426656585,0.00443292230180215,"**","metagenomeSeq"
