"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"1","February_ColaDeBallena - February_EsteroZacatecas","PWY0-1586","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00910573835475021,"**"
"2","February_ColaDeBallena - September_ColaDeBallena","PWY0-1586","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.0151515151515152,0.0374159225667346,"*"
"3","February_ColaDeBallena - September_EsteroZacatecas","PWY0-1586","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.00216450216450216,0.00910573835475021,"**"
"4","February_EsteroZacatecas - September_ColaDeBallena","PWY0-1586","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.393939393939394,0.499741154091571,"ns"
"5","February_EsteroZacatecas - September_EsteroZacatecas","PWY0-1586","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.30952380952381,0.41473332933677,"ns"
"6","September_ColaDeBallena - September_EsteroZacatecas","PWY0-1586","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.699134199134199,0.774041434755721,"ns"
"7","February_ColaDeBallena - February_EsteroZacatecas","PWY66-389","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.24025974025974,0.339596879437517,"ns"
"8","February_ColaDeBallena - September_ColaDeBallena","PWY66-389","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00910573835475021,"**"
"9","February_ColaDeBallena - September_EsteroZacatecas","PWY66-389","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.0151515151515152,0.0374159225667346,"*"
"10","February_EsteroZacatecas - September_ColaDeBallena","PWY66-389","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00910573835475021,"**"
"11","February_EsteroZacatecas - September_EsteroZacatecas","PWY66-389","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.025974025974026,0.0568437730877758,"ns"
"12","September_ColaDeBallena - September_EsteroZacatecas","PWY66-389","Wilcoxon Rank Sum Test","September_EsteroZacatecas",1,1,"ns"
"13","February_ColaDeBallena - February_EsteroZacatecas","PWY-7663","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.0930735930735931,0.156742606900835,"ns"
"14","February_ColaDeBallena - September_ColaDeBallena","PWY-7663","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00216450216450216,0.00910573835475021,"**"
"15","February_ColaDeBallena - September_EsteroZacatecas","PWY-7663","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00216450216450216,0.00910573835475021,"**"
"16","February_EsteroZacatecas - September_ColaDeBallena","PWY-7663","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00910573835475021,"**"
"17","February_EsteroZacatecas - September_EsteroZacatecas","PWY-7663","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00910573835475021,"**"
"18","September_ColaDeBallena - September_EsteroZacatecas","PWY-7663","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.484848484848485,0.578736901727556,"ns"
"19","February_ColaDeBallena - February_EsteroZacatecas","PWY-7094","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00865800865800866,0.0239143785856589,"*"
"20","February_ColaDeBallena - September_ColaDeBallena","PWY-7094","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00432900432900433,0.0142907782493951,"*"
"21","February_ColaDeBallena - September_EsteroZacatecas","PWY-7094","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.588744588744589,0.674752861400385,"ns"
"22","February_EsteroZacatecas - September_ColaDeBallena","PWY-7094","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00910573835475021,"**"
"23","February_EsteroZacatecas - September_EsteroZacatecas","PWY-7094","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.00216450216450216,0.00910573835475021,"**"
"24","September_ColaDeBallena - September_EsteroZacatecas","PWY-7094","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00910573835475021,"**"
"25","February_ColaDeBallena - February_EsteroZacatecas","PWY-5973","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.393939393939394,0.499741154091571,"ns"
"26","February_ColaDeBallena - September_ColaDeBallena","PWY-5973","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00216450216450216,0.00910573835475021,"**"
"27","February_ColaDeBallena - September_EsteroZacatecas","PWY-5973","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00216450216450216,0.00910573835475021,"**"
"28","February_EsteroZacatecas - September_ColaDeBallena","PWY-5973","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00910573835475021,"**"
"29","February_EsteroZacatecas - September_EsteroZacatecas","PWY-5973","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00910573835475021,"**"
"30","September_ColaDeBallena - September_EsteroZacatecas","PWY-5973","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.17965367965368,0.267928164004764,"ns"
"31","February_ColaDeBallena - February_EsteroZacatecas","VALSYN-PWY","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00865800865800866,0.0239143785856589,"*"
