"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"1","February_ColaDeBallena - February_EsteroZacatecas","PWY0-1586","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00892927055717753,"**"
"2","February_ColaDeBallena - September_ColaDeBallena","PWY0-1586","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"3","February_ColaDeBallena - September_EsteroZacatecas","PWY0-1586","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.0411255411255411,0.0780236796279577,"ns"
"4","February_EsteroZacatecas - September_ColaDeBallena","PWY0-1586","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.937229437229437,0.95670511287519,"ns"
"5","February_EsteroZacatecas - September_EsteroZacatecas","PWY0-1586","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.17965367965368,0.26145587927721,"ns"
"6","September_ColaDeBallena - September_EsteroZacatecas","PWY0-1586","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.24025974025974,0.334853492208359,"ns"
"7","February_ColaDeBallena - February_EsteroZacatecas","PWY66-389","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.025974025974026,0.0543480110976835,"ns"
"8","February_ColaDeBallena - September_ColaDeBallena","PWY66-389","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"9","February_ColaDeBallena - September_EsteroZacatecas","PWY66-389","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.00865800865800866,0.0230759780008528,"*"
"10","February_EsteroZacatecas - September_ColaDeBallena","PWY66-389","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"11","February_EsteroZacatecas - September_EsteroZacatecas","PWY66-389","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.132034632034632,0.204753074349966,"ns"
"12","September_ColaDeBallena - September_EsteroZacatecas","PWY66-389","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.17965367965368,0.26145587927721,"ns"
"13","February_ColaDeBallena - February_EsteroZacatecas","PWY-7663","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.0151515151515152,0.0353387785820218,"*"
"14","February_ColaDeBallena - September_ColaDeBallena","PWY-7663","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"15","February_ColaDeBallena - September_EsteroZacatecas","PWY-7663","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"16","February_EsteroZacatecas - September_ColaDeBallena","PWY-7663","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00892927055717753,"**"
"17","February_EsteroZacatecas - September_EsteroZacatecas","PWY-7663","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00892927055717753,"**"
"18","September_ColaDeBallena - September_EsteroZacatecas","PWY-7663","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.699134199134199,0.769770861322586,"ns"
"19","February_ColaDeBallena - February_EsteroZacatecas","PWY-7094","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.0930735930735931,0.152323927567392,"ns"
"20","February_ColaDeBallena - September_ColaDeBallena","PWY-7094","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00432900432900433,0.0140159555907529,"*"
"21","February_ColaDeBallena - September_EsteroZacatecas","PWY-7094","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.484848484848485,0.579603598697571,"ns"
"22","February_EsteroZacatecas - September_ColaDeBallena","PWY-7094","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"23","February_EsteroZacatecas - September_EsteroZacatecas","PWY-7094","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.0411255411255411,0.0780236796279577,"ns"
"24","September_ColaDeBallena - September_EsteroZacatecas","PWY-7094","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"25","February_ColaDeBallena - February_EsteroZacatecas","PWY-5973","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.0930735930735931,0.152323927567392,"ns"
"26","February_ColaDeBallena - September_ColaDeBallena","PWY-5973","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"27","February_ColaDeBallena - September_EsteroZacatecas","PWY-5973","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"28","February_EsteroZacatecas - September_ColaDeBallena","PWY-5973","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00892927055717753,"**"
"29","February_EsteroZacatecas - September_EsteroZacatecas","PWY-5973","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00892927055717753,"**"
"30","September_ColaDeBallena - September_EsteroZacatecas","PWY-5973","Wilcoxon Rank Sum Test","September_EsteroZacatecas",1,1,"ns"
"31","February_ColaDeBallena - February_EsteroZacatecas","VALSYN-PWY","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.484848484848485,0.579603598697571,"ns"
"32","February_ColaDeBallena - September_ColaDeBallena","VALSYN-PWY","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"33","February_ColaDeBallena - September_EsteroZacatecas","VALSYN-PWY","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.025974025974026,0.0543480110976835,"ns"
"34","February_EsteroZacatecas - September_ColaDeBallena","VALSYN-PWY","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"35","February_EsteroZacatecas - September_EsteroZacatecas","VALSYN-PWY","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.0930735930735931,0.152323927567392,"ns"
"36","September_ColaDeBallena - September_EsteroZacatecas","VALSYN-PWY","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.025974025974026,0.0543480110976835,"ns"
"37","February_ColaDeBallena - February_EsteroZacatecas","PWY-1042","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.30952380952381,0.411281533004379,"ns"
"38","February_ColaDeBallena - September_ColaDeBallena","PWY-1042","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.588744588744589,0.676209162540098,"ns"
"39","February_ColaDeBallena - September_EsteroZacatecas","PWY-1042","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.0411255411255411,0.0780236796279577,"ns"
"40","February_EsteroZacatecas - September_ColaDeBallena","PWY-1042","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.699134199134199,0.769770861322586,"ns"
"41","February_EsteroZacatecas - September_EsteroZacatecas","PWY-1042","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00892927055717753,"**"
"42","September_ColaDeBallena - September_EsteroZacatecas","PWY-1042","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00865800865800866,0.0230759780008528,"*"
"43","February_ColaDeBallena - February_EsteroZacatecas","PWY-5136","Wilcoxon Rank Sum Test","February_ColaDeBallena",0.393939393939394,0.498750390502968,"ns"
"44","February_ColaDeBallena - September_ColaDeBallena","PWY-5136","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00432900432900433,0.0140159555907529,"*"
"45","February_ColaDeBallena - September_EsteroZacatecas","PWY-5136","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.699134199134199,0.769770861322586,"ns"
"46","February_EsteroZacatecas - September_ColaDeBallena","PWY-5136","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"47","February_EsteroZacatecas - September_EsteroZacatecas","PWY-5136","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.24025974025974,0.334853492208359,"ns"
"48","September_ColaDeBallena - September_EsteroZacatecas","PWY-5136","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"49","February_ColaDeBallena - February_EsteroZacatecas","ILEUSYN-PWY","Wilcoxon Rank Sum Test","February_EsteroZacatecas",0.00216450216450216,0.00892927055717753,"**"
"50","February_ColaDeBallena - September_ColaDeBallena","ILEUSYN-PWY","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00216450216450216,0.00892927055717753,"**"
"51","February_ColaDeBallena - September_EsteroZacatecas","ILEUSYN-PWY","Wilcoxon Rank Sum Test","September_EsteroZacatecas",0.025974025974026,0.0543480110976835,"ns"
"52","February_EsteroZacatecas - September_ColaDeBallena","ILEUSYN-PWY","Wilcoxon Rank Sum Test","September_ColaDeBallena",0.00865800865800866,0.0230759780008528,"*"
