"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"1","February - September","PWY0-1586","Wilcoxon Rank Sum Test","September",0.0518646113611789,0.0904693382643217,"ns"
"2","February - September","PWY66-389","Wilcoxon Rank Sum Test","September",2.21880690315204e-05,0.000137464013884937,"***"
"3","February - September","PWY-7094","Wilcoxon Rank Sum Test","September",0.000656027241031952,0.00214302232070438,"**"
"4","February - September","PWY-7663","Wilcoxon Rank Sum Test","February",7.39602301050679e-07,1.37464013884937e-05,"***"
"5","February - September","PWY-5973","Wilcoxon Rank Sum Test","February",7.39602301050679e-07,1.37464013884937e-05,"***"
"6","February - September","VALSYN-PWY","Wilcoxon Rank Sum Test","September",1.40524437199629e-05,9.9661410066579e-05,"***"
"7","February - September","PWY-1042","Wilcoxon Rank Sum Test","February",0.0683614406861143,0.114076831361658,"ns"
"8","February - September","PWY-5136","Wilcoxon Rank Sum Test","September",0.00291403306613968,0.00781424787387704,"**"
"9","February - September","ILEUSYN-PWY","Wilcoxon Rank Sum Test","September",2.21880690315204e-05,0.000137464013884937,"***"
"10","February - September","PWY-5667","Wilcoxon Rank Sum Test","February",0.37768531105454,0.465840692582144,"ns"
"11","February - September","PWY0-1319","Wilcoxon Rank Sum Test","February",0.37768531105454,0.465840692582144,"ns"
"12","February - September","PWY-5695","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"13","February - September","SER-GLYSYN-PWY","Wilcoxon Rank Sum Test","February",1,1,"ns"
"14","February - September","PHOSLIPSYN-PWY","Wilcoxon Rank Sum Test","September",0.000495533541703955,0.00176882502634723,"**"
"15","February - September","NONOXIPENT-PWY","Wilcoxon Rank Sum Test","February",0.589875732021377,0.675038258088158,"ns"
"16","February - September","PWY-5659","Wilcoxon Rank Sum Test","September",0.00451305324101124,0.0112098419212215,"*"
"17","February - September","PWY-6122","Wilcoxon Rank Sum Test","September",0.00143260965713517,0.00419661198476008,"**"
"18","February - September","PWY-6277","Wilcoxon Rank Sum Test","September",0.00143260965713517,0.00419661198476008,"**"
"19","February - September","SALVADEHYPOX-PWY","Wilcoxon Rank Sum Test","September",2.95840920420272e-06,3.06650492512551e-05,"***"
"20","February - September","PWY-8178","Wilcoxon Rank Sum Test","February",0.218920801906399,0.30490519955439,"ns"
"21","February - September","PWY-7111","Wilcoxon Rank Sum Test","September",0.000201171825885785,0.000815275294379233,"***"
"22","February - September","PWY-6969","Wilcoxon Rank Sum Test","February",0.26566958415121,0.355324828430527,"ns"
"23","February - September","PWY-6121","Wilcoxon Rank Sum Test","September",0.00681173719267675,0.0158940534495791,"*"
"24","February - September","PWY4FS-7","Wilcoxon Rank Sum Test","September",0.000857938669218788,0.00273626593318891,"**"
"25","February - September","PWY4FS-8","Wilcoxon Rank Sum Test","September",0.000857938669218788,0.00273626593318891,"**"
"26","February - September","PWY-3001","Wilcoxon Rank Sum Test","September",0.00555959049699795,0.0133183079016973,"*"
"27","February - September","PWY-5103","Wilcoxon Rank Sum Test","September",7.17414232019159e-05,0.000342200239874625,"***"
