"","Comparison","Taxa","kw.ep","kw.eBH","glm.ep","glm.eBH","P.adj","Significance","Method"
"PWY0-1586|PWY0-1586","ColaDeBallena - EsteroZacatecas","PWY0-1586|PWY0-1586",0.145187044455651,0.320863423679075,0.0556564894918659,0.162441662800075,0.320863423679075,"","ALDEx2_kw"
"PWY66-389|PWY66-389","ColaDeBallena - EsteroZacatecas","PWY66-389|PWY66-389",0.267479512121548,0.447933803981328,0.155453534163584,0.295163463478506,0.447933803981328,"","ALDEx2_kw"
"PWY-7094|PWY-7094","ColaDeBallena - EsteroZacatecas","PWY-7094|PWY-7094",0.903065369116865,0.930817851785747,0.841313972861356,0.896706994247447,0.930817851785747,"","ALDEx2_kw"
"PWY-7663|PWY-7663","ColaDeBallena - EsteroZacatecas","PWY-7663|PWY-7663",0.00890854002444934,0.0534957477394952,0.00255310904632998,0.0164165499306623,0.0534957477394952,"","ALDEx2_kw"
"PWY-5973|PWY-5973","ColaDeBallena - EsteroZacatecas","PWY-5973|PWY-5973",0.0103323198780765,0.0594870797583418,0.00366667631914224,0.021633600014593,0.0594870797583418,"","ALDEx2_kw"
"VALSYN-PWY|VALSYN-PWY","ColaDeBallena - EsteroZacatecas","VALSYN-PWY|VALSYN-PWY",0.438101062762134,0.596210859098544,0.409595215830904,0.555738965142636,0.596210859098544,"","ALDEx2_kw"
"PWY-1042|PWY-1042","ColaDeBallena - EsteroZacatecas","PWY-1042|PWY-1042",0.140906306007446,0.317686796291803,0.132191559414517,0.267560480261699,0.317686796291803,"","ALDEx2_kw"
"PWY-5136|PWY-5136","ColaDeBallena - EsteroZacatecas","PWY-5136|PWY-5136",0.880218200861964,0.916832102478421,0.899047822826633,0.934132115637902,0.916832102478421,"","ALDEx2_kw"
"ILEUSYN-PWY|ILEUSYN-PWY","ColaDeBallena - EsteroZacatecas","ILEUSYN-PWY|ILEUSYN-PWY",0.329475985708994,0.50166996681225,0.242280128217922,0.395165602531444,0.50166996681225,"","ALDEx2_kw"
"PWY-5667|PWY-5667","ColaDeBallena - EsteroZacatecas","PWY-5667|PWY-5667",0.188593161603509,0.367384290027307,0.145816700310781,0.283054169423537,0.367384290027307,"","ALDEx2_kw"
"PWY0-1319|PWY0-1319","ColaDeBallena - EsteroZacatecas","PWY0-1319|PWY0-1319",0.190572999901314,0.369715911572163,0.145796051813233,0.282618258325793,0.369715911572163,"","ALDEx2_kw"
"PWY-5695|PWY-5695","ColaDeBallena - EsteroZacatecas","PWY-5695|PWY-5695",0.498111594228299,0.642347561367731,0.464515443391543,0.604256306879423,0.642347561367731,"","ALDEx2_kw"
"SER-GLYSYN-PWY|SER-GLYSYN-PWY","ColaDeBallena - EsteroZacatecas","SER-GLYSYN-PWY|SER-GLYSYN-PWY",0.129668687795992,0.304339590587673,0.0770905555233095,0.194346271135249,0.304339590587673,"","ALDEx2_kw"
"PHOSLIPSYN-PWY|PHOSLIPSYN-PWY","ColaDeBallena - EsteroZacatecas","PHOSLIPSYN-PWY|PHOSLIPSYN-PWY",0.346929495398248,0.516889197065225,0.346998782920104,0.500576863654213,0.516889197065225,"","ALDEx2_kw"
"NONOXIPENT-PWY|NONOXIPENT-PWY","ColaDeBallena - EsteroZacatecas","NONOXIPENT-PWY|NONOXIPENT-PWY",0.0637575092548813,0.206230106127157,0.0268113297914187,0.100879448588887,0.206230106127157,"","ALDEx2_kw"
"PWY-5659|PWY-5659","ColaDeBallena - EsteroZacatecas","PWY-5659|PWY-5659",0.218920464210402,0.398821489389857,0.211569378213687,0.359884320464322,0.398821489389857,"","ALDEx2_kw"
"PWY-6122|PWY-6122","ColaDeBallena - EsteroZacatecas","PWY-6122|PWY-6122",0.343779500760811,0.513912312648736,0.284563484351036,0.442766214752416,0.513912312648736,"","ALDEx2_kw"
"PWY-6277|PWY-6277","ColaDeBallena - EsteroZacatecas","PWY-6277|PWY-6277",0.338056967427469,0.509478578269556,0.282115008373368,0.440450304898741,0.509478578269556,"","ALDEx2_kw"
"SALVADEHYPOX-PWY|SALVADEHYPOX-PWY","ColaDeBallena - EsteroZacatecas","SALVADEHYPOX-PWY|SALVADEHYPOX-PWY",0.537379133579882,0.672990822114945,0.439493841998722,0.581709913232586,0.672990822114945,"","ALDEx2_kw"
"PWY-7111|PWY-7111","ColaDeBallena - EsteroZacatecas","PWY-7111|PWY-7111",0.253965540284657,0.433850651587127,0.168142896323923,0.309955460148078,0.433850651587127,"","ALDEx2_kw"
"PWY-8178|PWY-8178","ColaDeBallena - EsteroZacatecas","PWY-8178|PWY-8178",0.0720650407193872,0.221734924660535,0.0359188601723479,0.121981823293119,0.221734924660535,"","ALDEx2_kw"
"PWY-6969|PWY-6969","ColaDeBallena - EsteroZacatecas","PWY-6969|PWY-6969",0.433217624131446,0.588745445619378,0.54903210566829,0.670717298449086,0.588745445619378,"","ALDEx2_kw"
"PWY-6121|PWY-6121","ColaDeBallena - EsteroZacatecas","PWY-6121|PWY-6121",0.254116141462332,0.434205961638283,0.18063338291306,0.324992190003881,0.434205961638283,"","ALDEx2_kw"
"PWY4FS-7|PWY4FS-7","ColaDeBallena - EsteroZacatecas","PWY4FS-7|PWY4FS-7",0.347291020316828,0.516684707206078,0.334104511081445,0.489014509649531,0.516684707206078,"","ALDEx2_kw"
"PWY4FS-8|PWY4FS-8","ColaDeBallena - EsteroZacatecas","PWY4FS-8|PWY4FS-8",0.352150378961131,0.521203859605707,0.334384305696748,0.489339655561062,0.521203859605707,"","ALDEx2_kw"
"PWY-3001|PWY-3001","ColaDeBallena - EsteroZacatecas","PWY-3001|PWY-3001",0.217428682913382,0.397123747439118,0.134770361446025,0.270858170265596,0.397123747439118,"","ALDEx2_kw"
"PWY-5103|PWY-5103","ColaDeBallena - EsteroZacatecas","PWY-5103|PWY-5103",0.268191440136922,0.446917691995009,0.182375873211244,0.327087934461234,0.446917691995009,"","ALDEx2_kw"
"PWY-7977|PWY-7977","ColaDeBallena - EsteroZacatecas","PWY-7977|PWY-7977",0.186797374152247,0.365498003059314,0.102485568925774,0.231285325839574,0.365498003059314,"","ALDEx2_kw"
"THRESYN-PWY|THRESYN-PWY","ColaDeBallena - EsteroZacatecas","THRESYN-PWY|THRESYN-PWY",0.206112950974418,0.385001199456787,0.122019440713105,0.256171091918568,0.385001199456787,"","ALDEx2_kw"
"PWY-5686|PWY-5686","ColaDeBallena - EsteroZacatecas","PWY-5686|PWY-5686",0.103093625328815,0.271835816744049,0.0428307007314918,0.136579762957282,0.271835816744049,"","ALDEx2_kw"
