"","Comparison","Taxa","logFC","logCPM","P.unadj","P.adj","Significance","Method"
"1","ColaDeBallena - EsteroZacatecas","PWY-1422|PWY-1422",3.39473173082486,8.4606032272185,4.7163496261735e-25,2.54211244850752e-22,"***","edgeR"
"2","ColaDeBallena - EsteroZacatecas","PWY-7436|PWY-7436",3.51020484609814,7.99315919874872,3.297967138807e-23,8.88802143908485e-21,"***","edgeR"
"3","ColaDeBallena - EsteroZacatecas","PWY-7377|PWY-7377",2.73899909877569,9.1131266126496,5.78015666060076e-22,1.03850148002127e-19,"***","edgeR"
"4","ColaDeBallena - EsteroZacatecas","PWY-5873|PWY-5873",16.4820720139247,10.3467582559653,6.33444381322982e-17,7.92770376272832e-15,"***","edgeR"
"5","ColaDeBallena - EsteroZacatecas","PWY66-201|PWY66-201",5.89649958710888,8.3344063701571,7.3540851231246e-17,7.92770376272832e-15,"***","edgeR"
"6","ColaDeBallena - EsteroZacatecas","SUCSYN-PWY|SUCSYN-PWY",2.90655920242322,9.18773292975304,9.02998244404553e-16,8.1119342289009e-14,"***","edgeR"
"7","ColaDeBallena - EsteroZacatecas","PWY-6629|PWY-6629",-8.20164532624107,2.20938659298483,1.87474331684239e-15,1.44355235396864e-13,"***","edgeR"
"8","ColaDeBallena - EsteroZacatecas","PWY-7347|PWY-7347",2.97870535812769,8.24849368641324,1.94319869554304e-14,1.30923012112212e-12,"***","edgeR"
"9","ColaDeBallena - EsteroZacatecas","TRPSYN-PWY|TRPSYN-PWY",-7.10765365444731,1.26312369919846,1.41474416574415e-12,8.4727456148455e-11,"***","edgeR"
"10","ColaDeBallena - EsteroZacatecas","DTDPRHAMSYN-PWY|DTDPRHAMSYN-PWY",0.262371505985193,12.4313081477996,2.46996863264439e-10,1.33131309299533e-08,"***","edgeR"
"11","ColaDeBallena - EsteroZacatecas","PWY-7579|PWY-7579",2.45083371724191,6.15540265527936,1.07768712084529e-09,5.28066689214194e-08,"***","edgeR"
"12","ColaDeBallena - EsteroZacatecas","GLUCOSE1PMETAB-PWY|GLUCOSE1PMETAB-PWY",-0.247626643785459,12.2809774914934,2.35602121194495e-09,1.05824619436527e-07,"***","edgeR"
"13","ColaDeBallena - EsteroZacatecas","PWY-6731|PWY-6731",0.589261784006013,10.8781323067163,3.16497289647741e-08,1.31224645477025e-06,"***","edgeR"
"14","ColaDeBallena - EsteroZacatecas","PWY-5862|PWY-5862",0.571665846657744,10.9407679596688,1.10441844119218e-07,4.12063078056624e-06,"***","edgeR"
"15","ColaDeBallena - EsteroZacatecas","PWY-5860|PWY-5860",0.57166580323946,10.9407679596688,1.26164570669084e-07,4.12063078056624e-06,"***","edgeR"
"16","ColaDeBallena - EsteroZacatecas","PWY-5896|PWY-5896",0.492347814680562,11.2706724381507,1.30064249384235e-07,4.12063078056624e-06,"***","edgeR"
"17","ColaDeBallena - EsteroZacatecas","PWY-6313|PWY-6313",0.796783725021616,11.1866517803332,1.31184593461355e-07,4.12063078056624e-06,"***","edgeR"
"18","ColaDeBallena - EsteroZacatecas","PWY-5850|PWY-5850",0.492347795822679,11.2706724381507,1.37609191187741e-07,4.12063078056624e-06,"***","edgeR"
"19","ColaDeBallena - EsteroZacatecas","PWY-5845|PWY-5845",0.492347737942747,11.2706724381507,1.63618554458235e-07,4.64160004489415e-06,"***","edgeR"
"20","ColaDeBallena - EsteroZacatecas","PWY-5837|PWY-5837",0.588809928937596,10.8492971351491,2.98959943446962e-07,8.05697047589564e-06,"***","edgeR"
"21","ColaDeBallena - EsteroZacatecas","PWY-7431|PWY-7431",0.854535486681229,10.7241557191147,4.56684336621789e-07,1.12565628602618e-05,"***","edgeR"
"22","ColaDeBallena - EsteroZacatecas","PWY-3481|PWY-3481",2.08077057625044,6.28162236067154,4.59451545316809e-07,1.12565628602618e-05,"***","edgeR"
"23","ColaDeBallena - EsteroZacatecas","NADSYN-PWY|NADSYN-PWY",0.800780766888668,10.2321936144612,7.50005520066966e-07,1.75762163180911e-05,"***","edgeR"
"24","ColaDeBallena - EsteroZacatecas","PWY-5651|PWY-5651",0.913576832123362,9.75932165186043,1.44864643859973e-06,3.25341846002189e-05,"***","edgeR"
"25","ColaDeBallena - EsteroZacatecas","PWY-5899|PWY-5899",0.386912607530844,11.4161894876892,2.969649004998e-06,6.40256325477569e-05,"***","edgeR"
"26","ColaDeBallena - EsteroZacatecas","PWY-5898|PWY-5898",0.386912571256507,11.4161894876892,3.1769074353698e-06,6.58597349101661e-05,"***","edgeR"
"27","ColaDeBallena - EsteroZacatecas","PWY-5897|PWY-5897",0.386912531516769,11.4161894876892,3.42066914522331e-06,6.82866914546432e-05,"***","edgeR"
"28","ColaDeBallena - EsteroZacatecas","PWY-5861|PWY-5861",0.421520120151948,11.1604911825623,4.44955991386982e-06,8.56540283419941e-05,"***","edgeR"
"29","ColaDeBallena - EsteroZacatecas","PWY-5838|PWY-5838",0.358550594523297,11.4567731016974,5.225248782367e-06,9.7117554955028e-05,"***","edgeR"
"30","ColaDeBallena - EsteroZacatecas","PWY66-367|PWY66-367",-0.92880830706012,8.26489427625584,1.16743325571353e-05,0.000209748841609864,"***","edgeR"
"31","ColaDeBallena - EsteroZacatecas","PWY0-1533|PWY0-1533",0.743723638692201,10.1100673543258,1.54005035703486e-05,0.000267770045948965,"***","edgeR"
"32","ColaDeBallena - EsteroZacatecas","PCPDEG-PWY|PCPDEG-PWY",-2.31938893564243,4.64476384245719,1.8303030066822e-05,0.000308291662688033,"***","edgeR"
"33","ColaDeBallena - EsteroZacatecas","PWY-7340|PWY-7340",2.02092996728002,4.98967426761071,2.13165035984839e-05,0.000348169558775237,"***","edgeR"
"34","ColaDeBallena - EsteroZacatecas","PWY-7338|PWY-7338",2.03851351331105,4.78483346796614,2.37781553713418e-05,0.000366369803923287,"***","edgeR"
"35","ColaDeBallena - EsteroZacatecas","PWY-7337|PWY-7337",2.03851436063559,4.78483346796614,2.42630121251994e-05,0.000366369803923287,"***","edgeR"
"36","ColaDeBallena - EsteroZacatecas","P42-PWY|P42-PWY",-0.174889960325144,12.382009630596,2.44699683510915e-05,0.000366369803923287,"***","edgeR"
"37","ColaDeBallena - EsteroZacatecas","FAO-PWY|FAO-PWY",-0.217476269445718,12.2854468428347,3.60255375469817e-05,0.000524804452373598,"***","edgeR"
"38","ColaDeBallena - EsteroZacatecas","PWY-6588|PWY-6588",-1.07740127044976,7.75570477541473,4.46078143260899e-05,0.000632726629520064,"***","edgeR"
"39","ColaDeBallena - EsteroZacatecas","PWY-5104|PWY-5104",-1.68533283540759,8.68929442674548,6.01793737647689e-05,0.000831709806646421,"***","edgeR"
"40","ColaDeBallena - EsteroZacatecas","PWY-7052|PWY-7052",0.732196459722916,10.0372480128208,6.42732290924436e-05,0.000866081762020677,"***","edgeR"
"41","ColaDeBallena - EsteroZacatecas","PWY-6609|PWY-6609",-0.207207705348774,12.0365418202785,7.07632900983519e-05,0.000930278374707602,"***","edgeR"
"42","ColaDeBallena - EsteroZacatecas","PWY-6435|PWY-6435",-0.6549293240964,9.86224442123012,9.05394078782819e-05,0.00116192240110462,"**","edgeR"
"43","ColaDeBallena - EsteroZacatecas","PWY-7315|PWY-7315",0.798216982005433,9.11670753690239,9.90034632165721e-05,0.00124099689938912,"**","edgeR"
"44","ColaDeBallena - EsteroZacatecas","PWY-5823|PWY-5823",-4.51233293733757,3.28740876097693,0.000161778708853986,0.00198178918346133,"**","edgeR"
"45","ColaDeBallena - EsteroZacatecas","PWY-5136|PWY-5136",-0.161621258641363,12.6376756350602,0.000202359091722178,0.00238084559732929,"**","edgeR"
"46","ColaDeBallena - EsteroZacatecas","NAD-BIOSYNTHESIS-II|NAD-BIOSYNTHESIS-II",-2.16481168340941,4.694192857724,0.000203189049122722,0.00238084559732929,"**","edgeR"
"47","ColaDeBallena - EsteroZacatecas","PWY-801|PWY-801",0.335753599270081,11.4409768718507,0.000209610042339924,0.00239205469877279,"**","edgeR"
"48","ColaDeBallena - EsteroZacatecas","PWY-7094|PWY-7094",-0.174372449067187,12.845721953993,0.000213021568721881,0.00239205469877279,"**","edgeR"
"49","ColaDeBallena - EsteroZacatecas","PWY-1882|PWY-1882",-1.52723850624067,5.04151719950896,0.000223922292639369,0.00246314521903306,"**","edgeR"
"50","ColaDeBallena - EsteroZacatecas","PWY0-1261|PWY0-1261",0.305700960254724,11.6409888729996,0.000248542664083435,0.00267928991881943,"**","edgeR"
"51","ColaDeBallena - EsteroZacatecas","PWY-6349|PWY-6349",-1.39593510302371,5.93312346274928,0.000318803952231553,0.00336932020103543,"**","edgeR"
"52","ColaDeBallena - EsteroZacatecas","GLYCOGENSYNTH-PWY|GLYCOGENSYNTH-PWY",0.148425329352259,12.0836677928374,0.000346614291693427,0.00359279044659148,"**","edgeR"
"53","ColaDeBallena - EsteroZacatecas","PWY-7290|PWY-7290",6.10138446276595,0.49204098470474,0.000384896981882304,0.00386045463156021,"**","edgeR"
"54","ColaDeBallena - EsteroZacatecas","PWY-6293|PWY-6293",0.249385519270607,11.5388546841185,0.000386761688505104,0.00386045463156021,"**","edgeR"
"55","ColaDeBallena - EsteroZacatecas","PWY-5840|PWY-5840",0.312987604163645,11.354620347152,0.000433784751793036,0.00425109056757175,"**","edgeR"
"56","ColaDeBallena - EsteroZacatecas","CARNMET-PWY|CARNMET-PWY",-1.26690456740613,6.1589082407935,0.000506716373636253,0.00484861325117377,"**","edgeR"
"57","ColaDeBallena - EsteroZacatecas","HEME-BIOSYNTHESIS-II|HEME-BIOSYNTHESIS-II",0.223947805164931,11.679834722579,0.000512747597990547,0.00484861325117377,"**","edgeR"
"58","ColaDeBallena - EsteroZacatecas","PWY-6344|PWY-6344",-3.06479134658215,4.12205492108865,0.000524119158768456,0.00487069356165858,"**","edgeR"
"59","ColaDeBallena - EsteroZacatecas","PWY-7072|PWY-7072",-0.871412112980232,7.80117372886472,0.000558861791592667,0.00510553399438047,"**","edgeR"
"60","ColaDeBallena - EsteroZacatecas","PWY1ZNC-1|PWY1ZNC-1",0.142603317491576,12.236558066931,0.000583047961314446,0.00518983643728239,"**","edgeR"
"61","ColaDeBallena - EsteroZacatecas","HEME-BIOSYNTHESIS-II-1|HEME-BIOSYNTHESIS-II-1",0.223948375506814,11.679834722579,0.000587346980842719,0.00518983643728239,"**","edgeR"
"62","ColaDeBallena - EsteroZacatecas","PWY-7024|PWY-7024",6.17529458133837,0.545891399219399,0.000602436603464525,0.00523731176237708,"**","edgeR"
"63","ColaDeBallena - EsteroZacatecas","PWY-5138|PWY-5138",-0.527641175305958,10.7540791520622,0.000619297743441736,0.00529843624944596,"**","edgeR"
"64","ColaDeBallena - EsteroZacatecas","PWY-4702|PWY-4702",3.82047371420472,0.814134686865502,0.000730792792517905,0.00611044028986992,"**","edgeR"
"65","ColaDeBallena - EsteroZacatecas","PWY-5744|PWY-5744",5.98564077817624,0.415674091518784,0.000736880554437003,0.00611044028986992,"**","edgeR"
"66","ColaDeBallena - EsteroZacatecas","P381-PWY|P381-PWY",-1.29125604471086,8.02415740320074,0.000754949670412638,0.00616542230836988,"**","edgeR"
"67","ColaDeBallena - EsteroZacatecas","PWY-6947|PWY-6947",-2.93960016087075,3.44567748816607,0.000773878388508683,0.0062239241897992,"**","edgeR"
"68","ColaDeBallena - EsteroZacatecas","PWY-6928|PWY-6928",-2.93959432627143,3.44567748816607,0.000785207504464463,0.0062239241897992,"**","edgeR"
"69","ColaDeBallena - EsteroZacatecas","PWY-5723|PWY-5723",0.503659402301238,11.33329668272,0.000811776765357643,0.0063412706743155,"**","edgeR"
"70","ColaDeBallena - EsteroZacatecas","PWY-8190|PWY-8190",-5.7466553673066,0.255784053181976,0.000835465310113987,0.0064330828878777,"**","edgeR"
"71","ColaDeBallena - EsteroZacatecas","PWY-5517|PWY-5517",-1.02877436929502,7.6479206093365,0.000901428234366647,0.0068432368777975,"**","edgeR"
"72","ColaDeBallena - EsteroZacatecas","SO4ASSIM-PWY|SO4ASSIM-PWY",0.136089884691142,12.2396581211725,0.00102944423801963,0.00764570520889971,"**","edgeR"
"73","ColaDeBallena - EsteroZacatecas","PWY-5743|PWY-5743",5.7301721570849,0.249178018920113,0.00103550367393261,0.00764570520889971,"**","edgeR"
"74","ColaDeBallena - EsteroZacatecas","GLCMANNANAUT-PWY|GLCMANNANAUT-PWY",0.973609898575372,8.10496054337372,0.00105890971198277,0.00771286938863123,"**","edgeR"
"75","ColaDeBallena - EsteroZacatecas","PWY-7373|PWY-7373",-1.91173631550177,6.59713728565949,0.00107790908565926,0.00774657329560452,"**","edgeR"
"76","ColaDeBallena - EsteroZacatecas","PWY-5494|PWY-5494",-5.43559658339338,0.0668131544715184,0.00123602182220577,0.00876599687064354,"**","edgeR"
"77","ColaDeBallena - EsteroZacatecas","PWY-7323|PWY-7323",0.133652178041844,12.1386394505393,0.00127207701645034,0.00883688305062657,"**","edgeR"
"78","ColaDeBallena - EsteroZacatecas","PWY-4722|PWY-4722",-5.02631550996682,1.492096474897,0.00127880682365282,0.00883688305062657,"**","edgeR"
