"","Comparison","Taxa","baseMean","log2FoldChange","lfcSE","stat","P.unadj","P.adj","reject","df","Significance","Method"
"PWY0-1586|PWY0-1586","EsteroZacatecas - ColaDeBallena","PWY0-1586|PWY0-1586",15913.2665110099,0.0644056969492267,0.100874995355315,0.638470383293386,0.529758618711939,0.806609874253489,FALSE,22,"","linda"
"PWY66-389|PWY66-389","EsteroZacatecas - ColaDeBallena","PWY66-389|PWY66-389",11382.1336020889,0.0280422585090159,0.117845566496967,0.237957687697463,0.814116171957992,0.964211708919968,FALSE,22,"","linda"
"PWY-7094|PWY-7094","EsteroZacatecas - ColaDeBallena","PWY-7094|PWY-7094",7972.70022194605,-0.182493046570964,0.124661267280825,-1.46391136999964,0.157361437973481,0.385535523035027,FALSE,22,"","linda"
"PWY-7663|PWY-7663","EsteroZacatecas - ColaDeBallena","PWY-7663|PWY-7663",7270.77884559997,0.0763819440600447,0.0619249923317261,1.2334590798312,0.230421119323294,0.503516427113606,FALSE,22,"","linda"
"PWY-5973|PWY-5973","EsteroZacatecas - ColaDeBallena","PWY-5973|PWY-5973",7287.09290027196,0.0531407168602948,0.0564504027773399,0.941370021218456,0.35673806794752,0.657385313012163,FALSE,22,"","linda"
"VALSYN-PWY|VALSYN-PWY","EsteroZacatecas - ColaDeBallena","VALSYN-PWY|VALSYN-PWY",7142.88395461787,-0.0490189154626754,0.118006823080906,-0.415390518809813,0.681879522502421,0.894241028293929,FALSE,22,"","linda"
"PWY-1042|PWY-1042","EsteroZacatecas - ColaDeBallena","PWY-1042|PWY-1042",6746.0045455356,-0.0117394592761815,0.0814249389764675,-0.144175229650148,0.886674668419978,0.984611207914144,FALSE,22,"","linda"
"PWY-5136|PWY-5136","EsteroZacatecas - ColaDeBallena","PWY-5136|PWY-5136",6874.00538125504,-0.168208046177893,0.120159493390028,-1.39987313055577,0.175495626777077,0.413066125907619,FALSE,22,"","linda"
"ILEUSYN-PWY|ILEUSYN-PWY","EsteroZacatecas - ColaDeBallena","ILEUSYN-PWY|ILEUSYN-PWY",6540.15993206867,-0.0165758453620262,0.105496412401583,-0.157122360701031,0.876581499813765,0.976193033883511,FALSE,22,"","linda"
"PWY-5667|PWY-5667","EsteroZacatecas - ColaDeBallena","PWY-5667|PWY-5667",6512.55057743438,-0.0151132882996415,0.0805912579185206,-0.187530120387516,0.852963827461864,0.967109362429749,FALSE,22,"","linda"
"PWY0-1319|PWY0-1319","EsteroZacatecas - ColaDeBallena","PWY0-1319|PWY0-1319",6512.55057743438,-0.0151132882996415,0.0805912579185206,-0.187530120387516,0.852963827461864,0.967109362429749,FALSE,22,"","linda"
"PWY-5695|PWY-5695","EsteroZacatecas - ColaDeBallena","PWY-5695|PWY-5695",6546.17253977502,-0.0498259030945104,0.132693220993846,-0.375496975062662,0.710887010179337,0.905768005777329,FALSE,22,"","linda"
"SER-GLYSYN-PWY|SER-GLYSYN-PWY","EsteroZacatecas - ColaDeBallena","SER-GLYSYN-PWY|SER-GLYSYN-PWY",6365.56260867573,0.0149246333837674,0.0801962778671093,0.18610132266361,0.854070605782116,0.967109362429749,FALSE,22,"","linda"
"PHOSLIPSYN-PWY|PHOSLIPSYN-PWY","EsteroZacatecas - ColaDeBallena","PHOSLIPSYN-PWY|PHOSLIPSYN-PWY",6400.29454917516,-0.0484556670583131,0.10101311892627,-0.479696771799326,0.636177549826456,0.8689532446921,FALSE,22,"","linda"
"NONOXIPENT-PWY|NONOXIPENT-PWY","EsteroZacatecas - ColaDeBallena","NONOXIPENT-PWY|NONOXIPENT-PWY",6142.50590018539,0.0653094074266507,0.0827558629322689,0.789181637560868,0.438428731612875,0.728518677046738,FALSE,22,"","linda"
"PWY-5659|PWY-5659","EsteroZacatecas - ColaDeBallena","PWY-5659|PWY-5659",6183.67813346302,-0.00504970342397629,0.104967276257858,-0.048107406460385,0.962064707293609,0.991496897191693,FALSE,22,"","linda"
"PWY-6122|PWY-6122","EsteroZacatecas - ColaDeBallena","PWY-6122|PWY-6122",6143.8579232607,-0.0250144930693068,0.109214625521669,-0.229039773288825,0.820953814950762,0.965351652685897,FALSE,22,"","linda"
"PWY-6277|PWY-6277","EsteroZacatecas - ColaDeBallena","PWY-6277|PWY-6277",6143.8579232607,-0.0250144930693068,0.109214625521669,-0.229039773288825,0.820953814950762,0.965351652685897,FALSE,22,"","linda"
"SALVADEHYPOX-PWY|SALVADEHYPOX-PWY","EsteroZacatecas - ColaDeBallena","SALVADEHYPOX-PWY|SALVADEHYPOX-PWY",6158.81725107205,-0.0521667071240609,0.122104636601111,-0.42722953506244,0.673364502125135,0.889567320209431,FALSE,22,"","linda"
