"","Comparison","Taxa","logFC","se","P.unadj","P.adj","Significance","Method"
"1","ColaDeBallena - EsteroZacatecas","PWY-6629|PWY-6629",-3.21910224840008,0.349030995188925,0,0,"***","metagenomeSeq"
"2","ColaDeBallena - EsteroZacatecas","TRPSYN-PWY|TRPSYN-PWY",-2.56835666647982,0.30123656003301,0,0,"***","metagenomeSeq"
"3","ColaDeBallena - EsteroZacatecas","PWY-5873|PWY-5873",6.46606762325951,1.29996184202667,6.55703578544831e-07,0.000117370940559525,"***","metagenomeSeq"
"4","ColaDeBallena - EsteroZacatecas","PWY-1422|PWY-1422",2.16407743058866,0.486818573249102,8.77501586726837e-06,0.00112932738217864,"**","metagenomeSeq"
"5","ColaDeBallena - EsteroZacatecas","PWY-7377|PWY-7377",1.77941531068172,0.40383439467901,1.05151525342517e-05,0.00112932738217864,"**","metagenomeSeq"
"6","ColaDeBallena - EsteroZacatecas","PWY-7436|PWY-7436",2.21852510657541,0.50818079554972,1.2676170322079e-05,0.00113451724382607,"**","metagenomeSeq"
"7","ColaDeBallena - EsteroZacatecas","PWY-762|PWY-762",1.63782470689739,0.45669267662042,0.000335437537338334,0.0257328510786694,"*","metagenomeSeq"
"8","ColaDeBallena - EsteroZacatecas","PWY-5823|PWY-5823",-2.97564100491426,0.884994384995001,0.000772883838162874,0.0462104138150775,"*","metagenomeSeq"
"9","ColaDeBallena - EsteroZacatecas","PWY66-201|PWY66-201",3.54469596420588,1.05441696376282,0.000774476209191244,0.0462104138150775,"*","metagenomeSeq"
"10","ColaDeBallena - EsteroZacatecas","SUCSYN-PWY|SUCSYN-PWY",1.87974232096455,0.607787766605083,0.00198303747713546,0.106489112522174,"","metagenomeSeq"
"11","ColaDeBallena - EsteroZacatecas","PWY-7579|PWY-7579",1.68705914575544,0.55117726592982,0.00220725400925437,0.10775412754269,"","metagenomeSeq"
"12","ColaDeBallena - EsteroZacatecas","PWY-7347|PWY-7347",1.899322014965,0.629626862133958,0.00255640783462119,0.109267071878598,"","metagenomeSeq"
"13","ColaDeBallena - EsteroZacatecas","PWY-6344|PWY-6344",-1.32449093512509,0.44058390141762,0.00264519913300143,0.109267071878598,"","metagenomeSeq"
"14","ColaDeBallena - EsteroZacatecas","TRIGLSYN-PWY|TRIGLSYN-PWY",-1.40865217978676,0.503719702978244,0.00516594013197236,0.171594021243119,"","metagenomeSeq"
"15","ColaDeBallena - EsteroZacatecas","PWY-5837|PWY-5837",0.386195916939475,0.13853147602908,0.00530698151244047,0.171594021243119,"","metagenomeSeq"
"16","ColaDeBallena - EsteroZacatecas","PWY-5860|PWY-5860",0.371414043933579,0.133591615449614,0.00543221296300378,0.171594021243119,"","metagenomeSeq"
"17","ColaDeBallena - EsteroZacatecas","PWY-5862|PWY-5862",0.371414043933579,0.133591615449614,0.00543221296300378,0.171594021243119,"","metagenomeSeq"
"18","ColaDeBallena - EsteroZacatecas","PWY66-367|PWY66-367",-0.629234849821655,0.231697166065935,0.00661230107547151,0.192013636792505,"","metagenomeSeq"
"19","ColaDeBallena - EsteroZacatecas","PWY-5067|PWY-5067",-1.05076615726995,0.388196807417129,0.00679377858297503,0.192013636792505,"","metagenomeSeq"
"20","ColaDeBallena - EsteroZacatecas","PWY-7420|PWY-7420",-0.90827693293794,0.343278513230733,0.00814764834305293,0.218764358010971,"","metagenomeSeq"
"21","ColaDeBallena - EsteroZacatecas","PWY-7290|PWY-7290",1.10365320876764,0.427479449872623,0.00982953425739153,0.251355233153298,"","metagenomeSeq"
"22","ColaDeBallena - EsteroZacatecas","PWY-5845|PWY-5845",0.317405913488503,0.127832156775189,0.0130284897966872,0.285889661127123,"","metagenomeSeq"
"23","ColaDeBallena - EsteroZacatecas","PWY-5850|PWY-5850",0.317405913488503,0.127832156775189,0.0130284897966872,0.285889661127123,"","metagenomeSeq"
"24","ColaDeBallena - EsteroZacatecas","PWY-5896|PWY-5896",0.317405913488503,0.127832156775189,0.0130284897966872,0.285889661127123,"","metagenomeSeq"
