"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"1","ColaDeBallena - EsteroZacatecas","PWY0-1586","Wilcoxon Rank Sum Test","EsteroZacatecas",0.00829316060168126,0.0410092987551028,"*"
"2","ColaDeBallena - EsteroZacatecas","PWY66-389","Wilcoxon Rank Sum Test","ColaDeBallena",0.798745338656498,0.88403231526869,"ns"
"3","ColaDeBallena - EsteroZacatecas","PWY-7663","Wilcoxon Rank Sum Test","ColaDeBallena",0.37768531105454,0.541415911325524,"ns"
"4","ColaDeBallena - EsteroZacatecas","PWY-7094","Wilcoxon Rank Sum Test","ColaDeBallena",0.00451305324101124,0.0250776875969594,"*"
"5","ColaDeBallena - EsteroZacatecas","PWY-5973","Wilcoxon Rank Sum Test","ColaDeBallena",0.409510398068751,0.568881712781073,"ns"
"6","ColaDeBallena - EsteroZacatecas","VALSYN-PWY","Wilcoxon Rank Sum Test","ColaDeBallena",0.0887337860685552,0.213515672727461,"ns"
"7","ColaDeBallena - EsteroZacatecas","PWY-1042","Wilcoxon Rank Sum Test","ColaDeBallena",0.409510398068751,0.568881712781073,"ns"
"8","ColaDeBallena - EsteroZacatecas","PWY-5136","Wilcoxon Rank Sum Test","ColaDeBallena",0.00681173719267675,0.034637041008045,"*"
"9","ColaDeBallena - EsteroZacatecas","ILEUSYN-PWY","Wilcoxon Rank Sum Test","ColaDeBallena",0.589875732021377,0.739402371068657,"ns"
"10","ColaDeBallena - EsteroZacatecas","PWY-5667","Wilcoxon Rank Sum Test","ColaDeBallena",0.26566958415121,0.447487205804695,"ns"
"11","ColaDeBallena - EsteroZacatecas","PWY0-1319","Wilcoxon Rank Sum Test","ColaDeBallena",0.26566958415121,0.447487205804695,"ns"
"12","ColaDeBallena - EsteroZacatecas","PWY-5695","Wilcoxon Rank Sum Test","ColaDeBallena",0.589875732021377,0.739402371068657,"ns"
"13","ColaDeBallena - EsteroZacatecas","SER-GLYSYN-PWY","Wilcoxon Rank Sum Test","EsteroZacatecas",0.318585170382182,0.499178508244175,"ns"
"14","ColaDeBallena - EsteroZacatecas","PHOSLIPSYN-PWY","Wilcoxon Rank Sum Test","ColaDeBallena",0.0780243447493414,0.194845044582158,"ns"
"15","ColaDeBallena - EsteroZacatecas","NONOXIPENT-PWY","Wilcoxon Rank Sum Test","EsteroZacatecas",0.00143260965713517,0.00989970006661351,"**"
"16","ColaDeBallena - EsteroZacatecas","PWY-5659","Wilcoxon Rank Sum Test","ColaDeBallena",0.977402191293698,0.98840484260282,"ns"
