"","FCBAG1","FCBAG2","FCBAG3","FCBAG4","FCBAG5","FCBAG6","FEZAG1","FEZAG2","FEZAG3","FEZAG4","FEZAG5","FEZAG6","SCBAG1","SCBAG2","SCBAG3","SCBAG4","SCBAG5","SCBAG6","SEZAG1","SEZAG2","SEZAG3","SEZAG4","SEZAG5","SEZAG6"
"ko00010",14788.295,14363.8508695652,14344.4984782609,14030.3232608696,14312.9810869565,14735.502173913,14015.7113043478,13891.7156521739,14117.0639130435,13383.8963043478,13431.3204347826,13964.5715217391,15281.2519565217,15370.1913043478,14813.9989130435,16151.6697826087,15276.4406521739,15562.682173913,15375.4686956522,15634.6347826087,15285.7330434783,14429.3276086957,16587.9595652174,15735.2473913043
"ko00020",18067.0776,17799.5936,17800.3456,17250.8432,17099.7292,17706.9968,15957.67,17164.7044,16911.1152,16714.718,17044.0016,16162.9468,19178.0272,19069.9584,18770.1884,19654.4064,18654.0616,18916.0156,18424.7484,18866.5872,18254.9432,17741.5152,19698.602,18462.382
"ko00030",10831.5016666667,10589.4247222222,10377.7480555556,10557.3841666667,10425.1127777778,10715.8758333333,11724.6980555556,10290.6894444444,11351.5738888889,10522.4866666667,10050.3969444444,11366.0130555556,11897.7566666667,11481.7466666667,11233.1277777778,11792.4647222222,11351.4961111111,11315.2883333333,11632.0558333333,11799.5488888889,11868.1252777778,10722.5575,12551.8972222222,12044.7827777778
"ko00040",4836.52314285714,4668.97542857143,4712.31685714286,4818.156,4827.60371428571,5366.57342857143,6054.81542857143,4793.29,5706.61828571429,5037.64485714286,4218.88914285714,5648.46885714286,6669.13314285714,6238.69571428571,5861.95514285714,6594.12371428571,6457.46114285714,6345.85657142857,6118.67857142857,6289.13085714286,6165.12342857143,5335.86457142857,6644.19914285714,6291.35371428571
"ko00051",6864.63808510638,6755.15595744681,6626.70744680851,6683.72829787234,6812.08021276596,6851.41212765957,7615.93978723404,6436.35744680851,7303.05021276596,6581.6914893617,5905.57489361702,7379.92,7504.24425531915,7378.78276595745,7194.21617021277,7622.03404255319,7347.99382978723,7283.3314893617,7483.73829787234,7736.15276595745,7849.09680851064,6866.25106382979,8521.7914893617,8022.42170212766
"ko00052",8912.80103448276,8463.24344827586,8640.33793103448,8313.12862068965,8844.41965517241,9351.62655172414,9439.53724137931,8852.22034482759,9328.42448275862,8723.59482758621,8189.23793103448,8975.32,10206.5786206897,9890.44172413793,9204.41448275862,10921.6075862069,10262.5251724138,10549.3668965517,10401.7710344828,10308.3610344828,10014.6193103448,9309.5275862069,10345.2275862069,10303.8065517241
"ko00053",5346.28857142857,5555.20904761905,5562.65619047619,5557.30666666667,5070.12190476191,6014.3480952381,6703.1819047619,5947.6680952381,6704.24285714286,6141.36904761905,5702.75,6554.33047619048,6545.70619047619,6303.66238095238,6191.68428571429,6175.33190476191,6661.07,6094.41,5929.91476190476,6443.6380952381,6559.42380952381,5719.33523809524,7160.32380952381,6453.41142857143
"ko00500",9044.02829268293,8514.35414634146,8653.92463414634,8231.27853658537,8702.8887804878,8915.18585365854,11565.0729268293,9444.37195121951,10621.1946341463,9100.27487804878,8824.50682926829,11374.7336585366,11630.9304878049,11051.2463414634,10153.8,12421.3902439024,11398.9114634146,11788.546097561,11094.0726829268,11337.4692682927,11718.1653658537,9943.60487804878,12243.95,11946.2312195122
"ko00620",14430.3658490566,14157.0335849057,14144.0541509434,13830.5228301887,13600.0533962264,14186.141509434,13461.1201886792,13090.6562264151,13604.5188679245,12860.4352830189,13106.6069811321,13496.0037735849,15529.6988679245,15581.4443396226,15161.5928301887,15669.3583018868,14920.0332075472,15246.7937735849,14927.8875471698,15392.5322641509,15265.1596226415,13975.7326415094,17052.7516981132,15505.1747169811
"ko00630",14974.6211363636,14796.8115909091,14780.1475,14679.3240909091,14074.3961363636,15337.1865909091,14130.6145454545,13547.3522727273,14197.8836363636,13511.0611363636,13558.9790909091,13855.0968181818,17724.5297727273,17248.5772727273,16911.9627272727,17243.5122727273,16576.7513636364,16881.0997727273,15929.1795454545,16791.3940909091,16409.4754545455,14860.1222727273,19009.7636363636,16771.8534090909
"ko00640",10878.3417073171,10654.5243902439,10874.5548780488,10352.6429268293,10355.8414634146,11024.3751219512,9730.37,10254.5663414634,9975.0312195122,9695.65951219512,10308.2553658537,9529.23585365854,12476.712195122,12203.267804878,11816.842195122,12595.3458536585,12137.0192682927,12099.8058536585,11957.7319512195,12206.1919512195,11694.7073170732,11191.5031707317,13472.6209756098,11979.2887804878
"ko00650",10084.4004166667,9913.999375,10230.8445833333,10017.5235416667,9877.79875,10649.6889583333,8389.20833333333,8981.87833333333,8773.109375,8633.355,9018.85354166667,8340.36770833333,11509.190625,11538.12,11234.2225,11470.5325,10969.4914583333,10992.3479166667,10612.0552083333,11073.913125,10545.8929166667,10101.2927083333,12585.3085416667,10758.83
"ko00660",13000.0223076923,12998.2669230769,12832.2338461538,13319.5061538462,12544.6953846154,13305.4746153846,12825.3707692308,11876.3707692308,12788.0223076923,12215.5169230769,11826.6015384615,12926.1315384615,13715.0023076923,13723.6853846154,14057.96,13398.07,13395.9546153846,13296.4015384615,13329.5846153846,13879.69,13658.2815384615,12656.9453846154,14581.4538461538,13897.4161538462
"ko00562",6609.85066666667,6345.07933333333,6889.64866666667,6442.33333333333,6228.47,7248.34333333333,7620.24933333333,5900.89266666667,6916.80866666667,6252.704,5252.52666666667,6890.06066666667,9066.074,8770.19333333333,8318.14533333333,9032.626,8413.19466666667,8807.034,8427.08933333333,8677.34333333333,8948.26466666667,7378.27066666667,10496.63,9321.04933333333
"ko00566",3636.81285714286,3749.78857142857,3686.93285714286,3672.73857142857,3538.45428571429,3825.44714285714,4005.11714285714,3536.71142857143,3775.4,3547.71,3428.06,3693.89714285714,5219.54142857143,4967.86,4505.35571428571,4513.32285714286,4487.76142857143,4667.61714285714,4185.81,4460.49714285714,4457.05285714286,3905.04428571429,5012.27285714286,4540.48285714286
"ko00190",15764.3774074074,15587.4362962963,15913.6135185185,15143.3098148148,14641.8407407407,15800.4853703704,15006.1566666667,14866.5974074074,14975.3183333333,14481.86,14109.8603703704,14862.4598148148,17999.3053703704,17652.0603703704,17137.8162962963,18136.3561111111,17311.6083333333,18200.56,16937.9585185185,17264.7098148148,17221.9561111111,16042.7722222222,17898.4087037037,17554.6175925926
"ko00195",6627.41357142857,6588.9825,6704.85214285714,6520.00607142857,6481.56,6539.62535714286,11120.1335714286,7584.7925,9402.13821428571,7568.02178571429,6514.88035714286,11352.4785714286,7028.315,6822.10464285714,6718.59321428571,6780.71535714286,6636.97714285714,6717.00214285714,7703.02535714286,8131.7125,9821.15607142857,7339.55892857143,9370.03,10248.2142857143
"ko00196",245.875,174.859375,340.9375,219.51875,179.625,163.79375,4571.45,1239.726875,2827.015625,1236.65625,368.02125,4520.5975,195.609375,60.03125,82.421875,112.625,78.276875,136.890625,1199.111875,1347.755625,2758.46125,1042.0525,2195.35,3214.808125
"ko00710",17855.96,17771.3946666667,17232.2966666667,17705.8506666667,17224.4046666667,17665.504,17305.4493333333,18230.1993333333,17800.3446666667,17558.8193333333,18607.8713333333,17521.462,18336.85,18150.2146666667,17954.6266666667,18516.8853333333,17924.214,18032.3746666667,18252.242,18416.9853333333,17978.8973333333,17442.0953333333,18588.772,18043.6253333333
"ko00720",15653.818,15295.78825,14877.198,14903.44575,15096.79,15033.03525,13619.52075,14091.99,14145.48075,13720.9875,13774.997,13765.114,16361.909,16209.317,15799.35,16372.36325,15618.95425,15829.595,15438.426,15881.27625,15491.02275,14874.89975,16791.04,15869.069
"ko00680",6755.73717948718,6503.08025641026,6071.27166666667,6512.98115384615,6619.76833333333,6385.32846153846,5960.4091025641,5321.41820512821,5871.14166666667,5460.88641025641,5216.34243589744,5899.16448717949,6622.67871794872,6701.42884615385,6398.56576923077,6662.13076923077,6260.21166666667,6549.14102564103,6443.68487179487,6639.19628205128,6538.20051282051,5806.68628205128,7462.66038461538,6819.6241025641
