"Pathway_ID","Description","metagenomeSeq","linda","ALDEx2_kw","ancombc2","DESeq2","edgeR","wilcox_GMPR","wilcox_Wrench","Total_Methods_Sig","Found_By_All","Found_By_All_But_One","Found_By_Core","description"
"ARGDEG-IV-PWY","L-arginine degradation VIII (arginine oxidase pathway)",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"L-arginine degradation VIII (arginine oxidase pathway)"
"ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"superpathway of L-aspartate and L-asparagine biosynthesis"
"CHLOROPHYLL-SYN","3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"CODH-PWY","reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)"
"DARABCATK12-PWY","D-arabinose degradation I",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"D-arabinose degradation I"
"DENOVOPURINE2-PWY","superpathway of purine nucleotides de novo biosynthesis II",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"superpathway of purine nucleotides de novo biosynthesis II"
"DHGLUCONATE-PYR-CAT-PWY","glucose degradation (oxidative)",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"glucose degradation (oxidative)"
"DTDPRHAMSYN-PWY","dTDP-&beta;-L-rhamnose biosynthesis",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"dTDP-&beta;-L-rhamnose biosynthesis"
"FUC-RHAMCAT-PWY","superpathway of fucose and rhamnose degradation",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"superpathway of fucose and rhamnose degradation"
"FUCCAT-PWY","fucose degradation",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"fucose degradation"
"GALACTITOLCAT-PWY","galactitol degradation",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"galactitol degradation"
"GLCMANNANAUT-PWY","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
"GLUDEG-I-PWY","GABA shunt",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"GABA shunt"
"GLYCOCAT-PWY","glycogen degradation I",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"glycogen degradation I"
"GLYCOL-GLYOXDEG-PWY","superpathway of glycol metabolism and degradation",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"superpathway of glycol metabolism and degradation"
"HCAMHPDEG-PWY","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate"
"HEMESYN2-PWY","heme b biosynthesis II (oxygen-independent)",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"heme b biosynthesis II (oxygen-independent)"
"HEXITOLDEGSUPER-PWY","superpathway of hexitol degradation (bacteria)",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"superpathway of hexitol degradation (bacteria)"
"HOMOSER-METSYN-PWY","L-methionine biosynthesis I",1,1,1,1,1,1,1,1,8,TRUE,TRUE,TRUE,"L-methionine biosynthesis I"
